ID;TypeZelfstandigOndernemer;Marges;Perioden;TotaalMetArbeidsongeval_1;ArbeidsongevalZonderVerzuim_2;ArbeidsongevalMet1DagOfMeerVerzuim_3;ArbeidsongevalMet4DgnOfMeerVerzuim_4;LichamelijkLetsel_5;GeestelijkLetsel_6;OnderscheidNietTeMaken_7;OnbekendLetsel_8
0;Zelfstandig ondernemer (totaal);Waarde;2015;2.1;0.9;1.2;0.8;1.6;0.2;0.2;0.1
1;Zelfstandig ondernemer (totaal);Waarde;2017;2.1;0.9;1.2;0.7;1.7;0.1;0.2;0.0
2;Zelfstandig ondernemer (totaal);Waarde;2019;2.1;0.8;1.3;0.9;;;;
3;Zelfstandig ondernemer (totaal);Waarde;2021;1.8;0.8;1.1;0.7;;;;
4;Zelfstandig ondernemer (totaal);Waarde;2023;1.9;1.1;0.9;0.7;;;;
5;Zelfstandig ondernemer (totaal);Ondergrens 95%-interval;2015;1.7;0.7;0.9;0.6;1.2;0.1;0.1;0.0
6;Zelfstandig ondernemer (totaal);Ondergrens 95%-interval;2017;1.7;0.7;0.9;0.5;1.3;0.1;0.1;0.0
7;Zelfstandig ondernemer (totaal);Ondergrens 95%-interval;2019;1.7;0.6;1.0;0.6;;;;
8;Zelfstandig ondernemer (totaal);Ondergrens 95%-interval;2021;1.5;0.6;0.8;0.5;;;;
9;Zelfstandig ondernemer (totaal);Ondergrens 95%-interval;2023;1.6;0.8;0.7;0.5;;;;
10;Zelfstandig ondernemer (totaal);Bovengrens 95%-interval;2015;2.6;1.3;1.5;1.1;2.0;0.4;0.4;0.3
11;Zelfstandig ondernemer (totaal);Bovengrens 95%-interval;2017;2.6;1.3;1.6;1.0;2.2;0.2;0.4;0.1
12;Zelfstandig ondernemer (totaal);Bovengrens 95%-interval;2019;2.5;1.1;1.6;1.2;;;;
13;Zelfstandig ondernemer (totaal);Bovengrens 95%-interval;2021;2.2;1.0;1.4;1.0;;;;
14;Zelfstandig ondernemer (totaal);Bovengrens 95%-interval;2023;2.4;1.4;1.2;0.9;;;;
15;Zelfstandig ondernemer zonder personeel;Waarde;2015;2.2;0.9;1.3;0.9;1.7;0.1;0.3;0.1
16;Zelfstandig ondernemer zonder personeel;Waarde;2017;2.2;1.0;1.2;0.7;1.8;0.1;0.2;0.0
17;Zelfstandig ondernemer zonder personeel;Waarde;2019;2.1;0.8;1.3;0.9;;;;
18;Zelfstandig ondernemer zonder personeel;Waarde;2021;1.9;0.8;1.1;0.7;;;;
19;Zelfstandig ondernemer zonder personeel;Waarde;2023;2.0;1.1;1.0;0.7;;;;
20;Zelfstandig ondernemer zonder personeel;Ondergrens 95%-interval;2015;1.7;0.6;0.9;0.6;1.3;0.1;0.1;0.0
21;Zelfstandig ondernemer zonder personeel;Ondergrens 95%-interval;2017;1.7;0.7;0.9;0.5;1.4;0.1;0.1;0.0
22;Zelfstandig ondernemer zonder personeel;Ondergrens 95%-interval;2019;1.7;0.6;1.0;0.6;;;;
23;Zelfstandig ondernemer zonder personeel;Ondergrens 95%-interval;2021;1.6;0.6;0.8;0.5;;;;
24;Zelfstandig ondernemer zonder personeel;Ondergrens 95%-interval;2023;1.6;0.8;0.7;0.5;;;;
25;Zelfstandig ondernemer zonder personeel;Bovengrens 95%-interval;2015;2.8;1.4;1.7;1.3;2.2;0.3;0.5;0.3
26;Zelfstandig ondernemer zonder personeel;Bovengrens 95%-interval;2017;2.7;1.3;1.7;1.1;2.3;0.2;0.4;0.2
27;Zelfstandig ondernemer zonder personeel;Bovengrens 95%-interval;2019;2.6;1.1;1.8;1.3;;;;
