ID;PrognoseInterval;Perioden;TotaalMannenEnVrouwen_1;Mannen_2;Vrouwen_3;TotaalMannenEnVrouwen_4;Mannen_5;Vrouwen_6;TotaalMannenEnVrouwen_7;Mannen_8;Vrouwen_9;TotaalMannenEnVrouwen_10;Mannen_11;Vrouwen_12;TotaalMannenEnVrouwen_13;Mannen_14;Vrouwen_15;TotaalMannenEnVrouwen_16;Mannen_17;Vrouwen_18;TotaalMannenEnVrouwen_19;Mannen_20;Vrouwen_21;AantalHuishoudens_22;GemiddeldeHuishoudensgrootte_23
0;1;2005;16294589;8060105;8234484;2471723;1137334;1334389;8273852;4144432;4129420;4626701;2490300;2136401;445511;72772;372739;266400;137397;129003;210423;77885;132538;7095784;2.2
1;1;2006;16328173;8073372;8254801;2519555;1161521;1358034;8258575;4136787;4121788;4620740;2486294;2134446;455336;75874;379462;268371;137511;130860;205605;75392;130213;7145937;2.2
2;1;2007;16360823;8086888;8273935;2566293;1185204;1381089;8246113;4130556;4115557;4613058;2481730;2131328;464620;78842;385778;270388;137739;132649;200368;72830;127538;7195906;2.2
3;1;2008;16393741;8101067;8292674;2612671;1208544;1404127;8236100;4125555;4110545;4604078;2476907;2127171;473562;81775;391787;272490;138059;134431;194868;70247;124621;7246446;2.2
4;1;2009;16427526;8116143;8311383;2658821;1231600;1427221;8229401;4122201;4107200;4593486;2471651;2121835;481992;84597;397395;274656;138439;136217;189205;67677;121528;7297976;2.2
5;1;2010;16462455;8131956;8330499;2704704;1254220;1450484;8225883;4120451;4105432;4581512;2466004;2115508;489986;87331;402655;276874;138825;138049;183548;65155;118393;7350400;2.2
6;1;2011;16498218;8148266;8349952;2750019;1276374;1473645;8224990;4119994;4104996;4568520;2460009;2108511;497663;89966;407697;279054;139221;139833;178015;62721;115294;7403279;2.2
7;1;2012;16534259;8164724;8369535;2794419;1297943;1496476;8226438;4120720;4105718;4554569;2453581;2100988;504996;92494;412502;281126;139573;141553;172721;60420;112301;7456035;2.1
8;1;2013;16570291;8181109;8389182;2837836;1318894;1518942;8229654;4122327;4107327;4539945;2446767;2093178;512060;94929;417131;283010;139891;143119;167791;58297;109494;7508346;2.1
9;1;2014;16605813;8197107;8408706;2880023;1339195;1540828;8233622;4124310;4109312;4525286;2439796;2085490;518843;97257;421586;284698;140147;144551;163341;56398;106943;7559519;2.1
10;1;2015;16640365;8212425;8427940;2920551;1358655;1561896;8238017;4126508;4111509;4510804;2432683;2078121;525315;99431;425884;286178;140375;145803;159507;54773;104734;7608919;2.1
11;1;2016;16673914;8227003;8446911;2959926;1377469;1582457;8242116;4128558;4113558;4496500;2425496;2071004;531493;101457;430036;287464;140553;146911;156417;53468;102949;7656659;2.1
12;1;2017;16706541;8240873;8465668;2998623;1395852;1602771;8245334;4130164;4115170;4482325;2418290;2064035;537370;103308;434062;288688;140727;147961;154209;52535;101674;7703006;2.1
13;1;2018;16738349;8254098;8484251;3036607;1413803;1622804;8247322;4131162;4116160;4468463;2411216;2057247;543014;104998;438016;289936;140909;149027;153013;52018;100995;7747798;2.1
14;1;2019;16769464;8266731;8502733;3073961;1431274;1642687;8248014;4131508;4116506;4454906;2404412;2050494;548428;106514;441914;291186;141058;150128;152977;51969;101008;7791089;2.1
15;1;2020;16799819;8278725;8521094;3110141;1448022;1662119;8247220;4131108;4116112;4442137;2398104;2044033;553710;107890;445820;292374;141162;151212;154252;52445;101807;7832313;2.1
16;1;2021;16829201;8289988;8539213;3145221;1464107;1681114;8245053;4130026;4115027;4430349;2392356;2037993;558854;109120;449734;293435;141166;152269;156293;53218;103075;7871555;2.1
17;1;2022;16857482;8300473;8557009;3179256;1479549;1699707;8241697;4128349;4113348;4419711;2387179;2032532;563982;110283;453699;294372;141092;153280;158465;54019;104446;7909124;2.1
18;1;2023;16884465;8310097;8574368;3211881;1494294;1717587;8237071;4126034;4111037;4410493;2382648;2027845;569074;111343;457731;295156;140916;154240;160795;54862;105933;7944598;2.1
19;1;2024;16909931;8318780;8591151;3243094;1508355;1734739;8230884;4122942;4107942;4402843;2378746;2024097;574229;112330;461899;295582;140658;154924;163302;55752;107550;7977782;2.1
20;1;2025;16933702;8326445;8607257;3272478;1521662;1750816;8222953;4118977;4103976;4396979;2375530;2021449;579430;113256;466174;295868;140335;155533;165997;56686;109311;8008304;2.0
21;1;2026;16955569;8333042;8622527;3300077;1534204;1765873;8213011;4114006;4099005;4393071;2373087;2019984;584747;114148;470599;295807;139950;155857;168865;57654;111211;8036095;2.0
22;1;2027;16975474;8338571;8636903;3325589;1545894;1779695;8200917;4107959;4092958;4391266;2371523;2019743;590160;115039;475121;295644;139511;156133;171900;58649;113251;8060797;2.0
23;1;2028;16993184;8342942;8650242;3348975;1556677;1792298;8186447;4100723;4085724;4391655;2370940;2020715;595721;115949;479772;295299;138998;156301;175094;59664;115430;8082315;2.0
24;1;2029;17008661;8346224;8662437;3370163;1566509;1803654;8169790;4092394;4077396;4394114;2371330;2022784;601367;116870;484497;294792;138421;156371;178443;60703;117740;8100609;2.0
25;1;2030;17021876;8348419;8673457;3389238;1575390;1813848;8150941;4082970;4067971;4398604;2372740;2025864;607028;117786;489242;294159;137774;156385;181911;61760;120151;8115682;2.0
26;1;2031;17032590;8349458;8683132;3406116;1583236;1822880;8130114;4072558;4057556;4404790;2375056;2029734;612678;118711;493967;293459;137078;156381;185441;62821;122620;8127592;2.0
27;1;2032;17040734;8349367;8691367;3421065;1590167;1830898;8107425;4061212;4046213;4412341;2378150;2034191;618272;119636;498636;292725;136342;156383;188916;63864;125052;8136595;2.0
28;1;2033;17046382;8348243;8698139;3434137;1596208;1837929;8083456;4049228;4034228;4420782;2381812;2038970;623786;120554;503232;291964;135577;156387;192262;64863;127399;8143012;2.0
29;1;2034;17049417;8346038;8703379;3445539;1601466;1844073;8058453;4036726;4021727;4429616;2385806;2043810;629201;121471;507730;291204;134787;156417;195413;65784;129629;8147139;2.0
