ID;TypeInrichting;Geslacht;Perioden;TotaalPersoneelInrichtingen_1;Management_2;Staf_3;Administratie_4;SocialeDienstverlening_5;EducatieVormingEnSport_6;Arbeid_7;ExecutieveDienst_8;Beveiliging_9;HuishoudelijkeEnTechnischeDienst_10
260;Bijzondere inrichtingen;Mannen;2007;;;;;;;;;;
261;Bijzondere inrichtingen;Mannen;2008;;;;;;;;;;
262;Bijzondere inrichtingen;Mannen;2009;;;;;;;;;;
263;Bijzondere inrichtingen;Mannen;2010;;;;;;;;;;
264;Bijzondere inrichtingen;Mannen;2011;;;;;;;;;;
265;Bijzondere inrichtingen;Mannen;2012;;;;;;;;;;
266;Bijzondere inrichtingen;Vrouwen;1994;52.0;0.0;17.0;8.0;0.0;0.0;0.0;21.0;0.0;6.0
267;Bijzondere inrichtingen;Vrouwen;1995;56.0;0.0;18.0;9.0;0.0;0.0;0.0;24.0;0.0;5.0
268;Bijzondere inrichtingen;Vrouwen;1996;56.0;0.0;17.0;9.0;0.0;0.0;1.0;23.0;0.0;6.0
269;Bijzondere inrichtingen;Vrouwen;1997;62.0;0.0;20.0;10.0;0.0;0.0;1.0;25.0;0.0;6.0
270;Bijzondere inrichtingen;Vrouwen;1998;;;;;;;;;;
271;Bijzondere inrichtingen;Vrouwen;1999;;;;;;;;;;
272;Bijzondere inrichtingen;Vrouwen;2000;;;;;;;;;;
273;Bijzondere inrichtingen;Vrouwen;2001;;;;;;;;;;
274;Bijzondere inrichtingen;Vrouwen;2002;;;;;;;;;;
275;Bijzondere inrichtingen;Vrouwen;2003;;;;;;;;;;
276;Bijzondere inrichtingen;Vrouwen;2004;;;;;;;;;;
277;Bijzondere inrichtingen;Vrouwen;2005;;;;;;;;;;
278;Bijzondere inrichtingen;Vrouwen;2006;;;;;;;;;;
279;Bijzondere inrichtingen;Vrouwen;2007;;;;;;;;;;
280;Bijzondere inrichtingen;Vrouwen;2008;;;;;;;;;;
281;Bijzondere inrichtingen;Vrouwen;2009;;;;;;;;;;
282;Bijzondere inrichtingen;Vrouwen;2010;;;;;;;;;;
283;Bijzondere inrichtingen;Vrouwen;2011;;;;;;;;;;
284;Bijzondere inrichtingen;Vrouwen;2012;;;;;;;;;;
285;Overige diensten;Totaal geslacht;1994;325.0;9.0;3.0;39.0;2.0;4.0;16.0;98.0;116.0;38.0
286;Overige diensten;Totaal geslacht;1995;768.0;12.0;0.0;66.0;2.0;4.0;58.0;318.0;249.0;59.0
287;Overige diensten;Totaal geslacht;1996;223.0;3.0;0.0;24.0;0.0;3.0;0.0;0.0;152.0;41.0
288;Overige diensten;Totaal geslacht;1997;;;;;;;;;;
289;Overige diensten;Totaal geslacht;1998;;;;;;;;;;
290;Overige diensten;Totaal geslacht;1999;;;;;;;;;;
291;Overige diensten;Totaal geslacht;2000;;;;;;;;;;
292;Overige diensten;Totaal geslacht;2001;;;;;;;;;;
293;Overige diensten;Totaal geslacht;2002;;;;;;;;;;
294;Overige diensten;Totaal geslacht;2003;;;;;;;;;;
295;Overige diensten;Totaal geslacht;2004;;;;;;;;;;
296;Overige diensten;Totaal geslacht;2005;;;;;;;;;;
297;Overige diensten;Totaal geslacht;2006;;;;;;;;;;
298;Overige diensten;Totaal geslacht;2007;;;;;;;;;;
299;Overige diensten;Totaal geslacht;2008;;;;;;;;;;
300;Overige diensten;Totaal geslacht;2009;;;;;;;;;;
301;Overige diensten;Totaal geslacht;2010;;;;;;;;;;
302;Overige diensten;Totaal geslacht;2011;;;;;;;;;;
303;Overige diensten;Totaal geslacht;2012;;;;;;;;;;
304;Overige diensten;Mannen;1994;270.0;7.0;2.0;18.0;2.0;2.0;14.0;83.0;111.0;31.0
305;Overige diensten;Mannen;1995;598.0;9.0;0.0;27.0;2.0;3.0;42.0;245.0;220.0;50.0
306;Overige diensten;Mannen;1996;196.0;2.0;0.0;12.0;0.0;2.0;0.0;0.0;146.0;34.0
307;Overige diensten;Mannen;1997;;;;;;;;;;
308;Overige diensten;Mannen;1998;;;;;;;;;;
309;Overige diensten;Mannen;1999;;;;;;;;;;
310;Overige diensten;Mannen;2000;;;;;;;;;;
311;Overige diensten;Mannen;2001;;;;;;;;;;
312;Overige diensten;Mannen;2002;;;;;;;;;;
313;Overige diensten;Mannen;2003;;;;;;;;;;
314;Overige diensten;Mannen;2004;;;;;;;;;;
315;Overige diensten;Mannen;2005;;;;;;;;;;
316;Overige diensten;Mannen;2006;;;;;;;;;;
317;Overige diensten;Mannen;2007;;;;;;;;;;
318;Overige diensten;Mannen;2008;;;;;;;;;;
319;Overige diensten;Mannen;2009;;;;;;;;;;
320;Overige diensten;Mannen;2010;;;;;;;;;;
321;Overige diensten;Mannen;2011;;;;;;;;;;
322;Overige diensten;Mannen;2012;;;;;;;;;;
323;Overige diensten;Vrouwen;1994;55.0;2.0;1.0;21.0;0.0;2.0;2.0;15.0;5.0;7.0
324;Overige diensten;Vrouwen;1995;170.0;3.0;0.0;39.0;0.0;1.0;16.0;73.0;29.0;9.0
325;Overige diensten;Vrouwen;1996;27.0;1.0;0.0;12.0;0.0;1.0;0.0;0.0;6.0;7.0
326;Overige diensten;Vrouwen;1997;;;;;;;;;;
327;Overige diensten;Vrouwen;1998;;;;;;;;;;
328;Overige diensten;Vrouwen;1999;;;;;;;;;;
329;Overige diensten;Vrouwen;2000;;;;;;;;;;
330;Overige diensten;Vrouwen;2001;;;;;;;;;;
331;Overige diensten;Vrouwen;2002;;;;;;;;;;
332;Overige diensten;Vrouwen;2003;;;;;;;;;;
333;Overige diensten;Vrouwen;2004;;;;;;;;;;
334;Overige diensten;Vrouwen;2005;;;;;;;;;;
335;Overige diensten;Vrouwen;2006;;;;;;;;;;
336;Overige diensten;Vrouwen;2007;;;;;;;;;;
337;Overige diensten;Vrouwen;2008;;;;;;;;;;
338;Overige diensten;Vrouwen;2009;;;;;;;;;;
339;Overige diensten;Vrouwen;2010;;;;;;;;;;
340;Overige diensten;Vrouwen;2011;;;;;;;;;;
341;Overige diensten;Vrouwen;2012;;;;;;;;;;
