ID;TypeInrichting;Geslacht;Perioden;TotaalPersoneelInrichtingen_1;Management_2;Staf_3;Administratie_4;SocialeDienstverlening_5;EducatieVormingEnSport_6;Arbeid_7;ExecutieveDienst_8;Beveiliging_9;HuishoudelijkeEnTechnischeDienst_10
42;Totaal penitentiaire inrichtingen;Vrouwen;1998;3437.0;59.0;310.0;550.0;274.0;257.0;115.0;1174.0;488.0;210.0
43;Totaal penitentiaire inrichtingen;Vrouwen;1999;3470.0;62.0;207.0;555.0;300.0;271.0;123.0;1223.0;473.0;256.0
44;Totaal penitentiaire inrichtingen;Vrouwen;2000;3487.0;59.0;308.0;535.0;300.0;283.0;121.0;1111.0;547.0;223.0
45;Totaal penitentiaire inrichtingen;Vrouwen;2001;3651.0;51.0;363.0;585.0;311.0;269.0;117.0;1126.0;581.0;248.0
46;Totaal penitentiaire inrichtingen;Vrouwen;2002;3765.0;52.0;509.0;585.0;311.0;269.0;117.0;1126.0;581.0;215.0
47;Totaal penitentiaire inrichtingen;Vrouwen;2003;4098.0;49.0;464.0;612.0;382.0;266.0;133.0;1302.0;651.0;239.0
48;Totaal penitentiaire inrichtingen;Vrouwen;2004;4114.0;100.0;465.0;580.0;432.0;263.0;127.0;1288.0;616.0;243.0
49;Totaal penitentiaire inrichtingen;Vrouwen;2005;3625.0;37.0;556.0;277.0;491.0;237.0;101.0;1141.0;647.0;138.0
50;Totaal penitentiaire inrichtingen;Vrouwen;2006;3733.0;38.0;424.0;419.0;567.0;196.0;87.0;1090.0;800.0;112.0
51;Totaal penitentiaire inrichtingen;Vrouwen;2007;3452.0;34.0;408.0;335.0;570.0;179.0;88.0;1033.0;676.0;129.0
52;Totaal penitentiaire inrichtingen;Vrouwen;2008;3598.0;37.0;397.0;429.0;612.0;181.0;100.0;1018.0;702.0;122.0
53;Totaal penitentiaire inrichtingen;Vrouwen;2009;3440.0;31.0;458.0;327.0;602.0;179.0;101.0;987.0;643.0;112.0
54;Totaal penitentiaire inrichtingen;Vrouwen;2010;3394.0;34.0;416.0;411.0;578.0;168.0;97.0;953.0;617.0;120.0
55;Totaal penitentiaire inrichtingen;Vrouwen;2011;3522.0;36.0;401.0;390.0;638.0;169.0;109.0;1032.0;638.0;109.0
56;Totaal penitentiaire inrichtingen;Vrouwen;2012;3502.0;41.0;422.0;466.0;581.0;171.0;110.0;980.0;630.0;101.0
57;Huizen van bewaring;Totaal geslacht;1994;4342.0;99.0;176.0;371.0;148.0;235.0;276.0;2161.0;605.0;271.0
58;Huizen van bewaring;Totaal geslacht;1995;4175.0;99.0;182.0;376.0;164.0;224.0;289.0;2026.0;576.0;239.0
59;Huizen van bewaring;Totaal geslacht;1996;4499.0;114.0;198.0;432.0;181.0;221.0;345.0;1981.0;798.0;229.0
60;Huizen van bewaring;Totaal geslacht;1997;4910.0;135.0;255.0;474.0;225.0;233.0;441.0;2097.0;777.0;273.0
61;Huizen van bewaring;Totaal geslacht;1998;5066.0;130.0;236.0;474.0;197.0;200.0;423.0;2209.0;884.0;313.0
62;Huizen van bewaring;Totaal geslacht;1999;5097.0;130.0;178.0;465.0;209.0;210.0;444.0;2239.0;870.0;352.0
63;Huizen van bewaring;Totaal geslacht;2000;5126.0;121.0;249.0;503.0;209.0;202.0;451.0;2149.0;874.0;368.0
64;Huizen van bewaring;Totaal geslacht;2001;5264.0;110.0;276.0;475.0;221.0;206.0;480.0;2187.0;881.0;428.0
65;Huizen van bewaring;Totaal geslacht;2002;5271.0;111.0;339.0;475.0;222.0;207.0;468.0;2187.0;881.0;381.0
66;Huizen van bewaring;Totaal geslacht;2003;;;;;;;;;;
67;Huizen van bewaring;Totaal geslacht;2004;;;;;;;;;;
68;Huizen van bewaring;Totaal geslacht;2005;;;;;;;;;;
69;Huizen van bewaring;Totaal geslacht;2006;;;;;;;;;;
70;Huizen van bewaring;Totaal geslacht;2007;;;;;;;;;;
71;Huizen van bewaring;Totaal geslacht;2008;;;;;;;;;;
72;Huizen van bewaring;Totaal geslacht;2009;;;;;;;;;;
73;Huizen van bewaring;Totaal geslacht;2010;;;;;;;;;;
74;Huizen van bewaring;Totaal geslacht;2011;;;;;;;;;;
75;Huizen van bewaring;Totaal geslacht;2012;;;;;;;;;;
76;Huizen van bewaring;Mannen;1994;3211.0;84.0;75.0;183.0;58.0;132.0;249.0;1754.0;465.0;211.0
77;Huizen van bewaring;Mannen;1995;3076.0;79.0;75.0;186.0;66.0;122.0;253.0;1645.0;462.0;188.0
78;Huizen van bewaring;Mannen;1996;3276.0;93.0;81.0;214.0;67.0;123.0;293.0;1585.0;634.0;186.0
79;Huizen van bewaring;Mannen;1997;3506.0;108.0;105.0;236.0;103.0;128.0;369.0;1655.0;588.0;214.0
80;Huizen van bewaring;Mannen;1998;3599.0;107.0;83.0;214.0;88.0;108.0;373.0;1722.0;663.0;241.0
81;Huizen van bewaring;Mannen;1999;3596.0;103.0;65.0;217.0;85.0;113.0;389.0;1705.0;667.0;252.0
82;Huizen van bewaring;Mannen;2000;3589.0;97.0;87.0;253.0;81.0;112.0;391.0;1653.0;652.0;263.0
83;Huizen van bewaring;Mannen;2001;3603.0;86.0;87.0;216.0;82.0;116.0;422.0;1659.0;639.0;296.0
84;Huizen van bewaring;Mannen;2002;3568.0;86.0;87.0;216.0;82.0;117.0;410.0;1659.0;639.0;272.0
85;Huizen van bewaring;Mannen;2003;;;;;;;;;;
86;Huizen van bewaring;Mannen;2004;;;;;;;;;;
87;Huizen van bewaring;Mannen;2005;;;;;;;;;;
88;Huizen van bewaring;Mannen;2006;;;;;;;;;;
89;Huizen van bewaring;Mannen;2007;;;;;;;;;;
90;Huizen van bewaring;Mannen;2008;;;;;;;;;;
91;Huizen van bewaring;Mannen;2009;;;;;;;;;;
92;Huizen van bewaring;Mannen;2010;;;;;;;;;;
93;Huizen van bewaring;Mannen;2011;;;;;;;;;;
94;Huizen van bewaring;Mannen;2012;;;;;;;;;;
95;Huizen van bewaring;Vrouwen;1994;1131.0;15.0;101.0;188.0;90.0;103.0;27.0;407.0;140.0;60.0
96;Huizen van bewaring;Vrouwen;1995;1099.0;20.0;107.0;190.0;98.0;102.0;36.0;381.0;114.0;51.0
97;Huizen van bewaring;Vrouwen;1996;1223.0;21.0;117.0;218.0;114.0;98.0;52.0;396.0;164.0;43.0
98;Huizen van bewaring;Vrouwen;1997;1404.0;27.0;150.0;238.0;122.0;105.0;72.0;442.0;189.0;59.0
99;Huizen van bewaring;Vrouwen;1998;1467.0;23.0;153.0;260.0;109.0;92.0;50.0;487.0;221.0;72.0
100;Huizen van bewaring;Vrouwen;1999;1501.0;27.0;113.0;248.0;124.0;97.0;55.0;534.0;203.0;100.0
101;Huizen van bewaring;Vrouwen;2000;1537.0;24.0;162.0;250.0;128.0;90.0;60.0;496.0;222.0;105.0
102;Huizen van bewaring;Vrouwen;2001;1661.0;24.0;189.0;259.0;139.0;90.0;58.0;528.0;242.0;132.0
103;Huizen van bewaring;Vrouwen;2002;1703.0;25.0;252.0;259.0;140.0;90.0;58.0;528.0;242.0;109.0
104;Huizen van bewaring;Vrouwen;2003;;;;;;;;;;
105;Huizen van bewaring;Vrouwen;2004;;;;;;;;;;
106;Huizen van bewaring;Vrouwen;2005;;;;;;;;;;
