ID;DecentraleOverheden;BegrootEMUSaldo2020_1;BegrootEMUSaldo_2;MacronormVoorHetEMUSaldo_3;Verschil_4;BegrootEMUSaldo2022_5
0;Totaal decentrale overheden;-7143;-5748;-3286.0;-2462.0;-3909
1;Provincies;-1790;-1760;-657.0;-1103.0;-1371
2;Gemeenten;-5031;-3466;-2218.0;-1248.0;-1912
3;Gemeenten: minder dan 20 000 inwoners;-314;-225;;;-120
4;Gemeenten: 20 000 tot 50 000 inwoners;-1350;-993;;;-274
5;Gemeenten: 50 000 tot 100 000 inwoners;-479;-642;;;-263
6;Gemeenten: 100 000 tot 150 000 inwoners;-440;-237;;;-232
7;Gemeenten: 150 000 tot 250 000 inwoners;-948;-695;;;-323
8;Gemeenten: 250 000 inwoners of meer;-1500;-674;;;-700
9;Waterschappen;-275;-363;-411.0;48.0;-600
10;Gemeenschappelijke regelingen;-47;-159;0.0;-159.0;-26
