ID;KenmerkenVanHuishoudens;RegioS;Perioden;ParticuliereHuishoudens_1;TotaalVermogen_2;GemiddeldVermogen_3;MediaanVermogen_4
0;Particuliere huishoudens;Nederland;2011;7347.6;1213.1;165.1;32.8
1;Particuliere huishoudens;Nederland;2012;7412.1;1141.6;154.0;25.5
2;Particuliere huishoudens;Nederland;2013;7467.8;1029.7;137.9;17.2
3;Particuliere huishoudens;Nederland;2014;7496.4;1042.9;139.1;16.8
4;Particuliere huishoudens;Nederland;2015;7568.5;1096.4;144.9;20.1
5;Particuliere huishoudens;Nederland;2016;7623.2;1167.2;153.1;22.2
6;Particuliere huishoudens;Noord-Nederland (LD);2011;763.3;106.3;139.3;37.9
7;Particuliere huishoudens;Noord-Nederland (LD);2012;768.3;99.4;129.4;29.6
8;Particuliere huishoudens;Noord-Nederland (LD);2013;772.8;89.9;116.3;20.2
9;Particuliere huishoudens;Noord-Nederland (LD);2014;774.0;90.4;116.8;19.1
10;Particuliere huishoudens;Noord-Nederland (LD);2015;779.0;93.8;120.4;21.3
11;Particuliere huishoudens;Noord-Nederland (LD);2016;781.3;98.3;125.8;22.6
12;Particuliere huishoudens;Oost-Nederland (LD);2011;1483.0;241.7;163.0;40.7
13;Particuliere huishoudens;Oost-Nederland (LD);2012;1496.9;227.3;151.9;31.3
14;Particuliere huishoudens;Oost-Nederland (LD);2013;1510.1;205.8;136.3;21.2
15;Particuliere huishoudens;Oost-Nederland (LD);2014;1513.7;206.9;136.7;20.6
16;Particuliere huishoudens;Oost-Nederland (LD);2015;1527.5;216.3;141.6;23.5
17;Particuliere huishoudens;Oost-Nederland (LD);2016;1538.9;228.3;148.4;25.8
18;Particuliere huishoudens;West-Nederland (LD);2011;3543.2;589.9;166.5;24.1
19;Particuliere huishoudens;West-Nederland (LD);2012;3575.6;556.2;155.6;19.0
20;Particuliere huishoudens;West-Nederland (LD);2013;3601.5;499.1;138.6;11.3
21;Particuliere huishoudens;West-Nederland (LD);2014;3619.0;508.2;140.4;11.3
