ID;OrganisatieVanOverdracht;BestaandeOfNieuweHulp;RegioS;Perioden;AfgerondeCasussenMetOverdracht_1;AfgerondeCasussenMetOverdrachtRel_2
0;Totaal;Totaal;Nederland;1e halfjaar 2019;18235.0;106.0
1;Totaal;Totaal;Nederland;2e halfjaar 2019;29925.0;173.0
2;Totaal;Totaal;Nederland;2019;48160.0;279.0
3;Totaal;Totaal;Nederland;1e halfjaar 2020;34800.0;200.0
4;Totaal;Totaal;Nederland;2e halfjaar 2020;36360.0;209.0
5;Totaal;Totaal;Nederland;2020;71160.0;409.0
6;Totaal;Totaal;Nederland;1e halfjaar 2021;34760.0;199.0
7;Totaal;Totaal;Nederland;2e halfjaar 2021;36245.0;207.0
8;Totaal;Totaal;Nederland;2021;71005.0;406.0
9;Totaal;Totaal;Nederland;1e halfjaar 2022;35425.0;201.0
10;Totaal;Totaal;Nederland;2e halfjaar 2022;38315.0;218.0
11;Totaal;Totaal;Nederland;2022;73740.0;419.0
12;Totaal;Totaal;Nederland;1e halfjaar 2023;38340.0;215.0
13;Totaal;Totaal;Nederland;2e halfjaar 2023;38525.0;216.0
14;Totaal;Totaal;Nederland;2023;76870.0;432.0
15;Totaal;Totaal;Nederland;1e halfjaar 2024;38275.0;213.0
16;Totaal;Totaal;Noord-Nederland (LD);1e halfjaar 2019;1600.0;93.0
17;Totaal;Totaal;Noord-Nederland (LD);2e halfjaar 2019;2835.0;164.0
18;Totaal;Totaal;Noord-Nederland (LD);2019;4435.0;257.0
19;Totaal;Totaal;Noord-Nederland (LD);1e halfjaar 2020;3340.0;193.0
20;Totaal;Totaal;Noord-Nederland (LD);2e halfjaar 2020;3540.0;205.0
21;Totaal;Totaal;Noord-Nederland (LD);2020;6875.0;398.0
22;Totaal;Totaal;Noord-Nederland (LD);1e halfjaar 2021;3515.0;203.0
23;Totaal;Totaal;Noord-Nederland (LD);2e halfjaar 2021;3285.0;190.0
24;Totaal;Totaal;Noord-Nederland (LD);2021;6800.0;392.0
25;Totaal;Totaal;Noord-Nederland (LD);1e halfjaar 2022;3550.0;204.0
26;Totaal;Totaal;Noord-Nederland (LD);2e halfjaar 2022;3360.0;193.0
27;Totaal;Totaal;Noord-Nederland (LD);2022;6905.0;397.0
28;Totaal;Totaal;Noord-Nederland (LD);1e halfjaar 2023;3260.0;185.0
29;Totaal;Totaal;Noord-Nederland (LD);2e halfjaar 2023;3310.0;188.0
30;Totaal;Totaal;Noord-Nederland (LD);2023;6570.0;374.0
31;Totaal;Totaal;Noord-Nederland (LD);1e halfjaar 2024;3400.0;192.0
32;Totaal;Totaal;Oost-Nederland (LD);1e halfjaar 2019;3295.0;90.0
33;Totaal;Totaal;Oost-Nederland (LD);2e halfjaar 2019;4700.0;129.0
34;Totaal;Totaal;Oost-Nederland (LD);2019;7995.0;219.0
35;Totaal;Totaal;Oost-Nederland (LD);1e halfjaar 2020;5745.0;156.0
36;Totaal;Totaal;Oost-Nederland (LD);2e halfjaar 2020;6550.0;178.0
37;Totaal;Totaal;Oost-Nederland (LD);2020;12295.0;335.0
38;Totaal;Totaal;Oost-Nederland (LD);1e halfjaar 2021;6255.0;169.0
39;Totaal;Totaal;Oost-Nederland (LD);2e halfjaar 2021;6905.0;187.0
40;Totaal;Totaal;Oost-Nederland (LD);2021;13160.0;357.0
41;Totaal;Totaal;Oost-Nederland (LD);1e halfjaar 2022;6245.0;168.0
42;Totaal;Totaal;Oost-Nederland (LD);2e halfjaar 2022;6945.0;187.0
43;Totaal;Totaal;Oost-Nederland (LD);2022;13195.0;355.0
44;Totaal;Totaal;Oost-Nederland (LD);1e halfjaar 2023;6905.0;183.0
45;Totaal;Totaal;Oost-Nederland (LD);2e halfjaar 2023;7205.0;192.0
46;Totaal;Totaal;Oost-Nederland (LD);2023;14110.0;375.0
47;Totaal;Totaal;Oost-Nederland (LD);1e halfjaar 2024;7060.0;186.0
48;Totaal;Totaal;West-Nederland (LD);1e halfjaar 2019;9910.0;120.0
49;Totaal;Totaal;West-Nederland (LD);2e halfjaar 2019;15625.0;189.0
50;Totaal;Totaal;West-Nederland (LD);2019;25535.0;309.0
51;Totaal;Totaal;West-Nederland (LD);1e halfjaar 2020;17720.0;213.0
52;Totaal;Totaal;West-Nederland (LD);2e halfjaar 2020;18090.0;217.0
53;Totaal;Totaal;West-Nederland (LD);2020;35805.0;430.0
54;Totaal;Totaal;West-Nederland (LD);1e halfjaar 2021;17605.0;211.0
55;Totaal;Totaal;West-Nederland (LD);2e halfjaar 2021;18425.0;220.0
56;Totaal;Totaal;West-Nederland (LD);2021;36030.0;431.0
57;Totaal;Totaal;West-Nederland (LD);1e halfjaar 2022;17465.0;207.0
58;Totaal;Totaal;West-Nederland (LD);2e halfjaar 2022;18530.0;220.0
59;Totaal;Totaal;West-Nederland (LD);2022;36000.0;428.0
60;Totaal;Totaal;West-Nederland (LD);1e halfjaar 2023;19425.0;228.0
61;Totaal;Totaal;West-Nederland (LD);2e halfjaar 2023;19025.0;223.0
62;Totaal;Totaal;West-Nederland (LD);2023;38450.0;450.0
63;Totaal;Totaal;West-Nederland (LD);1e halfjaar 2024;18655.0;217.0
64;Totaal;Totaal;Zuid-Nederland (LD);1e halfjaar 2019;3430.0;94.0
65;Totaal;Totaal;Zuid-Nederland (LD);2e halfjaar 2019;6770.0;185.0
66;Totaal;Totaal;Zuid-Nederland (LD);2019;10195.0;278.0
67;Totaal;Totaal;Zuid-Nederland (LD);1e halfjaar 2020;8000.0;217.0
68;Totaal;Totaal;Zuid-Nederland (LD);2e halfjaar 2020;8185.0;222.0
69;Totaal;Totaal;Zuid-Nederland (LD);2020;16185.0;440.0
70;Totaal;Totaal;Zuid-Nederland (LD);1e halfjaar 2021;7385.0;200.0
71;Totaal;Totaal;Zuid-Nederland (LD);2e halfjaar 2021;7635.0;207.0
72;Totaal;Totaal;Zuid-Nederland (LD);2021;15020.0;407.0
73;Totaal;Totaal;Zuid-Nederland (LD);1e halfjaar 2022;8165.0;220.0
74;Totaal;Totaal;Zuid-Nederland (LD);2e halfjaar 2022;9480.0;255.0
75;Totaal;Totaal;Zuid-Nederland (LD);2022;17645.0;475.0
76;Totaal;Totaal;Zuid-Nederland (LD);1e halfjaar 2023;8755.0;233.0
77;Totaal;Totaal;Zuid-Nederland (LD);2e halfjaar 2023;8985.0;239.0
78;Totaal;Totaal;Zuid-Nederland (LD);2023;17740.0;473.0
79;Totaal;Totaal;Zuid-Nederland (LD);1e halfjaar 2024;9160.0;242.0
80;Totaal;Totaal;Groningen (PV);1e halfjaar 2019;390.0;67.0
81;Totaal;Totaal;Groningen (PV);2e halfjaar 2019;1165.0;199.0
82;Totaal;Totaal;Groningen (PV);2019;1555.0;266.0
83;Totaal;Totaal;Groningen (PV);1e halfjaar 2020;1595.0;272.0
84;Totaal;Totaal;Groningen (PV);2e halfjaar 2020;1630.0;278.0
85;Totaal;Totaal;Groningen (PV);2020;3230.0;551.0
86;Totaal;Totaal;Groningen (PV);1e halfjaar 2021;1550.0;264.0
87;Totaal;Totaal;Groningen (PV);2e halfjaar 2021;1330.0;227.0
88;Totaal;Totaal;Groningen (PV);2021;2880.0;491.0
89;Totaal;Totaal;Groningen (PV);1e halfjaar 2022;1660.0;281.0
90;Totaal;Totaal;Groningen (PV);2e halfjaar 2022;1430.0;242.0
91;Totaal;Totaal;Groningen (PV);2022;3090.0;524.0
92;Totaal;Totaal;Groningen (PV);1e halfjaar 2023;1475.0;247.0
93;Totaal;Totaal;Groningen (PV);2e halfjaar 2023;1365.0;229.0
94;Totaal;Totaal;Groningen (PV);2023;2840.0;476.0
95;Totaal;Totaal;Groningen (PV);1e halfjaar 2024;1555.0;258.0
96;Totaal;Totaal;Fryslân (PV);1e halfjaar 2019;835.0;129.0
97;Totaal;Totaal;Fryslân (PV);2e halfjaar 2019;975.0;151.0
98;Totaal;Totaal;Fryslân (PV);2019;1810.0;279.0
99;Totaal;Totaal;Fryslân (PV);1e halfjaar 2020;1015.0;156.0
100;Totaal;Totaal;Fryslân (PV);2e halfjaar 2020;1160.0;178.0
101;Totaal;Totaal;Fryslân (PV);2020;2180.0;335.0
102;Totaal;Totaal;Fryslân (PV);1e halfjaar 2021;1230.0;189.0
103;Totaal;Totaal;Fryslân (PV);2e halfjaar 2021;1280.0;196.0
104;Totaal;Totaal;Fryslân (PV);2021;2510.0;385.0
105;Totaal;Totaal;Fryslân (PV);1e halfjaar 2022;1265.0;194.0
106;Totaal;Totaal;Fryslân (PV);2e halfjaar 2022;1315.0;201.0
107;Totaal;Totaal;Fryslân (PV);2022;2580.0;395.0
