ID;Geslacht;Leeftijd;Provincie;Perioden;FormeelOnverzekerdenOpPeildatum_1;NogOnverzekerd6MaandenNaPeildatum_2;FormeelOnverzekerdenOpPeildatum_3;NogOnverzekerd6MaandenNaPeildatum_4
0;3;9;Nederland;1 mei 2006;231160;172800;1.4;1.1
1;3;9;Nederland;1 mei 2007;201580;150710;1.2;0.9
2;3;9;Nederland;1 mei 2008;195860;152810;1.2;0.9
3;3;9;Nederland;1 mei 2009;193700;152240;1.2;0.9
4;3;9;Nederland;1 mei 2010;174610;136450;1.1;0.8
5;3;9;Groningen (PV);1 mei 2006;7180;5530;1.3;1.0
6;3;9;Groningen (PV);1 mei 2007;6550;4850;1.1;0.8
7;3;9;Groningen (PV);1 mei 2008;5890;4480;1.0;0.8
8;3;9;Groningen (PV);1 mei 2009;6080;4720;1.1;0.8
9;3;9;Groningen (PV);1 mei 2010;5640;4380;1.0;0.8
10;3;9;Friesland (PV);1 mei 2006;6190;4820;1.0;0.8
11;3;9;Friesland (PV);1 mei 2007;5580;4590;0.9;0.7
12;3;9;Friesland (PV);1 mei 2008;5440;4450;0.8;0.7
13;3;9;Friesland (PV);1 mei 2009;3920;3260;0.6;0.5
14;3;9;Friesland (PV);1 mei 2010;3460;2700;0.5;0.4
15;3;9;Drenthe (PV);1 mei 2006;3510;2680;0.7;0.6
16;3;9;Drenthe (PV);1 mei 2007;2990;2270;0.6;0.5
17;3;9;Drenthe (PV);1 mei 2008;2900;2210;0.6;0.5
18;3;9;Drenthe (PV);1 mei 2009;2880;2250;0.6;0.5
19;3;9;Drenthe (PV);1 mei 2010;2110;1650;0.4;0.3
20;3;9;Overijssel (PV);1 mei 2006;11310;8250;1.0;0.7
21;3;9;Overijssel (PV);1 mei 2007;9410;6810;0.8;0.6
22;3;9;Overijssel (PV);1 mei 2008;8780;6990;0.8;0.6
23;3;9;Overijssel (PV);1 mei 2009;8820;7090;0.8;0.6
24;3;9;Overijssel (PV);1 mei 2010;7890;6390;0.7;0.6
25;3;9;Flevoland (PV);1 mei 2006;5180;3800;1.4;1.0
26;3;9;Flevoland (PV);1 mei 2007;4410;3320;1.2;0.9
27;3;9;Flevoland (PV);1 mei 2008;4230;3330;1.1;0.9
28;3;9;Flevoland (PV);1 mei 2009;4600;3650;1.2;0.9
29;3;9;Flevoland (PV);1 mei 2010;3770;2900;1.0;0.7
30;3;9;Gelderland (PV);1 mei 2006;21670;16980;1.1;0.9
31;3;9;Gelderland (PV);1 mei 2007;19090;15140;1.0;0.8
32;3;9;Gelderland (PV);1 mei 2008;18410;14760;0.9;0.7
33;3;9;Gelderland (PV);1 mei 2009;17920;14750;0.9;0.7
34;3;9;Gelderland (PV);1 mei 2010;15800;12610;0.8;0.6
35;3;9;Utrecht (PV);1 mei 2006;14040;10550;1.2;0.9
36;3;9;Utrecht (PV);1 mei 2007;12460;8950;1.0;0.7
37;3;9;Utrecht (PV);1 mei 2008;11780;9010;1.0;0.7
38;3;9;Utrecht (PV);1 mei 2009;11130;8380;0.9;0.7
39;3;9;Utrecht (PV);1 mei 2010;10080;7270;0.8;0.6
40;3;9;Noord-Holland (PV);1 mei 2006;51860;37560;2.0;1.4
41;3;9;Noord-Holland (PV);1 mei 2007;44880;31930;1.7;1.2
42;3;9;Noord-Holland (PV);1 mei 2008;42960;32020;1.6;1.2
43;3;9;Noord-Holland (PV);1 mei 2009;45320;34690;1.7;1.3
44;3;9;Noord-Holland (PV);1 mei 2010;39670;30110;1.5;1.1
45;3;9;Zuid-Holland (PV);1 mei 2006;67020;49840;1.9;1.4
46;3;9;Zuid-Holland (PV);1 mei 2007;58730;44650;1.7;1.3
47;3;9;Zuid-Holland (PV);1 mei 2008;59180;47190;1.7;1.4
48;3;9;Zuid-Holland (PV);1 mei 2009;57430;45430;1.6;1.3
49;3;9;Zuid-Holland (PV);1 mei 2010;53770;42620;1.5;1.2
50;3;9;Zeeland (PV);1 mei 2006;4280;3420;1.1;0.9
51;3;9;Zeeland (PV);1 mei 2007;3900;2940;1.0;0.8
52;3;9;Zeeland (PV);1 mei 2008;3640;2820;1.0;0.7
53;3;9;Zeeland (PV);1 mei 2009;3540;2820;0.9;0.7
54;3;9;Zeeland (PV);1 mei 2010;3250;2520;0.9;0.7
55;3;9;Noord-Brabant (PV);1 mei 2006;21740;15600;0.9;0.6
56;3;9;Noord-Brabant (PV);1 mei 2007;19100;13810;0.8;0.6
57;3;9;Noord-Brabant (PV);1 mei 2008;19020;14300;0.8;0.6
58;3;9;Noord-Brabant (PV);1 mei 2009;18950;14180;0.8;0.6
59;3;9;Noord-Brabant (PV);1 mei 2010;16660;12700;0.7;0.5
60;3;9;Limburg (PV);1 mei 2006;17160;13790;1.5;1.2
61;3;9;Limburg (PV);1 mei 2007;14500;11450;1.3;1.0
62;3;9;Limburg (PV);1 mei 2008;13640;11240;1.2;1.0
63;3;9;Limburg (PV);1 mei 2009;13120;11040;1.2;1.0
64;3;9;Limburg (PV);1 mei 2010;12530;10600;1.1;0.9
65;3;1;Nederland;1 mei 2006;26490;19670;0.9;0.7
66;3;1;Nederland;1 mei 2007;27060;19540;0.8;0.5
67;3;1;Nederland;1 mei 2008;23020;17190;0.7;0.5
68;3;1;Nederland;1 mei 2009;21610;16500;0.7;0.5
69;3;1;Nederland;1 mei 2010;16600;12430;0.5;0.4
70;3;1;Groningen (PV);1 mei 2006;790;620;0.8;0.7
71;3;1;Groningen (PV);1 mei 2007;860;640;0.8;0.6
72;3;1;Groningen (PV);1 mei 2008;630;450;0.6;0.4
73;3;1;Groningen (PV);1 mei 2009;570;410;0.5;0.4
74;3;1;Groningen (PV);1 mei 2010;400;300;0.4;0.3
75;3;1;Friesland (PV);1 mei 2006;1180;1020;1.0;0.8
76;3;1;Friesland (PV);1 mei 2007;1430;1250;1.0;0.9
77;3;1;Friesland (PV);1 mei 2008;1320;1180;1.0;0.9
78;3;1;Friesland (PV);1 mei 2009;530;430;0.4;0.3
79;3;1;Friesland (PV);1 mei 2010;340;240;0.3;0.2
80;3;1;Drenthe (PV);1 mei 2006;460;360;0.5;0.4
