ID;Perioden;TotaalBatenDerdeGeldstroom_1;TotaalContractonderzoek_2;SemiOverheidsinstellingen_3;InternationaleOrganisaties_4;Bedrijven_5;Overig_6;TotaalOverigeActiviteiten_7;Cursussen_8;OverigeBaten_9
0;1990;420;231;85;25;50;70;190;96;94
1;1991;468;268;98;34;56;80;201;110;91
2;1992;548;299;110;43;59;87;249;123;125
3;1993;563;328;118;55;65;90;235;129;106
4;1994;567;325;107;54;64;101;241;135;107
5;1995;668;398;154;60;70;113;270;147;123
6;1996;692;404;159;60;69;116;288;159;128
7;1997;742;433;170;62;81;120;310;154;155
8;1998;836;486;171;67;93;157;350;168;182
9;1999;920;507;162;69;113;164;413;213;200
10;2000;1008;547;156;79;148;163;461;221;240
11;2001;1108;570;166;74;145;185;538;282;256
12;2002;1200;588;150;91;154;193;612;248;364
13;2003;1239;611;160;91;177;183;628;244;384
14;2004;1198;616;159;104;198;154;582;224;357
