ID;TypeOfMonument;Regions;Periods;ListedMonumentsAndHistoricBuildings_1
0;Listed monuments total ;The Netherlands;2013;61730
1;Listed monuments total ;The Netherlands;2014;61768
2;Listed monuments total ;The Netherlands;2015;61847
3;Listed monuments total ;The Netherlands;2016;61958
4;Listed monuments total ;The Netherlands;2017;61965
5;Listed monuments total ;The Netherlands;2018;61908
6;Listed monuments total ;Noord-Nederland (LD);2013;8009
7;Listed monuments total ;Noord-Nederland (LD);2014;8005
8;Listed monuments total ;Noord-Nederland (LD);2015;7996
9;Listed monuments total ;Noord-Nederland (LD);2016;7992
10;Listed monuments total ;Noord-Nederland (LD);2017;7992
11;Listed monuments total ;Noord-Nederland (LD);2018;7979
12;Listed monuments total ;Oost-Nederland (LD);2013;10114
13;Listed monuments total ;Oost-Nederland (LD);2014;10170
14;Listed monuments total ;Oost-Nederland (LD);2015;10213
15;Listed monuments total ;Oost-Nederland (LD);2016;10215
16;Listed monuments total ;Oost-Nederland (LD);2017;10225
17;Listed monuments total ;Oost-Nederland (LD);2018;10209
18;Listed monuments total ;West-Nederland (LD);2013;28763
19;Listed monuments total ;West-Nederland (LD);2014;28767
20;Listed monuments total ;West-Nederland (LD);2015;28783
21;Listed monuments total ;West-Nederland (LD);2016;28902
22;Listed monuments total ;West-Nederland (LD);2017;28899
23;Listed monuments total ;West-Nederland (LD);2018;28878
24;Listed monuments total ;Zuid-Nederland (LD);2013;14844
25;Listed monuments total ;Zuid-Nederland (LD);2014;14826
26;Listed monuments total ;Zuid-Nederland (LD);2015;14855
27;Listed monuments total ;Zuid-Nederland (LD);2016;14849
28;Listed monuments total ;Zuid-Nederland (LD);2017;14849
29;Listed monuments total ;Zuid-Nederland (LD);2018;14842
30;Listed monuments total ;Groningen (PV);2013;2556
31;Listed monuments total ;Groningen (PV);2014;2556
32;Listed monuments total ;Groningen (PV);2015;2557
33;Listed monuments total ;Groningen (PV);2016;2557
34;Listed monuments total ;Groningen (PV);2017;2557
