ID;Perioden;Waarde_1;Waardeontwikkeling_2;Volumeontwikkeling_3;Prijsontwikkeling_4;Waarde_5;Waardeontwikkeling_6;Volumeontwikkeling_7;Prijsontwikkeling_8;Waarde_9;Waardeontwikkeling_10;Volumeontwikkeling_11;Prijsontwikkeling_12;Waarde_13;Waardeontwikkeling_14;Volumeontwikkeling_15;Prijsontwikkeling_16;Waarde_17;Waardeontwikkeling_18;Volumeontwikkeling_19;Prijsontwikkeling_20;Waarde_21;Waardeontwikkeling_22;Volumeontwikkeling_23;Prijsontwikkeling_24;Waarde_25;Waardeontwikkeling_26;Volumeontwikkeling_27;Prijsontwikkeling_28;Waarde_29;Waardeontwikkeling_30;Volumeontwikkeling_31;Prijsontwikkeling_32;Waarde_33;Waardeontwikkeling_34;Volumeontwikkeling_35;Prijsontwikkeling_36;Waarde_37;Waardeontwikkeling_38;Volumeontwikkeling_39;Prijsontwikkeling_40;Waarde_41;Waardeontwikkeling_42;Volumeontwikkeling_43;Prijsontwikkeling_44;Waarde_45;Waardeontwikkeling_46;Volumeontwikkeling_47;Prijsontwikkeling_48;Waarde_49;Waardeontwikkeling_50;Volumeontwikkeling_51;Prijsontwikkeling_52;Waarde_53;Waardeontwikkeling_54;Volumeontwikkeling_55;Prijsontwikkeling_56;Waarde_57;Waardeontwikkeling_58;Volumeontwikkeling_59;Prijsontwikkeling_60;Waarde_61;Waardeontwikkeling_62;Volumeontwikkeling_63;Prijsontwikkeling_64;Waarde_65;Waardeontwikkeling_66;Volumeontwikkeling_67;Prijsontwikkeling_68;Waarde_69;Waardeontwikkeling_70;Volumeontwikkeling_71;Prijsontwikkeling_72;Waarde_73;Waardeontwikkeling_74;Volumeontwikkeling_75;Prijsontwikkeling_76;Waarde_77;Waardeontwikkeling_78;Volumeontwikkeling_79;Prijsontwikkeling_80;Waarde_81;Waardeontwikkeling_82;Waarde_83;Waardeontwikkeling_84;Waarde_85;Waardeontwikkeling_86;Waarde_87;Waardeontwikkeling_88;TotaalPrijsontwikkeling_89;OpenbaarBestuurPrijsontwikkeling_90;GesubsidieerdOnderwijsPrijsontwik_91;SocialeWerkvoorzieningPrijsontwikk_92;OverheidsconsumptieAlsPercentageBBP_93
0;1995;62847;;;;20927;;;;41920;;;;337;;;;20;;;;31225;;;;10378;;;;62847;;;;9779;;;;2356;;;;50712;;;;73904;;;;50712;;;;30585;;;;20127;;;;23192;;;;73904;;;;52424;;;;14132;;;;7348;;;;73904;;21176;;32398;;20330;;;;;;22.4
1;1996;63687;1.3;0.5;0.9;21198;1.3;-0.5;1.8;42489;1.4;1.0;0.4;346;2.7;1.8;0.9;81;305.0;300.0;1.3;31500;0.9;0.7;0.1;10724;3.3;2.2;1.1;63687;1.3;0.5;0.9;10375;6.1;7.6;-1.4;2348;-0.3;-3.6;3.4;50964;0.5;-0.7;1.2;73662;-0.3;-1.2;0.9;50964;0.5;-0.7;1.2;30389;-0.6;-1.5;0.9;20575;2.2;0.5;1.7;22698;-2.1;-2.4;0.3;73662;-0.3;-1.2;0.9;51790;-1.2;-1.8;0.6;14552;3.0;0.6;2.4;7320;-0.4;-0.9;0.5;73662;-0.3;21240;0.3;32613;0.7;19809;-2.6;2.1;2.2;2.3;0.4;21.4
2;1997;66256;4.0;2.8;1.2;22046;4.0;2.3;1.6;44210;4.1;3.0;1.0;360;4.0;2.3;1.7;127;56.8;56.8;0.0;32821;4.2;3.1;1.0;11156;4.0;3.1;0.9;66256;4.0;2.8;1.2;11046;6.5;6.6;-0.1;2419;3.0;0.6;2.4;52791;3.6;2.1;1.4;77467;5.2;3.2;1.9;52791;3.6;2.1;1.4;31677;4.2;2.8;1.4;21114;2.6;1.1;1.5;24676;8.7;5.6;3.0;77467;5.2;3.2;1.9;54552;5.3;3.3;2.0;14983;3.0;1.1;1.9;7932;8.4;6.5;1.7;77467;5.2;22108;4.1;32757;0.4;22602;14.1;1.5;1.5;1.7;1.7;21.0
3;1998;69692;5.2;4.3;0.9;23339;5.9;6.4;-0.5;46353;4.8;3.2;1.6;392;8.9;6.7;2.1;173;36.2;36.2;0.0;34496;5.1;3.2;1.8;11638;4.3;3.5;0.8;69692;5.2;4.3;0.9;11297;2.3;5.5;-3.1;2698;11.5;9.3;2.0;55697;5.5;3.8;1.6;82122;6.0;4.0;1.9;55697;5.5;3.8;1.6;33002;4.2;3.3;0.8;22695;7.5;4.5;2.9;26425;7.1;4.4;2.5;82122;6.0;4.0;1.9;57868;6.1;4.3;1.7;15785;5.4;1.4;3.9;8469;6.8;6.6;0.2;82122;6.0;23700;7.2;34412;5.1;24010;6.2;1.8;2.0;1.0;2.2;20.8
4;1999;73366;5.3;2.8;2.4;24532;5.1;2.3;2.8;48834;5.4;3.0;2.2;474;20.9;16.3;3.9;214;23.7;23.7;0.0;36325;5.3;2.7;2.5;12249;5.3;3.8;1.4;73366;5.3;2.8;2.4;12125;7.3;5.3;1.9;2945;9.2;6.2;2.8;58296;4.7;2.1;2.5;86383;5.2;2.2;2.9;58296;4.7;2.1;2.5;34470;4.4;2.3;2.1;23826;5.0;1.9;3.0;28087;6.3;2.3;3.9;86383;5.2;2.2;2.9;61378;6.1;3.0;3.0;16415;4.0;0.7;3.3;8590;1.4;-0.8;2.3;86383;5.2;24589;3.8;36529;6.2;25265;5.2;1.9;1.9;2.2;1.1;20.6
5;2000;78242;6.6;2.6;4.0;26438;7.8;2.9;4.7;51804;6.1;2.4;3.6;501;5.7;1.5;4.2;237;10.7;9.8;0.9;38422;5.8;1.9;3.8;13118;7.1;3.8;3.2;78242;6.6;2.6;4.0;12860;6.1;1.8;4.1;3170;7.6;2.7;4.8;62212;6.7;2.7;3.9;92910;7.6;3.3;4.1;62212;6.7;2.7;3.9;36615;6.2;2.1;4.0;25597;7.4;3.5;3.8;30698;9.3;4.6;4.5;92910;7.6;3.3;4.1;66771;8.8;4.5;4.1;17148;4.5;0.3;4.1;8991;4.7;0.5;4.1;92910;7.6;25849;5.1;39466;8.0;27595;9.2;4.0;4.0;3.8;3.5;20.6
6;2001;84355;7.8;4.4;3.2;28948;9.5;6.1;3.2;55407;7.0;3.6;3.2;527;5.2;2.4;2.7;290;22.4;22.8;-0.3;41132;7.1;3.8;3.1;14038;7.0;3.5;3.4;84355;7.8;4.4;3.2;13305;3.5;1.0;2.5;3577;12.8;7.8;4.7;67473;8.5;5.0;3.3;101160;8.9;4.5;4.2;67473;8.5;5.0;3.3;39526;8.0;4.7;3.1;27947;9.2;5.4;3.6;33687;9.7;3.5;6.0;101160;8.9;4.5;4.2;73743;10.4;5.6;4.6;18184;6.0;1.9;4.1;9233;2.7;1.4;1.3;101160;8.9;28111;8.8;42605;8.0;30444;10.3;3.9;4.1;3.2;2.2;21.0
7;2002;90426;7.2;3.2;3.9;31245;7.9;3.2;4.6;59181;6.8;3.1;3.6;567;7.6;4.9;2.5;331;14.1;4.5;9.2;44017;7.0;3.0;3.9;14928;6.3;3.6;2.7;90426;7.2;3.2;3.9;13668;2.7;0.8;1.9;3887;8.7;4.4;4.0;72871;8.0;3.6;4.3;110867;9.6;4.4;5.0;72871;8.0;3.6;4.3;42347;7.1;3.4;3.6;30524;9.2;3.8;5.3;37996;12.8;6.0;6.4;110867;9.6;4.4;5.0;81798;10.9;5.7;5.0;19614;7.9;1.5;6.2;9455;2.4;-0.6;3.1;110867;9.6;29877;6.3;46512;9.2;34478;13.3;3.3;3.5;3.1;-0.1;22.1
8;2003;95767;5.9;2.9;2.9;33478;7.1;3.4;3.6;62289;5.3;2.7;2.5;566;-0.2;-3.0;2.9;326;-1.5;-5.1;3.8;46397;5.4;2.4;2.9;15652;4.8;3.3;1.5;95767;5.9;2.9;2.9;14598;6.8;5.2;1.5;4153;6.8;4.0;2.7;77016;5.7;2.4;3.2;117438;5.9;2.8;3.1;77016;5.7;2.4;3.2;44506;5.1;2.5;2.5;32510;6.5;2.3;4.1;40422;6.4;3.4;2.9;117438;5.9;2.8;3.1;86901;6.2;3.3;2.8;20792;6.0;1.5;4.4;9745;3.1;0.7;2.4;117438;5.9;30098;0.7;50276;8.1;37064;7.5;2.6;2.7;2.6;-0.1;22.9
9;2004;97371;1.7;-0.6;2.3;33823;1.0;-1.0;2.1;63548;2.0;-0.4;2.5;578;2.1;-0.4;2.5;530;62.6;42.0;14.5;47267;1.9;-1.3;3.2;16233;3.7;2.9;0.8;97371;1.7;-0.6;2.3;15316;4.9;2.3;2.5;4308;3.7;2.2;1.5;77747;0.9;-1.4;2.3;119129;1.4;-0.5;1.9;77747;0.9;-1.4;2.3;44072;-1.0;-2.9;1.9;33675;3.6;0.7;2.9;41382;2.4;1.2;1.1;119129;1.4;-0.5;1.9;87725;0.9;-0.6;1.6;21616;4.0;0.7;3.3;9788;0.4;-1.8;2.3;119129;1.4;29270;-2.8;51425;2.3;38434;3.7;1.7;1.7;1.4;1.8;22.5
10;2005;100033;2.7;0.6;2.1;35065;3.7;0.8;2.9;64968;2.2;0.5;1.7;605;4.7;2.9;1.7;361;-31.9;-28.5;-4.7;47927;1.4;-0.5;1.9;16797;3.5;2.4;1.1;100033;2.7;0.6;2.1;15372;0.4;-0.9;1.2;4424;2.7;0.9;1.8;80237;3.2;0.9;2.3;122735;3.0;1.2;1.8;80237;3.2;0.9;2.3;44872;1.8;0.1;1.7;35365;5.0;1.9;3.0;42498;2.7;1.9;0.8;122735;3.0;1.2;1.8;90516;3.2;1.8;1.3;22518;4.2;0.6;3.6;9701;-0.9;-2.7;1.9;122735;3.0;30714;4.9;52471;2.0;39550;2.9;2.2;2.1;2.7;2.0;22.3
11;2006;103161;3.1;1.7;1.4;36388;3.8;2.2;1.6;66773;2.8;1.4;1.4;610;0.8;1.2;-0.3;340;-5.8;-6.1;0.3;49028;2.3;1.1;1.2;17475;4.0;2.0;2.0;103161;3.1;1.7;1.4;15827;3.0;4.4;-1.4;4709;6.4;3.3;3.0;82625;3.0;1.0;1.9;135551;10.4;8.3;2.0;82625;3.0;1.0;1.9;45868;2.2;1.2;1.0;36757;3.9;0.9;3.0;52926;24.5;22.1;2.0;135551;10.4;8.3;2.0;102351;13.1;11.3;1.6;23717;5.3;1.4;3.9;9483;-2.2;-3.4;1.2;135551;10.4;32185;4.8;53796;2.5;49570;25.3;1.9;1.7;2.4;2.3;23.2
12;2007;109111;5.8;2.8;2.9;39708;9.1;4.0;5.0;69403;3.9;2.2;1.8;622;2.0;1.1;0.8;328;-3.5;-4.1;0.6;50813;3.6;2.1;1.6;18296;4.7;2.3;2.3;109111;5.8;2.8;2.9;16494;4.2;4.4;-0.2;4748;0.8;-1.6;2.5;87869;6.3;2.7;3.5;143861;6.1;3.1;2.9;87869;6.3;2.7;3.5;48706;6.2;4.4;1.7;39163;6.5;0.7;5.8;55992;5.8;3.7;2.0;143861;6.1;3.1;2.9;109461;6.9;4.0;2.8;24877;4.9;1.1;3.7;9523;0.4;-1.5;2.0;143861;6.1;34887;8.4;58117;8.0;50857;2.6;2.5;2.4;2.7;2.6;23.2
13;2008;114017;4.5;2.4;2.0;40711;2.5;2.1;0.4;73306;5.6;2.6;2.9;674;8.4;5.3;2.9;334;1.8;-0.3;2.1;53822;5.9;2.8;3.0;19144;4.6;1.9;2.7;114017;4.5;2.4;2.0;16829;2.0;3.9;-1.8;4875;2.7;-0.5;3.2;92313;5.1;2.3;2.7;152051;5.7;3.2;2.4;92313;5.1;2.3;2.7;51853;6.5;2.7;3.7;40460;3.3;1.9;1.4;59738;6.7;4.6;2.0;152051;5.7;3.2;2.4;115713;5.7;4.0;1.7;26428;6.2;1.2;5.0;9910;4.1;0.0;4.1;152051;5.7;37351;7.1;62309;7.2;52391;3.0;3.2;3.2;3.6;2.1;23.5
14;2009;119811;5.1;2.9;2.1;43207;6.1;4.2;1.8;76604;4.5;2.2;2.2;679;0.7;-1.8;2.6;406;21.6;9.0;11.5;56654;5.3;2.5;2.7;19677;2.8;1.7;1.1;119811;5.1;2.9;2.1;16735;-0.6;0.5;-1.1;5208;6.8;3.7;3.0;97868;6.0;3.3;2.6;162444;6.8;4.7;2.1;97868;6.0;3.3;2.6;54499;5.1;3.6;1.5;43369;7.2;3.0;4.1;64576;8.1;6.8;1.2;162444;6.8;4.7;2.1;124454;7.6;6.0;1.4;27934;5.7;1.4;4.3;10056;1.5;-2.3;3.8;162444;6.8;39115;4.7;66367;6.5;56962;8.7;0.1;0.0;0.9;-1.0;26.0
15;2010;123395;3.0;0.1;2.9;44465;2.9;-3.7;6.8;78930;3.0;2.3;0.8;679;0.0;-1.6;1.6;360;-11.3;-2.7;-8.9;58148;2.6;2.3;0.3;20463;4.0;2.1;1.9;123395;3.0;0.1;2.9;17371;3.8;1.4;2.3;5178;-0.6;-3.4;3.0;100846;3.0;0.1;3.0;167744;3.3;0.9;2.3;100846;3.0;0.1;3.0;54399;-0.2;-1.2;1.0;46447;7.1;1.7;5.3;66898;3.6;2.2;1.4;167744;3.3;0.9;2.3;128894;3.6;1.1;2.5;28697;2.7;1.2;1.5;10153;1.0;-1.9;2.9;167744;3.3;38888;-0.6;68297;2.9;60559;6.3;1.5;1.6;1.3;2.4;26.2
16;2011;122754;-0.5;-2.1;1.6;43372;-2.5;-5.6;3.4;79382;0.6;-0.2;0.7;705;3.8;1.3;2.5;325;-9.7;-9.7;0.0;58059;-0.2;-1.0;0.9;20943;2.3;2.0;0.3;122754;-0.5;-2.1;1.6;17737;2.1;-2.1;4.3;5369;3.7;2.3;1.4;99648;-1.2;-2.4;1.2;167706;0.0;-0.4;0.4;99648;-1.2;-2.4;1.2;53454;-1.7;-3.4;1.7;46194;-0.5;-1.1;0.6;68058;1.7;2.5;-0.8;167706;0.0;-0.4;0.4;129506;0.5;-0.3;0.7;28379;-1.1;-0.5;-0.6;9821;-3.3;-2.3;-1.0;167706;0.0;37596;-3.3;67696;-0.9;62414;3.1;1.6;1.5;1.8;3.1;25.8
17;2012;122842;0.1;-2.1;2.2;42692;-1.6;-5.5;4.1;80150;1.0;-0.2;1.1;630;-10.6;-14.0;4.0;258;-20.6;-20.0;-0.8;58399;0.6;-0.7;1.3;21379;2.1;1.5;0.6;122842;0.1;-2.1;2.2;17501;-1.3;-3.4;2.1;5300;-1.3;-2.7;1.4;100041;0.4;-1.8;2.2;169945;1.3;-1.2;2.5;100041;0.4;-1.8;2.2;53971;1.0;-1.2;2.2;46070;-0.3;-2.5;2.2;69904;2.7;-0.2;3.0;169945;1.3;-1.2;2.5;131493;1.5;-1.4;2.9;28448;0.2;-0.3;0.6;10004;1.9;-0.7;2.6;169945;1.3;37567;-0.1;67003;-1.0;65375;4.7;1.2;1.3;0.9;0.8;26.0
18;2013;123166;0.3;0.8;-0.5;42501;-0.4;1.5;-2.0;80665;0.6;0.3;0.3;741;17.6;3.0;14.2;79;-69.4;3.9;-70.5;58264;-0.2;0.2;-0.4;21739;1.7;0.8;0.9;123166;0.3;0.8;-0.5;17537;0.2;0.0;0.2;5440;2.6;1.5;1.1;100189;0.1;0.8;-0.7;170326;0.2;0.0;0.2;100189;0.1;0.8;-0.7;55076;2.0;1.8;0.2;45113;-2.1;-0.3;-1.8;70137;0.3;-1.2;1.5;170326;0.2;0.0;0.2;131800;0.2;0.0;0.3;28571;0.4;0.0;0.4;9955;-0.5;1.0;-1.4;170326;0.2;41916;11.6;63458;-5.3;64952;-0.6;0.8;0.8;1.1;0.0;25.8
