ID;PrognoseInterval;Perioden;BevolkingOp1Januari_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarEnOuder_4;k_0Tot20Jaar_5;k_20Tot65Jaar_6;k_65JaarEnOuder_7;TotaleDruk_8;GroeneDruk_9;GrijzeDruk_10;Levendgeborenen_11;TotaalVruchtbaarheidscijfer_12;Overledenen_13;Totaal_14;Mannen_15;Vrouwen_16;Totaal_17;Mannen_18;Vrouwen_19;Immigratie_20;EmigratieInclusiefCorrecties_21;MigratiesaldoInclusiefCorrecties_22
0;Prognose;2018;;;;;;;;;;;168398;1.59;152505;81.79;80.15;83.36;19.92;18.62;21.11;241418;153257;88161
1;Prognose;2019;17285136.0;3792844.0;10177500.0;3314793.0;21.9;58.9;19.2;69.8;37.3;32.6;171304;1.59;153555;81.98;80.35;83.54;20.04;18.75;21.23;238364;163276;75087
2;Prognose;2020;17377972.0;3773522.0;10213418.0;3391033.0;21.7;58.8;19.5;70.1;36.9;33.2;174684;1.61;154801;82.15;80.52;83.74;20.16;18.87;21.36;232929;171676;61253
3;Prognose;2021;17459108.0;3750492.0;10240663.0;3467954.0;21.5;58.7;19.9;70.5;36.6;33.9;178549;1.63;156211;82.33;80.67;83.95;20.27;18.97;21.5;225695;177509;48186
4;Prognose;2022;17529632.0;3732784.0;10249433.0;3547415.0;21.3;58.5;20.2;71.0;36.4;34.6;181711;1.65;157744;82.51;80.83;84.16;20.39;19.07;21.64;226363;181866;44497
5;Prognose;2023;17598096.0;3719026.0;10250971.0;3628100.0;21.1;58.3;20.6;71.7;36.3;35.4;185042;1.67;159361;82.68;80.99;84.35;20.51;19.19;21.77;227239;186559;40680
6;Prognose;2024;17664458.0;3708818.0;10244786.0;3710854.0;21.0;58.0;21.0;72.4;36.2;36.2;188455;1.69;161056;82.86;81.16;84.54;20.63;19.31;21.89;227963;191089;36875
7;Prognose;2025;17728732.0;3707800.0;10224158.0;3796773.0;20.9;57.7;21.4;73.4;36.3;37.1;191274;1.71;163118;83.02;81.32;84.7;20.74;19.42;22.01;229517;193817;35700
8;Prognose;2026;17792588.0;3714955.0;10196050.0;3881582.0;20.9;57.3;21.8;74.5;36.4;38.1;193484;1.73;165246;83.18;81.48;84.87;20.85;19.53;22.12;230509;196204;34305
9;Prognose;2027;17855130.0;3725743.0;10159537.0;3969850.0;20.9;56.9;22.2;75.7;36.7;39.1;195011;1.74;167453;83.34;81.64;85.04;20.96;19.64;22.24;231328;198385;32943
10;Prognose;2028;17915632.0;3740911.0;10117838.0;4056883.0;20.9;56.5;22.6;77.1;37.0;40.1;196098;1.74;169732;83.5;81.79;85.21;21.07;19.75;22.36;231798;199665;32133
11;Prognose;2029;17974130.0;3753307.0;10075643.0;4145180.0;20.9;56.1;23.1;78.4;37.3;41.1;196806;1.75;172084;83.66;81.94;85.38;21.18;19.86;22.48;231986;200483;31503
12;Prognose;2030;18030356.0;3766335.0;10030071.0;4233950.0;20.9;55.6;23.5;79.8;37.6;42.2;197139;1.75;174484;83.82;82.09;85.56;21.3;19.96;22.61;232273;201177;31097
13;Prognose;2031;18084108.0;3779948.0;9989134.0;4315024.0;20.9;55.2;23.9;81.0;37.8;43.2;197175;1.75;176916;83.98;82.24;85.73;21.41;20.06;22.74;232393;201808;30585
