ID;Perioden;RechtbankenSectorKanton_1;RechtbankenSectorCiviel_2;Gerechtshoven_3;HogeRaad_4;RechtbankenSectorKanton_5;RechtbankenSectorCiviel_6;Gerechtshoven_7;HogeRaad_8;RechtbankenSectorBestuursrecht_9;CentraleRaadVanBeroep_10;RaadVanStateAfdBestuursrechtspraak_11;GerechtshovenBelastingkamer_12;HogeRaadBelastingkamer_13;CollegeVanBeroepVHBedrijfsleven_14;Kantonstrafzaken_15;Rechtbankstrafzaken_16;BeschikkingenCJIBWetMulder_17;KantonstrafzakenBijDeSectorKanton_18;RechtbankstrafzakenBijDeRechtbank_19;Kantonstrafzaken_20;RechtbankstrafzakenBijHetHof_21;Totaal_22;Kantonstrafzaken_23;Rechtbankstrafzaken_24;OverigeStrafzaken_25
0;1995;215.7;34.8;3.3;0.3;149.4;94.1;3.1;0.1;57.9;4.2;5.8;10.9;0.7;0.9;248.3;;3263.8;124.7;102.3;5.2;9.7;2.6;0.7;1.7;0.2
1;1996;213.4;34.8;3.3;0.3;137.0;94.0;2.6;0.1;44.8;5.8;4.6;10.0;0.7;0.9;183.9;;3718.8;100.2;104.6;6.0;9.2;2.2;0.6;1.5;0.2
2;1997;219.7;35.3;3.3;0.3;144.0;92.3;2.9;0.1;44.5;6.0;3.9;9.7;1.0;0.9;175.3;;4653.7;92.9;106.4;6.2;8.9;2.2;0.7;1.3;0.2
3;1998;226.4;35.2;3.3;0.2;144.6;92.7;3.0;0.2;40.7;5.9;5.2;9.2;0.9;0.9;148.4;;5255.6;80.3;105.0;6.5;9.0;2.2;0.6;1.3;0.3
4;1999;241.2;31.2;3.3;0.3;134.3;96.0;3.2;0.2;36.5;5.9;4.9;9.5;1.0;0.8;167.7;;6368.0;78.7;111.3;5.8;9.1;2.9;0.6;1.4;0.9
5;2000;235.4;30.2;3.2;0.3;129.1;113.6;3.1;0.2;29.1;4.7;4.9;8.8;0.8;0.7;144.5;;7794.0;87.6;111.0;4.8;;1.8;0.5;1.1;0.2
6;2001;254.7;29.2;3.4;0.4;145.6;121.2;3.0;0.2;29.8;5.1;5.9;9.5;0.7;0.9;94.7;259.6;9203.0;90.1;113.3;4.8;;2.8;;;
7;2002;255.6;30.4;3.5;0.4;178.8;123.1;3.5;0.1;30.1;5.5;7.2;11.4;0.7;1.0;89.3;275.4;9536.9;108.5;118.8;3.6;;3.0;;;
8;2003;318.8;32.0;3.9;0.4;201.8;126.4;3.9;0.1;33.1;5.3;8.4;12.0;1.0;1.0;130.1;292.6;10570.0;135.6;137.4;;;2.9;;;
9;2004;382.3;34.6;4.3;0.4;206.2;135.2;4.5;0.1;35.4;5.7;9.7;10.1;1.0;1.0;140.1;293.6;10372.7;174.1;136.1;;;2.8;;;
10;2005;398.3;32.7;4.7;0.3;213.4;140.2;5.4;0.1;40.1;6.0;10.0;8.3;1.1;0.8;123.7;285.8;10977.4;165.4;136.3;6.5;;3.4;;;
11;2006;388.4;31.3;4.7;0.3;219.0;143.7;6.0;0.1;49.2;6.3;9.2;3.4;1.0;0.8;113.0;287.2;11943.8;181.0;137.8;7.0;;3.1;;;
12;2007;386.1;29.7;4.6;0.3;215.7;150.7;6.1;0.2;49.0;5.8;8.4;2.3;0.9;0.8;101.1;281.6;12640.9;155.7;131.1;7.3;;3.0;;;
13;2008;452.4;31.1;4.7;0.4;238.3;150.1;6.8;0.2;46.3;5.8;8.5;2.1;0.9;0.7;93.4;276.0;11663.0;169.7;131.5;5.3;;3.0;;;
14;2009;519.8;35.5;4.8;0.4;269.2;157.7;7.2;0.2;43.5;6.1;9.1;2.6;1.0;0.7;86.4;268.2;11823.2;147.0;131.0;4.6;;3.4;;;
15;2010;550.3;36.7;4.8;0.4;278.4;164.9;7.2;0.2;47.6;6.0;11.8;2.8;1.0;0.9;42.2;222.2;10973.5;144.2;113.5;3.5;;3.4;;;
16;2011;509.5;28.3;4.9;0.4;246.7;166.9;8.0;0.3;48.8;5.9;12.5;3.1;0.9;0.9;33.0;239.4;9728.8;139.5;109.4;3.4;;3.8;;;
17;2012;447.9;17.6;4.2;0.3;281.3;162.9;7.7;0.2;46.4;5.7;12.2;2.9;1.1;0.9;18.7;240.4;9661.1;84.4;104.2;3.3;;3.4;;;
18;2013;418.9;15.9;4.3;0.4;287.2;161.2;7.6;0.3;46.5;5.4;12.9;3.1;1.0;0.9;16.3;224.3;10334.6;65.0;104.6;3.0;;;;;
19;2014;402.3;15.1;4.5;0.2;334.9;156.3;7.2;0.2;50.8;5.4;11.5;3.5;1.0;0.7;;221.8;8306.1;;102.1;;;;;;
20;2015;379.2;14.5;3.9;0.3;377.3;151.8;6.0;0.2;51.0;5.5;10.2;3.6;0.8;0.7;;203.9;7968.9;;106.4;;;;;;
21;2016;;;;;;;;;50.1;6.0;9.9;6.4;0.9;0.7;;202.5;9437.7;;94.4;;;;;;
