ID;Geslacht;Migratieachtergrond;Startjaar;BrugklastypeStartjaar;Peilmoment;OnderwijspositiePeilmoment;TotaalLeerlingenStartjaar_1;TotaalGediplomeerden_2;VmboB_3;VmboK_4;VmboGt_5;Havo_6;Vwo_7;NietGediplomeerden_8;TotaalGediplomeerden_9;VmboB_10;VmboK_11;VmboGt_12;Havo_13;Vwo_14;NietGediplomeerden_15
0;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;4 jaar na startjaar;Totaal;183571.0;76124.0;17376.0;20964.0;37760.0;19.0;5.0;107447.0;41.0;9.0;11.0;21.0;0.0;0.0;59.0
1;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;4 jaar na startjaar;Leerlingen in vo op peilmoment;99917.0;6465.0;364.0;70.0;6030.0;1.0;0.0;93452.0;6.0;0.0;0.0;6.0;0.0;0.0;94.0
2;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;4 jaar na startjaar;Leerlingen uit vo op peilmoment;83654.0;69659.0;17012.0;20894.0;31730.0;18.0;5.0;13995.0;83.0;20.0;25.0;38.0;0.0;0.0;17.0
3;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;5 jaar na startjaar;Totaal;183571.0;112230.0;18882.0;24156.0;45957.0;23211.0;24.0;71341.0;61.0;10.0;13.0;25.0;13.0;0.0;39.0
4;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;5 jaar na startjaar;Leerlingen in vo op peilmoment;58218.0;6870.0;26.0;15.0;5665.0;1164.0;0.0;51348.0;12.0;0.0;0.0;10.0;2.0;0.0;88.0
5;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;5 jaar na startjaar;Leerlingen uit vo op peilmoment;125353.0;105360.0;18856.0;24141.0;40292.0;22047.0;24.0;19993.0;84.0;15.0;19.0;32.0;18.0;0.0;16.0
6;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;6 jaar na startjaar;Totaal;183571.0;151638.0;18919.0;24301.0;42538.0;40415.0;25465.0;31933.0;83.0;10.0;13.0;23.0;22.0;14.0;17.0
7;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;6 jaar na startjaar;Leerlingen in vo op peilmoment;10175.0;2411.0;0.0;0.0;1208.0;1203.0;0.0;7764.0;24.0;0.0;0.0;12.0;12.0;0.0;76.0
8;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;6 jaar na startjaar;Leerlingen uit vo op peilmoment;173396.0;149227.0;18919.0;24301.0;41330.0;39212.0;25465.0;24169.0;86.0;11.0;14.0;24.0;23.0;15.0;14.0
9;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;7 jaar na startjaar;Totaal;183571.0;158001.0;18921.0;24307.0;41609.0;41854.0;31310.0;25570.0;86.0;10.0;13.0;23.0;23.0;17.0;14.0
10;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;7 jaar na startjaar;Leerlingen in vo op peilmoment;628.0;304.0;0.0;0.0;81.0;223.0;0.0;324.0;48.0;0.0;0.0;13.0;36.0;0.0;52.0
11;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal leerlingen startjaar;7 jaar na startjaar;Leerlingen uit vo op peilmoment;182943.0;157697.0;18921.0;24307.0;41528.0;41631.0;31310.0;25246.0;86.0;10.0;13.0;23.0;23.0;17.0;14.0
12;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal brugklas vmbo;4 jaar na startjaar;Totaal;70904.0;51843.0;16498.0;17886.0;17445.0;12.0;2.0;19061.0;73.0;23.0;25.0;25.0;0.0;0.0;27.0
13;Totaal leerlingen startjaar;Totaal migratieachtergrond;2008;Totaal brugklas vmbo;4 jaar na startjaar;Leerlingen in vo op peilmoment;13390.0;2646.0;336.0;57.0;2253.0;0.0;0.0;10744.0;20.0;3.0;0.0;17.0;0.0;0.0;80.0
