ID;Geslacht;Perioden;WerkteNietEnGaatNietWerken_1;StoptMetWerkenOfGaatMinderWerken_2;BlijftGelijkOfGaatMeerUrenWerken_3
0;Vader en moeder;2001;9;28;63
1;Vader en moeder;2002;10;27;63
2;Vader en moeder;2003;10;28;62
3;Vader en moeder;2004;11;27;62
4;Vader en moeder;2005;9;27;64
5;Vader en moeder;2006;11;23;66
6;Vader en moeder;2007;11;25;64
7;Vader en moeder;2008;8;24;68
8;Vader en moeder;2009;7;26;67
9;Vader en moeder;2010;6;25;70
10;Vader en moeder;2011;8;22;70
11;Vader en moeder;2012;8;22;69
12;Vader en moeder;2013;9;21;70
13;Vader;2001;2;6;92
14;Vader;2002;3;5;92
15;Vader;2003;4;6;89
16;Vader;2004;6;5;89
17;Vader;2005;3;6;91
18;Vader;2006;4;7;89
19;Vader;2007;4;6;90
20;Vader;2008;2;6;92
21;Vader;2009;2;9;90
22;Vader;2010;3;7;90
23;Vader;2011;4;5;91
24;Vader;2012;4;7;89
25;Vader;2013;4;7;89
26;Moeder;2001;16;51;34
27;Moeder;2002;15;49;35
28;Moeder;2003;15;48;37
29;Moeder;2004;16;48;36
30;Moeder;2005;16;47;38
31;Moeder;2006;17;38;44
32;Moeder;2007;17;44;39
33;Moeder;2008;14;40;46
34;Moeder;2009;12;43;45
35;Moeder;2010;8;42;50
36;Moeder;2011;12;39;49
37;Moeder;2012;13;37;50
38;Moeder;2013;14;34;53
