ID;Periods;TotalOverdraft_1;CurrentAccountsOverdrawn_2
0;1970 December;24;32
1;1971 December;29;77
2;1972 December;45;154
3;1973 December;60;196
4;1974 December;79;217
5;1975 December;103;256
6;1976 December;84;168
7;1977 December;119;187
8;1978 December;181;218
9;1979 December;196;249
10;1980 December;189;269
11;1981 December;197;311
12;1982 December;186;326
13;1983 December;407;655
14;1984 December;431;698
15;1985 December;455;740
16;1986 December;469;752
17;1987 December;499;767
18;1988 December;545;847
19;1989 December;603;925
20;1990 December;638;992
21;1991 December;757;1076
22;1992 December;1151;1182
23;1993 January;1241;1171
24;1993 February;1193;1158
25;1993 March;1211;1194
26;1993 April;1241;1222
27;1993 May;1163;1017
28;1993 June;1169;1051
29;1993 July;1200;1255
30;1993 August;1223;1198
31;1993 September;1252;1212
32;1993 October;1260;1207
33;1993 November;1266;1228
34;1993 December;1356;1601
35;1994 January;1368;1486
36;1994 February;1444;1583
37;1994 March;1508;1628
38;1994 April;1549;1652
39;1994 May;1514;1529
40;1994 June;1581;1574
41;1994 July;1644;1669
42;1994 August;1738;1861
43;1994 September;1883;1998
44;1994 October;1899;2001
45;1994 November;1937;2076
46;1994 December;2071;2123
47;1995 January;2050;2138
48;1995 February;2030;2121
49;1995 March;2082;2432
50;1995 April;2087;2030
51;1995 May;1910;1750
52;1995 June;2035;1827
53;1995 July;2062;1874
54;1995 August;2139;2030
55;1995 September;2211;2088
56;1995 October;2331;2155
57;1995 November;2381;2182
58;1995 December;2408;2136
59;1996 January;2410;2142
60;1996 February;2322;2110
61;1996 March;2290;2089
62;1996 April;2435;2215
63;1996 May;2229;1860
64;1996 June;2265;1439
65;1996 July;2376;1948
66;1996 August;2517;2154
67;1996 September;2590;2152
68;1996 October;2659;2266
69;1996 November;2712;2213
70;1996 December;2845;2347
71;1997 January;2813;2294
72;1997 February;2659;1947
73;1997 March;2742;2153
74;1997 April;2869;2248
75;1997 May;2671;1955
76;1997 June;2824;1977
77;1997 July;2926;2242
78;1997 August;3067;2192
79;1997 September;3130;2339
80;1997 October;3341;2328
81;1997 November;3311;2305
