ID;RegioS;Perioden;TotaalWegvoertuigen_1;Personenauto_2;TotaalBedrijfsvoertuigen_3;TotaalBedrijfsmotorvoertuigen_4;Bestelauto_5;VrachtautoExclTrekkerVoorOplegger_6;TrekkerVoorOplegger_7;SpeciaalVoertuig_8;Bus_9;TotaalAanhangwagensEnOpleggers_10;Aanhangwagen_11;Oplegger_12;Motorfiets_13;AlleVoertuigenMetBromfietskenteken_14;Snorfiets_15;Bromfiets_16;Brommobiel_17;OverigeVoertuigenMetBromfietskenteken_18;LandsdeelCode_19;ProvincieCode_20;CoropgebiedCode_21;Gemeentecode_22;Naam_23;GemeenteGrootteklasseCode_24;StedelijkheidVanGemeentenCode_25
0;Nederland, totaal;2000;7640776;6343164;883627;883627;696135;83153;56759;36374;11206;0;0;0;413985;0;0;0;0;0;      ;      ;      ;      ;Nederland                               ;;
1;Nederland, totaal;2001;7926892;6539040;950074;950074;755776;83418;59804;39707;11369;0;0;0;437778;0;0;0;0;0;      ;      ;      ;      ;Nederland                               ;;
2;Nederland, totaal;2002;8168344;6710595;996931;996931;797594;82706;62013;43292;11326;0;0;0;460818;0;0;0;0;0;      ;      ;      ;      ;Nederland                               ;;
3;Nederland, totaal;2003;8387745;6854947;1038548;1038548;835710;81668;62889;46899;11382;0;0;0;494250;0;0;0;0;0;      ;      ;      ;      ;Nederland                               ;;
4;Nederland, totaal;2004;9324217;6908890;1898932;1070214;866753;79444;63445;49228;11344;828718;721626;107092;516395;0;0;0;0;0;      ;      ;      ;      ;Nederland                               ;;
5;Nederland, totaal;2005;9521575;6991974;1992670;1098275;893455;77619;64519;51451;11231;894395;782035;112360;536931;0;0;0;0;0;      ;      ;      ;      ;Nederland                               ;;
6;Nederland, totaal;2006;9652941;7092293;2007699;1070605;862974;75924;65608;55104;10995;937094;820035;117059;552949;0;0;0;0;0;      ;      ;      ;      ;Nederland                               ;;
7;Nederland, totaal;2007;10547585;7230178;2037704;1064846;849348;75841;70544;58268;10845;972858;853482;119376;567911;711792;304816;385930;15740;5306;      ;      ;      ;      ;Nederland                               ;;
8;Nederland, totaal;2008;10853984;7391903;2090469;1082523;862303;75313;72786;61030;11091;1007946;881919;126027;585204;786408;339941;423189;17513;5765;      ;      ;      ;      ;Nederland                               ;;
9;Nederland, totaal;2009;11162088;7542331;2140281;1101432;876170;75112;74624;64194;11332;1038849;905955;132894;605604;873872;386025;464870;19008;3969;      ;      ;      ;      ;Nederland                               ;;
10;Nederland, totaal;2010;11352447;7622353;2150951;1094211;872355;73368;71560;65294;11634;1056740;924118;132622;623442;955701;435247;496145;20112;4197;      ;      ;      ;      ;Nederland                               ;;
11;Nederland, totaal;2011;11550992;7735547;2151150;1079993;861250;71386;71329;64751;11277;1071157;938857;132300;636199;1028096;487380;515517;20737;4462;      ;      ;      ;      ;Nederland                               ;;
12;Nederland, totaal;2012;11717866;7858712;2150483;1065799;849666;69545;71487;64115;10986;1084684;952350;132334;646995;1061676;526771;509333;20996;4576;      ;      ;      ;      ;                                        ;;
