ID;Perioden;AantalBedrijven_1;TotaalBedrijfsopbrengsten_2;TotaalNettoOmzet_3;OverigeBedrijfsopbrengstenNietEer_4;TotaalBedrijfslasten_5;TotaalArbeidskosten_6;LonenEnSalarissen_7;Pensioenlasten_8;SocialeLasten_9;AfschrijvingenOpVasteActiva_10;TotaalOverigeBedrijfslasten_11;TotaalAnderePersoneelskosten_12;KostenUitzendkrachtenEnOverigeInleen_13;OverigePersoneelskosten_14;OverigeBedrijfslastenNietEerderGe_15;Bedrijfsresultaat_16;FinancieleBaten_17;FinancieleLasten_18;FinancieelResultaat_19;VrijvalVanVoorzieningen_20;ToevoegingenVoorzieningen_21;SaldoVoorzieningen_22;BuitengewoneBaten_23;BuitengewoneLasten_24;BuitengewoonResultaat_25;ResultaatVoorBelastingen_26
0;2002;4610;823.1;810.3;12.8;374.5;188.2;157.7;6.6;23.9;34.7;151.6;17.1;6.7;10.3;134.5;448.6;8.2;21.7;-13.4;0.8;1.7;-0.9;2.0;1.9;0.0;434.3
1;2003;4750;887.6;873.2;14.4;409.8;208.4;175.5;5.2;27.7;37.9;163.5;19.0;8.8;10.2;144.5;477.8;8.0;17.2;-9.1;0.7;0.8;-0.1;2.3;2.6;-0.2;468.4
2;2004;4740;890.0;875.9;14.1;440.0;226.3;190.0;5.6;30.7;39.6;174.1;20.2;8.8;11.4;153.9;450.0;3.9;16.1;-12.2;0.5;0.7;-0.2;2.1;2.7;-0.7;437.0
3;2005;4680;948.2;933.7;14.5;486.5;265.0;221.2;6.6;37.2;38.6;183.0;15.7;7.0;8.6;167.3;461.7;;;-5.9;0.9;2.0;-1.1;;;10.3;464.9
4;2006;4640;1123.2;1105.3;17.9;531.4;299.2;253.0;6.7;39.6;38.6;193.6;21.9;8.8;13.0;171.7;591.8;;;-6.2;0.9;2.7;-1.8;;;12.2;596.0
5;2007;4600;1209.7;1194.5;15.2;571.9;321.0;270.9;7.5;42.6;34.0;216.9;25.1;10.6;14.5;191.8;637.7;;;-5.6;0.2;0.8;-0.6;;;10.0;641.5
