ID;Countries;Periods;EfficiencyDistributionInfrastructure_1;ICTExpenditure_2;ITExpenditure_3;TelecommunicationExpenditure_4;PublicRDExpenditure_5;Total_6;PercentageFinancedPublicly_7;PercentageFinancedPrivately_8;InGDPPerCapita_9;PrimaryEducation_10;SecondaryEducation_11;Total_12;PercentageFinancedPublicly_13;PercentageFinancedPrivately_14
0;Australia;1990;;;;;0.7;;;;;;;;;
1;Australia;1991;6.6;;;;;;;;;;;;;
2;Australia;1992;6.0;;;;0.74;;;;;;;;;
3;Australia;1993;6.3;;;;;;;;;;;;;
4;Australia;1994;7.4;;;;0.73;;;;;;;;;
5;Australia;1995;7.3;;;;;;78.9;21.1;;;;;64.8;35.2
6;Australia;1996;7.0;;;;0.74;;;;;;;;;
7;Australia;1997;6.7;;;;;;;;;3633.0;5570.0;11240.0;;
8;Australia;1998;6.7;;;;0.69;;;;;3981.0;5830.0;11539.0;56.1;43.9
9;Australia;1999;7.4;;;;;;;;;4858.0;6850.0;11725.0;52.4;47.6
10;Australia;2000;7.4;;;;0.69;6904.0;75.7;24.3;27.0;4967.0;6894.0;12854.0;51.0;49.0
11;Australia;2001;7.2;;;;;7046.0;75.6;24.4;26.0;5052.0;7239.0;12688.0;51.3;48.7
12;Australia;2002;7.5;;;;0.7;7209.0;74.2;25.8;26.0;5169.0;7375.0;12416.0;48.7;51.3
13;Australia;2003;7.8;;;;;7527.0;73.9;26.1;24.0;5494.0;7788.0;12406.0;48.0;52.0
14;Australia;2004;7.8;;;;0.69;8053.0;73.0;27.0;26.0;5776.0;8160.0;14036.0;47.2;52.8
15;Australia;2005;7.0;;;;;8340.0;73.4;26.6;25.0;5992.0;8408.0;14579.0;47.8;52.2
16;Australia;2006;7.7;;;;0.75;8678.0;72.4;27.6;24.0;6311.0;8700.0;15016.0;47.6;52.4
17;Australia;2007;7.2;;;;;8768.0;69.5;30.5;23.0;6498.0;8840.0;14726.0;44.3;55.7
18;Australia;2008;7.3;;;;0.77;;;;;;;;;
19;Australia;2009;7.4;;;;;10407.0;74.7;25.3;26.0;8328.0;10137.0;16074.0;45.9;54.1
20;Australia;2010;7.8;;;;;;;;;;;;;
21;Australia;2011;8.0;;;;;;;;;;;;;
22;Australia;2012;7.7;;;;;;;;;;;;;
23;Austria;1990;;;;;0.61;;;;;;;;;
24;Austria;1991;7.2;;;;0.67;;;;;;;;;
