ID;KenmerkenPersonen;Marges;Perioden;Gelukkig_1;TevredenMetHetLeven_2
0;Totaal personen;Waarde;1997;88.2;84.1
1;Totaal personen;Waarde;1998;89.0;85.4
2;Totaal personen;Waarde;1999;88.4;84.8
3;Totaal personen;Waarde;2000;89.1;85.8
4;Totaal personen;Waarde;2001;89.3;85.9
5;Totaal personen;Waarde;2002;88.0;84.4
6;Totaal personen;Waarde;2003;87.8;84.5
7;Totaal personen;Waarde;2004;87.8;84.3
8;Totaal personen;Waarde;2005;87.4;83.9
9;Totaal personen;Waarde;2006;88.8;84.4
10;Totaal personen;Waarde;2007;88.2;84.9
11;Totaal personen;Waarde;2008;88.7;85.8
12;Totaal personen;Waarde;2009;89.0;85.1
13;Totaal personen;Waarde;2010;87.7;83.8
14;Totaal personen;Waarde;2011;88.1;84.7
15;Totaal personen;Waarde;2012;89.0;85.1
16;Totaal personen;Waarde;2013;87.5;83.6
17;Totaal personen;Waarde;2014;87.9;84.6
18;Totaal personen;Waarde;2015;87.4;83.9
19;Totaal personen;Waarde;2016;88.3;85.2
20;Totaal personen;Waarde;2017;87.5;85.4
21;Totaal personen;Waarde;2018;87.7;85.7
22;Totaal personen;Waarde;2019;88.9;87.3
23;Totaal personen;Waarde;2020;86.8;84.8
24;Totaal personen;Waarde;2021;86.4;83.6
25;Totaal personen;Ondergrens 95%-interval;1997;87.8;83.7
26;Totaal personen;Ondergrens 95%-interval;1998;88.8;85.2
27;Totaal personen;Ondergrens 95%-interval;1999;88.1;84.4
28;Totaal personen;Ondergrens 95%-interval;2000;88.7;85.5
29;Totaal personen;Ondergrens 95%-interval;2001;88.8;85.4
30;Totaal personen;Ondergrens 95%-interval;2002;87.5;83.9
31;Totaal personen;Ondergrens 95%-interval;2003;87.3;84.0
32;Totaal personen;Ondergrens 95%-interval;2004;87.4;83.8
33;Totaal personen;Ondergrens 95%-interval;2005;86.7;83.1
34;Totaal personen;Ondergrens 95%-interval;2006;88.0;83.6
35;Totaal personen;Ondergrens 95%-interval;2007;87.5;84.1
36;Totaal personen;Ondergrens 95%-interval;2008;88.0;85.1
37;Totaal personen;Ondergrens 95%-interval;2009;88.3;84.3
38;Totaal personen;Ondergrens 95%-interval;2010;86.5;82.6
39;Totaal personen;Ondergrens 95%-interval;2011;;
40;Totaal personen;Ondergrens 95%-interval;2012;88.0;83.9
41;Totaal personen;Ondergrens 95%-interval;2013;86.7;82.7
42;Totaal personen;Ondergrens 95%-interval;2014;87.2;83.8
43;Totaal personen;Ondergrens 95%-interval;2015;86.6;83.1
44;Totaal personen;Ondergrens 95%-interval;2016;87.5;84.4
45;Totaal personen;Ondergrens 95%-interval;2017;86.7;84.6
46;Totaal personen;Ondergrens 95%-interval;2018;86.9;84.9
47;Totaal personen;Ondergrens 95%-interval;2019;88.1;86.5
48;Totaal personen;Ondergrens 95%-interval;2020;86.0;84.0
49;Totaal personen;Ondergrens 95%-interval;2021;86.0;83.2
50;Totaal personen;Bovengrens 95%-interval;1997;88.6;84.5
51;Totaal personen;Bovengrens 95%-interval;1998;89.3;85.7
52;Totaal personen;Bovengrens 95%-interval;1999;88.7;85.1
53;Totaal personen;Bovengrens 95%-interval;2000;89.4;86.2
54;Totaal personen;Bovengrens 95%-interval;2001;89.7;86.3
55;Totaal personen;Bovengrens 95%-interval;2002;88.4;84.9
56;Totaal personen;Bovengrens 95%-interval;2003;88.2;85.0
57;Totaal personen;Bovengrens 95%-interval;2004;88.3;84.8
58;Totaal personen;Bovengrens 95%-interval;2005;88.2;84.6
59;Totaal personen;Bovengrens 95%-interval;2006;89.5;85.2
60;Totaal personen;Bovengrens 95%-interval;2007;89.0;85.7
61;Totaal personen;Bovengrens 95%-interval;2008;89.5;86.6
62;Totaal personen;Bovengrens 95%-interval;2009;89.8;85.9
63;Totaal personen;Bovengrens 95%-interval;2010;88.8;85.0
64;Totaal personen;Bovengrens 95%-interval;2011;;
65;Totaal personen;Bovengrens 95%-interval;2012;90.0;86.2
66;Totaal personen;Bovengrens 95%-interval;2013;88.3;84.4
67;Totaal personen;Bovengrens 95%-interval;2014;88.7;85.4
68;Totaal personen;Bovengrens 95%-interval;2015;88.2;84.8
69;Totaal personen;Bovengrens 95%-interval;2016;89.0;86.0
70;Totaal personen;Bovengrens 95%-interval;2017;88.2;86.2
71;Totaal personen;Bovengrens 95%-interval;2018;88.5;86.5
72;Totaal personen;Bovengrens 95%-interval;2019;89.7;88.1
73;Totaal personen;Bovengrens 95%-interval;2020;87.6;85.6
74;Totaal personen;Bovengrens 95%-interval;2021;86.8;84.1
75;Geslacht: mannen;Waarde;1997;88.1;82.6
76;Geslacht: mannen;Waarde;1998;88.7;83.9
77;Geslacht: mannen;Waarde;1999;88.3;83.1
78;Geslacht: mannen;Waarde;2000;88.9;84.4
79;Geslacht: mannen;Waarde;2001;89.0;84.8
80;Geslacht: mannen;Waarde;2002;88.2;83.3
81;Geslacht: mannen;Waarde;2003;87.2;83.2
82;Geslacht: mannen;Waarde;2004;87.7;82.9
83;Geslacht: mannen;Waarde;2005;86.8;82.1
84;Geslacht: mannen;Waarde;2006;89.2;83.2
85;Geslacht: mannen;Waarde;2007;87.9;83.4
