ID;Regelgeving;Perioden;AanHetBeginVanDePeriodeAanhangig_1;IngediendeZaken_2;TotaalUitspraken_3;KennelijkNietOntvankelijk_4;KennelijkOngegrond_5;KennelijkGegrond_6;OverigeUitspraken_7;Ingesteld_8;IngetrokkenNietOntvankelijkOngegrond_9;Gegrond_10;TotaalUitspraken_11;OngegrondInEersteEnEnigeAanleg_12;GegrondInEersteEnEnigeAanleg_13;BevestigingAangevallenUitspraak_14;VernietigingAangevallenUitspraak_15;OverigeUitspraken_16;TotaalUitspraken_17;Afgewezen_18;GeheelOfDeelsWordtToegewezen_19;OverigeUitspraken_20;IngetrokkenVerwezenZaken_21;AanHetEindVanDePeriodeAanhangig_22
0;Totaal alle regelgeving;1998;13317;8934;469;457;3;6;3;105;121;14;5343;742;131;2858;1406;206;123;81;32;10;3378;12922
1;Totaal alle regelgeving;1999;12922;6547;464;444;2;4;14;125;103;13;5362;940;121;2383;1723;195;116;85;21;10;2848;10701
2;Totaal alle regelgeving;2000;10701;6797;445;349;2;4;90;143;122;13;4210;406;62;2260;1321;161;63;41;16;6;1905;10896
3;Totaal alle regelgeving;2001;10896;6706;378;238;0;0;140;145;133;16;4664;474;54;2496;1418;222;87;61;23;3;1814;10671
4;Totaal alle regelgeving;2002;10671;6375;411;252;2;0;157;154;130;23;5035;647;77;2385;1681;245;99;65;17;17;1382;10143
5;Totaal alle regelgeving;2003;10143;6520;406;208;1;5;192;119;109;16;4778;624;63;2378;1483;230;102;75;14;13;1381;10006
6;Totaal alle regelgeving;2004;10006;7417;435;209;0;1;225;123;122;9;5180;403;66;2996;1503;212;80;55;12;13;1404;10326
7;Totaal alle regelgeving;2005;10326;7472;479;193;2;2;282;156;132;14;5424;397;71;3189;1502;265;124;98;17;9;1578;10217
8;Totaal alle regelgeving;2006;10217;7404;372;127;0;0;245;94;111;15;5783;339;72;3156;1761;455;99;75;16;8;1564;9786
9;Totaal alle regelgeving;2007;9786;7192;274;131;0;3;140;54;59;11;5423;243;73;3311;1479;317;86;66;15;5;1606;9584
10;Totaal alle regelgeving;2008;9584;7438;306;133;1;4;168;65;41;10;5467;348;89;3000;1776;254;76;57;12;7;1492;9705
11;Totaal alle regelgeving;2009;9705;7044;289;138;0;6;145;73;66;10;5711;381;108;3498;1552;172;64;49;10;5;1409;9283
12;Totaal alle regelgeving;2010;9283;7127;327;111;3;3;210;80;54;16;5605;279;144;3504;1485;193;80;68;5;7;1482;8942
13;Totaal alle regelgeving;2011;8942;7575;364;177;0;1;186;103;78;16;5428;228;115;3715;1211;159;150;125;15;10;1450;9150
14;Totaal alle regelgeving;2012;9150;6911;283;88;0;2;193;90;91;10;5259;270;409;3266;1145;169;110;81;16;13;1504;8904
15;Totaal alle regelgeving;2013;8905;6995;238;60;0;3;175;69;66;18;5061;271;162;3298;1201;129;63;53;7;3;1486;9055
16;Totaal alle regelgeving;2014;9055;7210;252;102;0;0;150;71;55;18;4993;216;124;3500;1013;140;105;82;16;7;1569;9362
17;Totaal alle regelgeving;2015;9362;8617;212;101;0;1;110;52;43;6;5257;144;62;3793;1120;138;67;55;8;4;2444;10008
18;Totaal alle regelgeving;2016;10009;8153;324;143;0;1;180;63;47;10;5576;207;63;3557;1569;180;84;74;2;8;1887;10307
19;Totaal ambtenarenzaken;1998;1318;1036;49;47;0;2;0;9;6;0;522;33;5;327;148;9;50;29;19;2;250;1486
20;Totaal ambtenarenzaken;1999;1486;967;32;30;0;0;2;12;8;1;457;3;7;284;159;4;61;43;14;4;237;1670
21;Totaal ambtenarenzaken;2000;1670;1194;30;25;0;4;1;10;11;3;562;5;3;340;196;18;30;18;9;3;261;1980
22;Totaal ambtenarenzaken;2001;1980;846;41;36;0;0;5;11;5;0;709;1;7;453;220;28;43;25;18;0;231;1808
23;Totaal ambtenarenzaken;2002;1808;1019;12;9;1;0;2;4;9;0;1127;5;1;457;641;23;17;13;3;1;182;1484
24;Totaal ambtenarenzaken;2003;1484;775;27;18;0;0;9;4;4;4;871;14;7;499;326;25;34;23;7;4;187;1140
25;Totaal ambtenarenzaken;2004;1140;869;29;12;0;0;17;4;3;0;642;8;16;335;268;15;37;23;12;2;222;1080
26;Totaal ambtenarenzaken;2005;1080;1301;23;10;0;1;12;7;3;0;620;12;5;371;213;19;64;48;12;4;212;1466
27;Totaal ambtenarenzaken;2006;1466;1015;24;14;0;0;10;3;9;0;689;10;5;315;256;103;40;24;15;1;287;1435
28;Totaal ambtenarenzaken;2007;1435;806;22;7;0;2;13;1;1;0;920;14;11;692;171;32;31;24;6;1;267;1001
29;Totaal ambtenarenzaken;2008;1001;931;32;14;0;4;14;9;4;0;570;11;9;316;203;31;33;23;10;0;249;1053
30;Totaal ambtenarenzaken;2009;1053;838;20;5;0;6;9;3;5;1;631;46;9;358;199;19;26;19;5;2;182;1030
31;Totaal ambtenarenzaken;2010;1030;784;11;6;0;0;5;2;3;0;625;10;21;345;238;11;23;18;4;1;220;934
32;Totaal ambtenarenzaken;2011;934;903;39;32;0;1;6;6;4;0;608;19;23;271;278;17;22;16;5;1;187;983
33;Totaal ambtenarenzaken;2012;983;921;13;6;0;0;7;2;3;2;489;17;15;294;153;10;24;20;3;1;192;1185
34;Totaal ambtenarenzaken;2013;1186;900;14;4;0;0;10;1;0;1;710;20;33;307;333;17;5;3;2;0;200;1158
35;Totaal ambtenarenzaken;2014;1158;816;11;8;0;0;3;1;0;1;707;25;25;395;247;15;25;23;1;1;229;1003
