ID;Persoonskenmerken;OnderwijspositieInStartjaar;Peilmoment;NiveauOpPeilmoment;OnderwijspositieOpPeilmoment;BehaaldeDiplomaSOpPeilmoment;Regiokenmerken;TotaalEerstejaarsMbo_1;InstroomOpNiveau1_2;InstroomOpNiveau2_3;InstroomOpNiveau3_4;InstroomOpNiveau4_5;TotaalEerstejaarsMbo_6;InstroomOpNiveau1_7;InstroomOpNiveau2_8;InstroomOpNiveau3_9;InstroomOpNiveau4_10;TotaalEerstejaarsMbo_11;InstroomOpNiveau1_12;InstroomOpNiveau2_13;InstroomOpNiveau3_14;InstroomOpNiveau4_15;TotaalEerstejaarsMbo_16;InstroomOpNiveau1_17;InstroomOpNiveau2_18;InstroomOpNiveau3_19;InstroomOpNiveau4_20
0;Totaal deelnemers;0;2;0;0;0;Nederland;93220.0;5370.0;29980.0;16440.0;41430.0;104350.0;5790.0;33530.0;19170.0;45870.0;103580.0;5050.0;33450.0;19610.0;45480.0;105900.0;6130.0;33950.0;20300.0;45520.0
1;Totaal deelnemers;0;2;0;0;0;Vier grootste gemeenten (G4);9860.0;910.0;3720.0;1520.0;3710.0;10960.0;1070.0;3840.0;2000.0;4050.0;11190.0;930.0;3920.0;1960.0;4380.0;11260.0;1050.0;4030.0;1790.0;4380.0
2;Totaal deelnemers;0;2;0;0;0;Amsterdam;3200.0;310.0;1200.0;450.0;1250.0;3490.0;300.0;1210.0;590.0;1390.0;3510.0;240.0;1230.0;560.0;1480.0;3570.0;280.0;1290.0;520.0;1480.0
3;Totaal deelnemers;0;2;0;0;0;Rotterdam;3480.0;420.0;1370.0;550.0;1140.0;3860.0;500.0;1370.0;700.0;1290.0;4070.0;450.0;1420.0;760.0;1440.0;3980.0;500.0;1420.0;660.0;1410.0
4;Totaal deelnemers;0;2;0;0;0;'s-Gravenhage;2070.0;90.0;750.0;390.0;840.0;2370.0;130.0;830.0;540.0;860.0;2320.0;140.0;840.0;490.0;850.0;2500.0;160.0;930.0;480.0;930.0
5;Totaal deelnemers;0;2;0;0;0;Utrecht (gemeente);1110.0;100.0;400.0;140.0;480.0;1250.0;130.0;440.0;170.0;520.0;1290.0;110.0;420.0;160.0;600.0;1210.0;120.0;390.0;140.0;570.0
6;Totaal deelnemers;0;2;0;0;0;Rest van Nederland;83360.0;4460.0;26260.0;14920.0;37720.0;93380.0;4720.0;29690.0;17170.0;41810.0;92400.0;4120.0;29530.0;17650.0;41100.0;94640.0;5080.0;29920.0;18510.0;41130.0
7;Totaal deelnemers;0;2;0;0;0;Gemeenten >= 100 000 inwoners (excl. G4);16140.0;1210.0;5350.0;2670.0;6910.0;17940.0;1290.0;5830.0;3050.0;7770.0;17720.0;1080.0;5770.0;3230.0;7630.0;18130.0;1280.0;5810.0;3390.0;7660.0
8;Totaal deelnemers;0;2;0;0;0;Gemeenten < 100 000 inwoners;67070.0;3220.0;20860.0;12220.0;30770.0;75250.0;3420.0;23790.0;14080.0;33960.0;74460.0;3020.0;23680.0;14370.0;33380.0;76310.0;3790.0;24040.0;15080.0;33400.0
9;Totaal deelnemers;0;2;0;0;0;Woonregio onbekend;150.0;30.0;50.0;20.0;50.0;200.0;10.0;60.0;40.0;90.0;230.0;20.0;70.0;40.0;90.0;200.0;10.0;70.0;40.0;80.0
10;Totaal deelnemers;0;2;0;0;0;Groningen (PV);3010.0;120.0;1030.0;420.0;1450.0;3510.0;160.0;1130.0;500.0;1730.0;3400.0;160.0;1120.0;510.0;1610.0;3570.0;240.0;1220.0;560.0;1540.0
11;Totaal deelnemers;0;2;0;0;0;Friesland (PV);4290.0;160.0;1310.0;680.0;2140.0;4850.0;170.0;1530.0;680.0;2460.0;4710.0;150.0;1470.0;750.0;2350.0;4840.0;230.0;1460.0;1100.0;2050.0
12;Totaal deelnemers;0;2;0;0;0;Drenthe (PV);2950.0;190.0;820.0;480.0;1460.0;3270.0;120.0;1020.0;650.0;1480.0;3380.0;100.0;1020.0;690.0;1570.0;3370.0;150.0;1060.0;590.0;1560.0
13;Totaal deelnemers;0;2;0;0;0;Overijssel (PV);7510.0;370.0;2500.0;1200.0;3440.0;8100.0;330.0;2620.0;1510.0;3640.0;7840.0;260.0;2540.0;1500.0;3540.0;8050.0;350.0;2440.0;1670.0;3600.0
