ID;Grootteklasse;Perioden;TotaalAantalWerkzamePersonen_1;TotaalWerkzamePersonenOpSchepen_2;MetEenNederlandseNationaliteit_3;MetEenAndereEUNationaliteit_4;MetEenNietEUNationaliteit_5;WerkzamePersonenAanDeWal_6
0;Totaal zeevaartbedrijven;2000;13889;11821;5815;1329;4677;2068
1;Totaal zeevaartbedrijven;2001;15202;12831;5706;1618;5507;2370
2;Totaal zeevaartbedrijven;2002;14323;11673;4984;1637;5052;2651
3;Totaal zeevaartbedrijven;2003;13469;11308;4523;1540;5245;2162
4;Met 0 tot 10 werknemers;2000;3594;3432;1787;169;1476;161
5;Met 0 tot 10 werknemers;2001;3475;3059;1430;359;1270;416
6;Met 0 tot 10 werknemers;2002;3374;3038;1224;339;1475;337
7;Met 0 tot 10 werknemers;2003;2946;2749;1065;336;1348;197
8;Met 10 tot 100 werknemers;2000;2353;2059;1120;131;808;294
9;Met 10 tot 100 werknemers;2001;2808;2360;1198;102;1060;447
10;Met 10 tot 100 werknemers;2002;2700;2125;1155;121;849;576
11;Met 10 tot 100 werknemers;2003;2264;1990;886;128;976;275
12;Met 100 of meer werknemers;2000;7942;6329;2907;1029;2393;1613
13;Met 100 of meer werknemers;2001;8918;7411;3078;1157;3176;1507
14;Met 100 of meer werknemers;2002;8248;6510;2605;1177;2728;1738
15;Met 100 of meer werknemers;2003;8259;6569;2572;1075;2922;1690
