ID;Countries;SIC2008;Periods;ForeignSubsidiary_1;Employees_2;Revenue_3;PersonnelCosts_4;Investments_5
0;Total;305700;2021;187.0;47.0;15047.0;1484.0;4631.0
1;Total;305700;2022;157.0;32.0;5245.0;569.0;1693.0
2;Total;800012;2021;20335.0;2044.0;998513.0;91073.0;59732.0
3;Total;800012;2022;22687.0;2287.0;1244863.0;108410.0;54559.0
4;Total;305800;2021;60.0;11.0;8340.0;719.0;3964.0
5;Total;305800;2022;6.0;3.0;1414.0;94.0;1299.0
6;Total;306300;2021;60.0;29.0;3796.0;427.0;258.0
7;Total;306300;2022;71.0;26.0;2621.0;325.0;
8;Total;307000;2021;67.0;8.0;2911.0;338.0;409.0
9;Total;307000;2022;79.0;4.0;1210.0;150.0;47.0
10;Total;307500;2021;3931.0;605.0;361506.0;27599.0;15137.0
11;Total;307500;2022;4322.0;780.0;411405.0;36594.0;14646.0
12;Total;307610;2021;948.0;179.0;60204.0;6965.0;3250.0
13;Total;307610;2022;1080.0;200.0;76462.0;8094.0;4403.0
14;Total;307600;2021;782.0;87.0;34783.0;3569.0;1398.0
15;Total;307600;2022;832.0;101.0;43706.0;4038.0;1713.0
16;Total;311300;2021;166.0;92.0;25421.0;3395.0;1852.0
17;Total;311300;2022;248.0;99.0;32755.0;4057.0;2690.0
18;Total;312200;2021;;;;;
19;Total;312200;2022;;;;;
20;Total;312500;2021;59.0;7.0;570.0;120.0;
21;Total;312500;2022;66.0;6.0;540.0;110.0;35.0
22;Total;312505;2021;123.0;10.0;698.0;158.0;39.0
23;Total;312505;2022;102.0;8.0;664.0;138.0;151.0
24;Total;314000;2021;28.0;2.0;45.0;15.0;
25;Total;314000;2022;16.0;1.0;40.0;8.0;111.0
26;Total;315200;2021;36.0;2.0;83.0;23.0;10.0
27;Total;315200;2022;19.0;1.0;85.0;20.0;5.0
28;Total;315810;2021;126.0;10.0;1684.0;330.0;60.0
29;Total;315810;2022;141.0;12.0;2333.0;367.0;179.0
30;Total;315800;2021;53.0;3.0;446.0;54.0;8.0
31;Total;315800;2022;51.0;4.0;723.0;81.0;25.0
32;Total;317100;2021;40.0;5.0;915.0;198.0;33.0
33;Total;317100;2022;38.0;6.0;1210.0;182.0;116.0
34;Total;318600;2021;33.0;2.0;323.0;79.0;19.0
35;Total;318600;2022;51.0;2.0;399.0;105.0;37.0
36;Total;320000;2021;199.0;73.0;185336.0;4967.0;3812.0
37;Total;320000;2022;11.0;17.0;6481.0;188.0;1004.0
38;Total;320700;2021;321.0;46.0;40371.0;3014.0;3320.0
39;Total;320700;2022;249.0;34.0;15479.0;1869.0;430.0
40;Total;323200;2021;47.0;4.0;762.0;155.0;465.0
41;Total;323200;2022;73.0;7.0;3063.0;358.0;489.0
42;Total;323705;2021;231.0;13.0;2642.0;352.0;588.0
43;Total;323705;2022;165.0;10.0;2814.0;358.0;431.0
44;Total;323700;2021;207.0;10.0;2134.0;276.0;98.0
45;Total;323700;2022;142.0;8.0;2141.0;291.0;
46;Total;324600;2021;24.0;3.0;508.0;76.0;491.0
47;Total;324600;2022;23.0;3.0;673.0;67.0;
48;Total;328100;2021;52.0;18.0;4287.0;347.0;163.0
49;Total;328100;2022;118.0;18.0;4021.0;366.0;211.0
50;Total;328105;2021;463.0;45.0;9811.0;1393.0;979.0
51;Total;328105;2022;605.0;47.0;10268.0;1552.0;504.0
52;Total;330300;2021;411.0;26.0;5523.0;1046.0;816.0
53;Total;330300;2022;487.0;28.0;6247.0;1186.0;293.0
54;Total;332900;2021;94.0;28.0;14409.0;1812.0;855.0
55;Total;332900;2022;123.0;32.0;18142.0;2165.0;711.0
56;Total;334800;2021;212.0;39.0;6978.0;1564.0;155.0
57;Total;334800;2022;185.0;38.0;7547.0;1736.0;149.0
58;Total;336500;2021;391.0;37.0;13045.0;2561.0;435.0
59;Total;336500;2022;428.0;43.0;14451.0;3003.0;576.0
60;Total;339200;2021;38.0;5.0;724.0;141.0;26.0
61;Total;339200;2022;457.0;249.0;232120.0;13727.0;4949.0
62;Total;339205;2021;97.0;13.0;2469.0;364.0;42.0
63;Total;339205;2022;553.0;258.0;234553.0;13989.0;4962.0
64;Total;340200;2021;59.0;8.0;1745.0;223.0;16.0
65;Total;340200;2022;96.0;8.0;2434.0;262.0;13.0
66;Total;341600;2021;70.0;22.0;449.0;516.0;165.0
67;Total;341600;2022;52.0;21.0;1093.0;484.0;165.0
68;Total;342400;2021;258.0;53.0;12229.0;2457.0;753.0
69;Total;342400;2022;221.0;29.0;7818.0;1543.0;424.0
70;Total;344400;2021;350.0;32.0;10419.0;992.0;219.0
71;Total;344400;2022;336.0;26.0;10237.0;749.0;69.0
72;Total;346600;2021;240.0;4.0;7651.0;240.0;3065.0
73;Total;346600;2022;365.0;6.0;12613.0;298.0;
74;Total;346700;2021;240.0;4.0;7651.0;240.0;3065.0
75;Total;346700;2022;365.0;6.0;12613.0;298.0;
76;Total;348000;2021;123.0;2.0;1273.0;107.0;110.0
77;Total;348000;2022;119.0;4.0;2374.0;309.0;112.0
78;Total;348100;2021;18.0;;;;
79;Total;348100;2022;15.0;;45.0;5.0;
80;Total;348400;2021;;;;;
81;Total;348400;2022;;;;;
82;Total;348700;2021;89.0;2.0;1226.0;95.0;51.0
83;Total;348700;2022;91.0;3.0;2308.0;294.0;34.0
84;Total;349700;2021;;;;7.0;
85;Total;349700;2022;13.0;;22.0;10.0;
86;Total;350000;2021;674.0;37.0;14432.0;2293.0;1039.0
87;Total;350000;2022;735.0;28.0;14677.0;2080.0;771.0
88;Total;350100;2021;242.0;17.0;7844.0;1068.0;626.0
89;Total;350100;2022;318.0;11.0;8621.0;888.0;361.0
90;Total;350600;2021;222.0;16.0;5677.0;1039.0;326.0
91;Total;350600;2022;179.0;11.0;4394.0;773.0;272.0
92;Total;351900;2021;210.0;3.0;912.0;186.0;87.0
93;Total;351900;2022;238.0;6.0;1662.0;420.0;138.0
94;Total;354200;2021;5385.0;678.0;418398.0;26663.0;11179.0
95;Total;354200;2022;6022.0;732.0;596486.0;31491.0;10434.0
96;Total;354300;2021;211.0;5.0;4506.0;199.0;309.0
97;Total;354300;2022;272.0;16.0;30295.0;839.0;430.0
98;Total;356900;2021;4266.0;186.0;301082.0;12433.0;5194.0
99;Total;356900;2022;4766.0;201.0;434844.0;13788.0;4629.0
100;Total;371600;2021;908.0;488.0;112811.0;14031.0;5677.0
101;Total;371600;2022;985.0;515.0;131347.0;16864.0;5374.0
102;Total;383100;2021;1482.0;111.0;22110.0;5032.0;1517.0
103;Total;383100;2022;1651.0;106.0;22378.0;5248.0;1910.0
104;Total;383200;2021;436.0;62.0;10237.0;2546.0;226.0
105;Total;383200;2022;434.0;51.0;9025.0;2338.0;228.0
106;Total;384900;2021;232.0;3.0;1300.0;170.0;123.0
107;Total;384900;2022;312.0;4.0;1800.0;241.0;444.0
108;Total;386300;2021;39.0;1.0;396.0;67.0;16.0
109;Total;386300;2022;60.0;2.0;643.0;76.0;
110;Total;386800;2021;701.0;33.0;5726.0;1700.0;1074.0
111;Total;386800;2022;777.0;40.0;6229.0;1968.0;1073.0
112;Total;388400;2021;75.0;13.0;4451.0;549.0;78.0
113;Total;388400;2022;68.0;10.0;4680.0;625.0;97.0
114;Total;389100;2021;289.0;13.0;1036.0;304.0;319.0
115;Total;389100;2022;332.0;14.0;1927.0;408.0;628.0
116;Total;389200;2021;230.0;8.0;760.0;225.0;308.0
117;Total;389200;2022;304.0;10.0;1633.0;322.0;611.0
118;Total;390500;2021;59.0;6.0;276.0;79.0;12.0
119;Total;390500;2022;28.0;4.0;294.0;86.0;16.0
120;Total;391600;2021;1535.0;76.0;13778.0;4051.0;2085.0
121;Total;391600;2022;1827.0;82.0;15451.0;5182.0;2387.0
122;Total;391700;2021;250.0;20.0;4967.0;1854.0;217.0
123;Total;391700;2022;264.0;20.0;5334.0;2104.0;280.0
124;Total;800021;2021;48.0;;275.0;14.0;
125;Total;800021;2022;69.0;1.0;211.0;23.0;3.0
126;Total;392600;2021;34.0;;173.0;13.0;
127;Total;392600;2022;24.0;;51.0;15.0;
128;Total;393600;2021;14.0;;102.0;1.0;
129;Total;393600;2022;45.0;;160.0;7.0;
130;Total;394100;2021;151.0;18.0;4567.0;440.0;1248.0
131;Total;394100;2022;200.0;21.0;4743.0;604.0;1417.0
132;Total;395005;2021;1087.0;37.0;3970.0;1743.0;619.0
133;Total;395005;2022;1295.0;41.0;5163.0;2451.0;688.0
134;Total;395000;2021;939.0;35.0;3691.0;1633.0;614.0
135;Total;395000;2022;1134.0;39.0;4958.0;2353.0;672.0
136;Total;395600;2021;148.0;2.0;279.0;110.0;6.0
137;Total;395600;2022;161.0;2.0;205.0;97.0;16.0
138;Total;396300;2021;644.0;81.0;59026.0;6019.0;1745.0
139;Total;396300;2022;825.0;83.0;66602.0;6463.0;1105.0
140;Total;396400;2021;248.0;48.0;18818.0;4022.0;1123.0
141;Total;396400;2022;344.0;50.0;19220.0;4218.0;805.0
142;Total;398700;2021;71.0;20.0;36065.0;1232.0;27.0
143;Total;398700;2022;99.0;19.0;43050.0;1274.0;20.0
144;Total;400200;2021;325.0;13.0;4142.0;765.0;595.0
145;Total;400200;2022;383.0;14.0;4332.0;971.0;280.0
146;Total;402000;2021;1113.0;4.0;3135.0;217.0;6636.0
147;Total;402000;2022;1233.0;7.0;4288.0;295.0;4719.0
148;Total;402100;2021;1113.0;4.0;3135.0;217.0;6636.0
149;Total;402100;2022;1233.0;7.0;4288.0;295.0;4719.0
150;Total;403300;2021;2182.0;110.0;20467.0;7807.0;1803.0
151;Total;403300;2022;2544.0;133.0;26725.0;8985.0;1276.0
152;Total;403400;2021;125.0;12.0;353.0;249.0;19.0
153;Total;403400;2022;135.0;13.0;461.0;301.0;17.0
154;Total;403405;2021;1779.0;92.0;17691.0;5989.0;1553.0
155;Total;403405;2022;2097.0;109.0;23205.0;7086.0;1180.0
156;Total;404900;2021;691.0;23.0;6477.0;1992.0;1406.0
157;Total;404900;2022;897.0;32.0;8849.0;2814.0;906.0
158;Total;405900;2021;964.0;56.0;10861.0;3748.0;127.0
159;Total;405900;2022;1065.0;65.0;13896.0;3972.0;258.0
160;Total;406800;2021;124.0;14.0;1861.0;1547.0;81.0
161;Total;406800;2022;162.0;15.0;2116.0;1480.0;73.0
162;Total;408105;2021;278.0;5.0;914.0;271.0;169.0
163;Total;408105;2022;285.0;8.0;1404.0;419.0;22.0
164;Total;408100;2021;203.0;2.0;798.0;225.0;166.0
165;Total;408100;2022;210.0;5.0;1219.0;358.0;20.0
166;Total;408700;2021;70.0;2.0;106.0;43.0;
167;Total;408700;2022;67.0;;;58.0;
168;Total;409900;2021;5.0;;11.0;2.0;
169;Total;409900;2022;8.0;;;3.0;
170;Total;410200;2021;2152.0;257.0;58315.0;8651.0;10137.0
171;Total;410200;2022;2079.0;262.0;61473.0;9794.0;10493.0
172;Total;410300;2021;383.0;19.0;14050.0;1278.0;9011.0
173;Total;410300;2022;315.0;18.0;14056.0;1261.0;8407.0
174;Total;800010;2021;1769.0;238.0;44264.0;7373.0;1127.0
175;Total;800010;2022;1764.0;244.0;47417.0;8532.0;2085.0
176;Total;412700;2021;638.0;68.0;27405.0;4254.0;78.0
177;Total;412700;2022;623.0;66.0;28218.0;4536.0;59.0
178;Total;413700;2021;135.0;15.0;731.0;528.0;5.0
