ID;Huishoudkenmerken;Perioden;GebruikBleekmiddelen_1;GebruikChemischeToiletverfrisser_2;GebruikSpaarlampen_3;GebruikGroeneStroom_4;HRCVKetel_5;VRCVKetel_6;Spouwmuren_7;Dak_8;Vloer_9;Dubbelglas_10;Gestegen_11;NietGestegen_12;StijgingOnbekend_13
0;1;1999;;;56.0;;42.0;15.0;;;;83.0;;;
1;1;2000;;;59.0;;45.0;14.0;;;;84.0;;;
2;1;2001;;;;;;;;;;87.0;;;
3;1;2002;;;60.0;;48.0;15.0;;;;88.0;;;
4;1;2003;46.0;80.0;60.0;32.0;51.0;13.0;62.0;65.0;44.0;88.0;35.0;44.0;20.0
5;1;2004;46.0;80.0;62.0;38.0;52.0;14.0;65.0;67.0;46.0;89.0;37.0;42.0;21.0
6;Mannen;1999;;;58.0;;45.0;16.0;;;;85.0;;;
7;Mannen;2000;;;62.0;;49.0;16.0;;;;86.0;;;
8;Mannen;2001;;;;;;;;;;89.0;;;
9;Mannen;2002;;;66.0;;56.0;15.0;;;;93.0;;;
10;Mannen;2003;48.0;82.0;62.0;32.0;55.0;13.0;64.0;68.0;47.0;89.0;36.0;46.0;18.0
11;Mannen;2004;49.0;81.0;64.0;38.0;56.0;15.0;68.0;70.0;49.0;90.0;38.0;43.0;19.0
12;Vrouwen;1999;;;51.0;;32.0;12.0;;;;77.0;;;
13;Vrouwen;2000;;;53.0;;35.0;11.0;;;;80.0;;;
14;Vrouwen;2001;;;;;;;;;;83.0;;;
15;Vrouwen;2002;;;62.0;;53.0;15.0;;;;87.0;;;
16;Vrouwen;2003;41.0;77.0;57.0;32.0;40.0;12.0;56.0;55.0;37.0;85.0;34.0;41.0;24.0
17;Vrouwen;2004;41.0;77.0;56.0;37.0;42.0;13.0;59.0;59.0;39.0;85.0;36.0;40.0;24.0
18;18 tot 25 jarigen;1999;;;27.0;;24.0;6.0;;;;63.0;;;
19;18 tot 25 jarigen;2000;;;39.0;;23.0;7.0;;;;64.0;;;
20;18 tot 25 jarigen;2001;;;;;;;;;;65.0;;;
21;18 tot 25 jarigen;2002;;;45.0;;39.0;6.0;;;;75.0;;;
22;18 tot 25 jarigen;2003;38.0;85.0;40.0;19.0;25.0;5.0;42.0;35.0;33.0;76.0;29.0;26.0;45.0
23;18 tot 25 jarigen;2004;28.0;87.0;32.0;19.0;23.0;11.0;50.0;49.0;37.0;61.0;27.0;28.0;45.0
24;25 tot 35 jarigen;1999;;;42.0;;42.0;14.0;;;;78.0;;;
25;25 tot 35 jarigen;2000;;;43.0;;46.0;13.0;;;;79.0;;;
26;25 tot 35 jarigen;2001;;;;;;;;;;86.0;;;
27;25 tot 35 jarigen;2002;;;53.0;;55.0;14.0;;;;92.0;;;
28;25 tot 35 jarigen;2003;47.0;86.0;47.0;29.0;51.0;12.0;62.0;65.0;50.0;84.0;35.0;38.0;27.0
29;25 tot 35 jarigen;2004;49.0;83.0;48.0;35.0;49.0;10.0;61.0;63.0;44.0;83.0;39.0;36.0;25.0
30;35 tot 45 jarigen;1999;;;59.0;;48.0;15.0;;;;88.0;;;
31;35 tot 45 jarigen;2000;;;59.0;;50.0;16.0;;;;89.0;;;
32;35 tot 45 jarigen;2001;;;;;;;;;;92.0;;;
33;35 tot 45 jarigen;2002;;;65.0;;59.0;17.0;;;;92.0;;;
34;35 tot 45 jarigen;2003;51.0;81.0;58.0;34.0;57.0;12.0;71.0;75.0;55.0;90.0;39.0;46.0;16.0
35;35 tot 45 jarigen;2004;53.0;82.0;60.0;44.0;59.0;13.0;71.0;76.0;56.0;92.0;41.0;42.0;17.0
36;45 tot 55 jarigen;1999;;;65.0;;49.0;16.0;;;;85.0;;;
37;45 tot 55 jarigen;2000;;;71.0;;51.0;15.0;;;;87.0;;;
38;45 tot 55 jarigen;2001;;;;;;;;;;89.0;;;
39;45 tot 55 jarigen;2002;;;69.0;;58.0;17.0;;;;93.0;;;
40;45 tot 55 jarigen;2003;50.0;79.0;66.0;38.0;58.0;15.0;66.0;71.0;47.0;91.0;35.0;48.0;17.0
41;45 tot 55 jarigen;2004;49.0;79.0;69.0;40.0;55.0;18.0;67.0;71.0;48.0;92.0;38.0;46.0;16.0
42;55 tot 65 jarigen;1999;;;69.0;;43.0;17.0;;;;88.0;;;
43;55 tot 65 jarigen;2000;;;70.0;;51.0;15.0;;;;86.0;;;
44;55 tot 65 jarigen;2001;;;;;;;;;;88.0;;;
45;55 tot 65 jarigen;2002;;;74.0;;58.0;16.0;;;;94.0;;;
46;55 tot 65 jarigen;2003;43.0;79.0;71.0;33.0;57.0;13.0;62.0;66.0;37.0;89.0;32.0;54.0;14.0
47;55 tot 65 jarigen;2004;43.0;78.0;74.0;40.0;59.0;17.0;68.0;69.0;45.0;92.0;32.0;53.0;15.0
48;65 tot 75 jarigen;1999;;;64.0;;38.0;15.0;;;;82.0;;;
49;65 tot 75 jarigen;2000;;;70.0;;42.0;17.0;;;;88.0;;;
50;65 tot 75 jarigen;2001;;;;;;;;;;86.0;;;
51;65 tot 75 jarigen;2002;;;74.0;;52.0;15.0;;;;90.0;;;
52;65 tot 75 jarigen;2003;42.0;77.0;71.0;31.0;45.0;16.0;54.0;56.0;34.0;90.0;36.0;47.0;16.0
53;65 tot 75 jarigen;2004;42.0;77.0;71.0;37.0;50.0;17.0;66.0;63.0;38.0;93.0;38.0;45.0;18.0
54;75 jarigen of ouder;1999;;;53.0;;24.0;13.0;;;;80.0;;;
55;75 jarigen of ouder;2000;;;54.0;;26.0;10.0;;;;84.0;;;
56;75 jarigen of ouder;2001;;;;;;;;;;86.0;;;
57;75 jarigen of ouder;2002;;;70.0;;40.0;15.0;;;;87.0;;;
58;75 jarigen of ouder;2003;40.0;75.0;60.0;29.0;35.0;10.0;55.0;52.0;33.0;87.0;36.0;40.0;24.0
59;75 jarigen of ouder;2004;42.0;75.0;57.0;29.0;37.0;10.0;56.0;55.0;37.0;88.0;37.0;36.0;28.0
60;Basisonderwijs;1999;;;;;;;;;;;;;
61;Basisonderwijs;2000;;;;;;;;;;;;;
62;Basisonderwijs;2001;;;;;;;;;;;;;
63;Basisonderwijs;2002;;;;;;;;;;;;;
64;Basisonderwijs;2003;51.0;83.0;56.0;27.0;42.0;13.0;52.0;51.0;31.0;86.0;40.0;41.0;19.0
65;Basisonderwijs;2004;58.0;81.0;54.0;29.0;43.0;13.0;64.0;57.0;38.0;92.0;38.0;40.0;22.0
66;Vbo;1999;;;;;;;;;;;;;
67;Vbo;2000;;;;;;;;;;;;;
68;Vbo;2001;;;;;;;;;;;;;
69;Vbo;2002;;;;;;;;;;;;;
70;Vbo;2003;49.0;81.0;62.0;29.0;52.0;14.0;61.0;65.0;42.0;91.0;32.0;52.0;16.0
71;Vbo;2004;51.0;82.0;60.0;35.0;49.0;15.0;60.0;63.0;40.0;92.0;34.0;46.0;21.0
