ID;Perioden;DelfstoffenwinningEnIndustrie_1;Delfstoffenwinning_2;IndustrieTotaal_3;VoedingsEnGenotmiddelenTotaal_4;VerwerkingVanVeehouderijproducten_5;VerwerkingVanOverigeProducten_6;Drankenindustrie_7;TabakverwerkendeIndustrie_8;Textielindustrie_9;Kledingindustrie_10;LederwarenEnSchoenenindustrie_11;Houtindustrie_12;PapierEnPapierwarenIndustrie_13;GrafischeIndustrieEnUitgeverijen_14;AardolieIndustrie_15;ChemischeIndustrie_16;RubberKunststofverwerkendeIndustrie_17;BouwmaterialenAardewerkGlasindustrie_18;TotaalMetaalindustrie_19;BasismetaalIndustrie_20;OverigeMetaalIndustrie_21;OpenbareNutsbedrijven_22;DelfstoffenwinningEnIndustrie_23;Delfstoffenwinning_24;IndustrieTotaal_25;VoedingsEnGenotmiddelenTotaal_26;VerwerkingVanVeehouderijproducten_27;VerwerkingVanOverigeProducten_28;Drankenindustrie_29;TabakverwerkendeIndustrie_30;Textielindustrie_31;Kledingindustrie_32;LederwarenEnSchoenenindustrie_33;Houtindustrie_34;PapierEnPapierwarenIndustrie_35;GrafischeIndustrieEnUitgeverijen_36;AardolieIndustrie_37;ChemischeIndustrie_38;RubberKunststofverwerkendeIndustrie_39;BouwmaterialenAardewerkGlasindustrie_40;MetaalindustrieTotaal_41;BasismetaalIndustrie_42;OverigeMetaalIndustrie_43;OpenbareNutsbedrijven_44
0;1914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1921;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1922;7.0;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1923;7.0;;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1924;7.0;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1925;7.0;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1926;8.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1927;9.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1928;10.0;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1929;11.0;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1930;9.0;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1931;10.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1932;9.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1933;10.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1934;10.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1935;9.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1936;10.0;;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1937;12.0;;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;1938;12.0;;12.0;19.0;27.0;19.0;5.0;17.0;46.0;;;;;;;2.0;;20.0;7.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;
25;1939;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;1940;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;1941;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;1942;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;1943;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;1944;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;1945;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;1946;8.0;;;15.0;11.0;19.0;7.0;9.0;25.0;102.0;;;;;;2.0;;12.0;5.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;
33;1947;11.0;;;17.0;14.0;19.0;8.0;13.0;40.0;128.0;;;;;;2.0;;14.0;7.0;;;5.0;;;;;;;;;;;;;;;;;;;;;;
34;1948;12.0;;;18.0;18.0;20.0;8.0;13.0;48.0;154.0;;;;;;2.0;;19.0;10.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;
35;1949;14.0;30.0;13.0;19.0;25.0;22.0;7.0;16.0;56.0;181.0;;;;;8.0;2.0;;22.0;10.0;;;6.0;;;;;;;;;;;;;;;;;;;;;;
36;1950;16.0;31.0;15.0;21.0;27.0;24.0;7.0;17.0;62.0;190.0;259.0;;;;16.0;4.0;;24.0;12.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;
37;1951;17.0;32.0;16.0;21.0;27.0;24.0;7.0;17.0;65.0;169.0;236.0;;;;18.0;4.0;;26.0;13.0;;;7.0;;;;;;;;;;;;;;;;;;;;;;
