ID;BedrijfstakkenBranchesSBI93;Perioden;Bedrijven_1;BanenWerkzamePersonenAbsoluut_2;ArbeidsvolumeWerkzamePersonen_3;Bedrijfsopbrengsten_4;Bedrijfslasten_5;Bedrijfsresultaat_6;ResultaatVoorBelastingen_7
0;50 Handel,reparatie auto's, motorfietsen;1987;18920.0;;;;;;
1;50 Handel,reparatie auto's, motorfietsen;1988;18945.0;;;;;;
2;50 Handel,reparatie auto's, motorfietsen;1989;19105.0;;;;;;
3;50 Handel,reparatie auto's, motorfietsen;1990;19220.0;;;;;;
4;50 Handel,reparatie auto's, motorfietsen;1991;19330.0;;;;;;
5;50 Handel,reparatie auto's, motorfietsen;1992;19345.0;;;;;;
6;50 Handel,reparatie auto's, motorfietsen;1993;19685.0;;;36322.0;35151.0;1171.0;861.0
7;50 Handel,reparatie auto's, motorfietsen;1994;19250.0;;;39185.0;37913.0;1272.0;1023.0
8;50 Handel,reparatie auto's, motorfietsen;1995;19355.0;;;41433.0;40089.0;1344.0;1135.0
9;50 Handel,reparatie auto's, motorfietsen;1996;21010.0;;;44044.0;42762.0;1282.0;1085.0
10;50 Handel,reparatie auto's, motorfietsen;1997;21360.0;;;46870.0;45534.0;1336.0;1179.0
11;50 Handel,reparatie auto's, motorfietsen;1998;21700.0;;;52398.0;50839.0;1559.0;1458.0
12;50 Handel,reparatie auto's, motorfietsen;1999;22800.0;;;58331.0;56550.0;1781.0;1671.0
13;50 Handel,reparatie auto's, motorfietsen;2000;23565.0;;;62167.0;60220.0;1946.0;1770.0
14;50 Handel,reparatie auto's, motorfietsen;2001;23310.0;;142.1;64427.0;62513.0;1914.0;1644.0
15;50 Handel,reparatie auto's, motorfietsen;2002;23065.0;;137.3;63532.0;61577.0;1954.0;1610.0
16;50 Handel,reparatie auto's, motorfietsen;2003;21145.0;;136.4;63362.0;61558.0;1804.0;1581.0
17;50 Handel,reparatie auto's, motorfietsen;2004;21665.0;;136.4;64503.0;62715.0;1788.0;1495.0
18;50 Handel,reparatie auto's, motorfietsen;2005;21950.0;;134.4;64444.0;62825.0;1619.0;1343.0
19;50 Handel,reparatie auto's, motorfietsen;2006;22160.0;157.1;132.6;68229.0;66385.0;1844.0;1634.0
20;50 Handel,reparatie auto's, motorfietsen;2007;22975.0;163.9;141.3;71997.0;69800.0;2197.0;1971.0
21;50 Handel,reparatie auto's, motorfietsen;2008;24485.0;165.5;140.7;71291.0;69459.0;1831.0;1564.0
22;501 Handel in en reparatie van auto's;1987;;;;;;;
23;501 Handel in en reparatie van auto's;1988;;;;;;;
24;501 Handel in en reparatie van auto's;1989;;;;;;;
