ID;LeeftijdReferentiepersoon;Kindertal;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishouden_2;TotaalMeerpersoonshuishoudens_3;ZonderKinderen_4;MetKinderen_5;TotaalNietGehuwdeParen_6;ZonderKinderen_7;MetKinderen_8;TotaalGehuwdeParen_9;ZonderKinderen_10;MetKinderen_11;Eenouderhuishouden_12;OverigHuishouden_13
0;10000;Totaal;1971;4002;685.0;3318;991.0;2327.0;62;47.0;15.0;2995;883.0;2113.0;200.0;61.0
1;10000;Totaal;1972;4105;726.0;3379;1020.0;2359.0;70;51.0;18.0;3047;909.0;2138.0;202.0;59.0
2;10000;Totaal;1973;4201;767.0;3434;1047.0;2387.0;78;56.0;22.0;3095;934.0;2161.0;205.0;57.0
3;10000;Totaal;1974;4295;807.0;3488;1074.0;2414.0;86;60.0;25.0;3139;958.0;2181.0;207.0;56.0
4;10000;Totaal;1975;4392;850.0;3542;1101.0;2441.0;94;66.0;28.0;3183;981.0;2202.0;211.0;54.0
5;10000;Totaal;1976;4497;895.0;3602;1132.0;2470.0;104;74.0;30.0;3229;1005.0;2224.0;217.0;53.0
6;10000;Totaal;1977;4590;941.0;3650;1159.0;2490.0;115;83.0;31.0;3260;1024.0;2236.0;223.0;51.0
7;10000;Totaal;1978;4689;993.0;3696;1187.0;2510.0;127;94.0;33.0;3289;1043.0;2246.0;230.0;50.0
8;10000;Totaal;1979;4792;1050.0;3742;1214.0;2529.0;140;105.0;35.0;3314;1060.0;2255.0;239.0;49.0
9;10000;Totaal;1980;4904;1114.0;3791;1242.0;2549.0;154;117.0;37.0;3338;1076.0;2262.0;250.0;49.0
10;10000;Totaal;1981;5023;1184.0;3839;1271.0;2568.0;170;132.0;38.0;3357;1090.0;2267.0;263.0;49.0
11;10000;Totaal;1982;5132;1256.0;3876;1295.0;2580.0;187;148.0;39.0;3361;1098.0;2263.0;278.0;49.0
12;10000;Totaal;1983;5232;1329.0;3903;1319.0;2584.0;204;165.0;39.0;3354;1104.0;2251.0;294.0;50.0
13;10000;Totaal;1984;5330;1403.0;3927;1345.0;2582.0;223;183.0;40.0;3344;1110.0;2234.0;309.0;52.0
14;10000;Totaal;1985;5430;1477.0;3953;1375.0;2578.0;244;202.0;42.0;3335;1121.0;2215.0;321.0;53.0
15;10000;Totaal;1986;5539;1551.0;3988;1414.0;2574.0;267;222.0;45.0;3337;1139.0;2198.0;331.0;53.0
16;10000;Totaal;1987;5649;1620.0;4029;1459.0;2570.0;292;243.0;50.0;3345;1163.0;2182.0;338.0;53.0
17;10000;Totaal;1988;5763;1689.0;4074;1511.0;2563.0;320;265.0;55.0;3359;1193.0;2166.0;343.0;53.0
18;10000;Totaal;1989;5872;1752.0;4120;1568.0;2552.0;350;289.0;61.0;3373;1227.0;2146.0;346.0;52.0
19;10000;Totaal;1990;5978;1813.0;4165;1628.0;2538.0;378;312.0;66.0;3390;1266.0;2125.0;347.0;50.0
20;10000;Totaal;1991;6091;1872.0;4219;1692.0;2527.0;409;338.0;71.0;3413;1306.0;2108.0;348.0;48.0
21;10000;Totaal;1992;6198;1930.0;4268;1750.0;2517.0;440;361.0;79.0;3433;1343.0;2090.0;348.0;46.0
22;10000;Totaal;1993;6291;1982.0;4309;1803.0;2506.0;471;383.0;88.0;3445;1375.0;2069.0;349.0;44.0
23;10000;Totaal;1994;6378;2032.0;4346;1849.0;2496.0;505;407.0;98.0;3447;1401.0;2046.0;352.0;42.0
24;10000;Totaal;1995;6454;2079.0;4375;1895.0;2480.0;539;431.0;107.0;3439;1423.0;2016.0;357.0;40.0
25;10000;Totaal;1996;6518;2118.0;4400;1930.0;2470.0;572;454.0;118.0;3427;1437.0;1990.0;363.0;39.0
26;10000;Totaal;1997;6584;2155.0;4430;1968.0;2461.0;603;474.0;129.0;3423;1456.0;1967.0;366.0;38.0
27;10000;Totaal;1998;6655;2192.0;4463;2006.0;2456.0;631;490.0;141.0;3424;1478.0;1946.0;370.0;38.0
28;10000;Totaal;1999;6731;2230.0;4501;2043.0;2458.0;656;502.0;154.0;3432;1503.0;1929.0;374.0;39.0
29;10000;Totaal;2000;6798;2264.0;4534;2068.0;2466.0;677;508.0;169.0;3436;1520.0;1916.0;381.0;40.0
30;10000;Totaal;2001;6868;2299.0;4568;2084.0;2485.0;698;512.0;185.0;3437;1530.0;1907.0;392.0;41.0
31;10000;Totaal;2002;6936;2338.0;4598;2095.0;2504.0;718;515.0;203.0;3433;1538.0;1895.0;406.0;42.0
32;10000;Totaal;2003;6994;2373.0;4622;2106.0;2516.0;735;515.0;220.0;3425;1548.0;1877.0;418.0;42.0
33;10000;Totaal;2004;7045;2406.0;4638;2114.0;2524.0;752;514.0;238.0;3415;1557.0;1857.0;429.0;43.0
34;10000;Totaal;2005;7090;2439.0;4651;2123.0;2528.0;770;515.0;255.0;3399;1565.0;1834.0;439.0;43.0
35;10000;Totaal;2006;7134;2475.0;4659;2133.0;2526.0;789;517.0;272.0;3380;1573.0;1808.0;446.0;44.0
36;10000;Totaal;2007;7179;2511.0;4667;2145.0;2522.0;806;517.0;289.0;3365;1584.0;1781.0;453.0;44.0
37;10000;Totaal;2008;7238;2559.0;4679;2158.0;2521.0;822;517.0;305.0;3352;1596.0;1756.0;460.0;45.0
38;10000;Totaal;2009;7314;2618.0;4696;2171.0;2526.0;836;516.0;321.0;3344;1609.0;1735.0;470.0;46.0
39;10000;Totaal;2010;7397;2683.0;4714;2180.0;2533.0;847;512.0;335.0;3337;1622.0;1715.0;483.0;46.0
40;10000;Geen kinderen;1971;1676;685.0;991;991.0;;47;47.0;;883;883.0;;;61.0
