ID;TransportModes;Periods;TotalGoodsTransport_1;DomesticGoodsTransport_2;Total_3;IncomingGoodsTransport_4;OutgoingGoodsTransport_5
0;Total all transport modes;1998;1458;567.0;891;480;410
1;Total all transport modes;1999;1492;626.0;866;463;404
2;Total all transport modes;2000;1502;613.0;890;476;414
3;Total all transport modes;2001;1545;625.0;920;494;426
4;Total all transport modes;2002;1514;594.0;920;491;429
5;Total all transport modes;2003;1557;637.0;921;495;426
6;Total all transport modes;2004;1620;615.0;1005;536;469
7;Total all transport modes;2005;1636;617.0;1019;551;468
8;Total all transport modes;2006;1682;626.0;1055;571;485
9;Total all transport modes;2007;1753;654.0;1099;596;502
10;Total all transport modes;2008;1746;632.0;1115;611;504
11;Total all transport modes;2009;1608;634.0;973;523;451
12;Total all transport modes;2010;1717;634.0;1083;575;507
13;Total all transport modes;2011;1693;633.0;1060;571;489
14;Total all transport modes;2012;1696;607.0;1089;575;514
15;Total all transport modes;2013;1970;878.0;1092;565;527
16;Total all transport modes;2014;1970;861.0;1109;579;529
17;Total all transport modes;2015;1983;853.0;1130;597;533
18;Total all transport modes;2016;2014;876.0;1137;599;539
19;Total all transport modes;2017;2033;878.0;1156;615;541
20;Total all transport modes;2018;2035;885.0;1151;619;531
21;Total all transport modes;2019;2043;901.0;1142;621;521
22;Total all transport modes;2020;1942;874.0;1068;585;482
23;Total all transport modes;2021;2022;891.0;1131;616;515
24;Total all transport modes;2022;2021;876.0;1145;637;508
25;Total all transport modes;2023;1900;824.0;1076;595;481
26;Maritime transport;1998;406;;406;320;86
27;Maritime transport;1999;397;;397;305;92
28;Maritime transport;2000;424;;424;325;99
29;Maritime transport;2001;424;;424;326;98
30;Maritime transport;2002;432;;432;327;105
31;Maritime transport;2003;431;;431;329;102
32;Maritime transport;2004;464;;464;351;113
33;Maritime transport;2005;487;;487;364;122
34;Maritime transport;2006;505;;505;373;131
35;Maritime transport;2007;537;;537;392;145
36;Maritime transport;2008;560;;560;412;148
37;Maritime transport;2009;510;;510;356;153
