ID;Geslacht;Leeftijd;Perioden;BevolkingOp1Januari_1
0;Totaal mannen en vrouwen;Totaal leeftijd;2022;17593654
1;Totaal mannen en vrouwen;Totaal leeftijd;2023;17735740
2;Totaal mannen en vrouwen;Totaal leeftijd;2024;17867972
3;Totaal mannen en vrouwen;Totaal leeftijd;2025;17980258
4;Totaal mannen en vrouwen;Totaal leeftijd;2026;18087801
5;Totaal mannen en vrouwen;Totaal leeftijd;2027;18191476
6;Totaal mannen en vrouwen;Totaal leeftijd;2028;18290434
7;Totaal mannen en vrouwen;Totaal leeftijd;2029;18386810
8;Totaal mannen en vrouwen;Totaal leeftijd;2030;18479493
9;Totaal mannen en vrouwen;Totaal leeftijd;2031;18568669
10;Totaal mannen en vrouwen;Totaal leeftijd;2032;18654974
11;Totaal mannen en vrouwen;Totaal leeftijd;2033;18737584
12;Totaal mannen en vrouwen;Totaal leeftijd;2034;18816721
13;Totaal mannen en vrouwen;Totaal leeftijd;2035;18892060
14;Totaal mannen en vrouwen;Totaal leeftijd;2036;18963910
15;Totaal mannen en vrouwen;Totaal leeftijd;2037;19031818
16;Totaal mannen en vrouwen;Totaal leeftijd;2038;19095411
17;Totaal mannen en vrouwen;Totaal leeftijd;2039;19154980
18;Totaal mannen en vrouwen;Totaal leeftijd;2040;19210964
19;Totaal mannen en vrouwen;Totaal leeftijd;2041;19263513
20;Totaal mannen en vrouwen;Totaal leeftijd;2042;19312846
21;Totaal mannen en vrouwen;Totaal leeftijd;2043;19359369
22;Totaal mannen en vrouwen;Totaal leeftijd;2044;19403360
23;Totaal mannen en vrouwen;Totaal leeftijd;2045;19445093
24;Totaal mannen en vrouwen;Totaal leeftijd;2046;19484754
25;Totaal mannen en vrouwen;Totaal leeftijd;2047;19522654
26;Totaal mannen en vrouwen;Totaal leeftijd;2048;19559025
27;Totaal mannen en vrouwen;Totaal leeftijd;2049;19594106
28;Totaal mannen en vrouwen;Totaal leeftijd;2050;19628162
29;Totaal mannen en vrouwen;Totaal leeftijd;2051;19661560
30;Totaal mannen en vrouwen;Totaal leeftijd;2052;19694556
31;Totaal mannen en vrouwen;Totaal leeftijd;2053;19727566
32;Totaal mannen en vrouwen;Totaal leeftijd;2054;19761104
33;Totaal mannen en vrouwen;Totaal leeftijd;2055;19795671
34;Totaal mannen en vrouwen;Totaal leeftijd;2056;19831694
35;Totaal mannen en vrouwen;Totaal leeftijd;2057;19869610
36;Totaal mannen en vrouwen;Totaal leeftijd;2058;19909801
37;Totaal mannen en vrouwen;Totaal leeftijd;2059;19952531
38;Totaal mannen en vrouwen;Totaal leeftijd;2060;19998015
39;Totaal mannen en vrouwen;Totaal leeftijd;2061;20046448
40;Totaal mannen en vrouwen;Totaal leeftijd;2062;20097847
41;Totaal mannen en vrouwen;Totaal leeftijd;2063;20152189
42;Totaal mannen en vrouwen;Totaal leeftijd;2064;20209356
43;Totaal mannen en vrouwen;Totaal leeftijd;2065;20269220
44;Totaal mannen en vrouwen;Totaal leeftijd;2066;20331528
45;Totaal mannen en vrouwen;Totaal leeftijd;2067;20396016
46;Totaal mannen en vrouwen;Totaal leeftijd;2068;20462352
47;Totaal mannen en vrouwen;Totaal leeftijd;2069;20530187
48;Totaal mannen en vrouwen;Totaal leeftijd;2070;20599185
49;Totaal mannen en vrouwen;0 jaar;2022;180305
50;Totaal mannen en vrouwen;0 jaar;2023;179148
51;Totaal mannen en vrouwen;0 jaar;2024;183790
52;Totaal mannen en vrouwen;0 jaar;2025;187657
53;Totaal mannen en vrouwen;0 jaar;2026;190711
54;Totaal mannen en vrouwen;0 jaar;2027;194531
55;Totaal mannen en vrouwen;0 jaar;2028;196420
56;Totaal mannen en vrouwen;0 jaar;2029;198895
57;Totaal mannen en vrouwen;0 jaar;2030;200964
58;Totaal mannen en vrouwen;0 jaar;2031;202437
59;Totaal mannen en vrouwen;0 jaar;2032;203571
60;Totaal mannen en vrouwen;0 jaar;2033;204099
61;Totaal mannen en vrouwen;0 jaar;2034;204482
62;Totaal mannen en vrouwen;0 jaar;2035;204303
63;Totaal mannen en vrouwen;0 jaar;2036;203673
64;Totaal mannen en vrouwen;0 jaar;2037;202573
65;Totaal mannen en vrouwen;0 jaar;2038;201041
66;Totaal mannen en vrouwen;0 jaar;2039;199575
67;Totaal mannen en vrouwen;0 jaar;2040;198315
68;Totaal mannen en vrouwen;0 jaar;2041;197019
69;Totaal mannen en vrouwen;0 jaar;2042;195740
70;Totaal mannen en vrouwen;0 jaar;2043;194555
71;Totaal mannen en vrouwen;0 jaar;2044;193520
72;Totaal mannen en vrouwen;0 jaar;2045;192652
73;Totaal mannen en vrouwen;0 jaar;2046;191906
74;Totaal mannen en vrouwen;0 jaar;2047;191317
75;Totaal mannen en vrouwen;0 jaar;2048;190909
76;Totaal mannen en vrouwen;0 jaar;2049;190731
77;Totaal mannen en vrouwen;0 jaar;2050;190810
78;Totaal mannen en vrouwen;0 jaar;2051;191162
79;Totaal mannen en vrouwen;0 jaar;2052;191802
80;Totaal mannen en vrouwen;0 jaar;2053;192736
81;Totaal mannen en vrouwen;0 jaar;2054;193967
82;Totaal mannen en vrouwen;0 jaar;2055;195467
83;Totaal mannen en vrouwen;0 jaar;2056;197196
84;Totaal mannen en vrouwen;0 jaar;2057;199087
85;Totaal mannen en vrouwen;0 jaar;2058;201075
86;Totaal mannen en vrouwen;0 jaar;2059;203081
87;Totaal mannen en vrouwen;0 jaar;2060;205033
88;Totaal mannen en vrouwen;0 jaar;2061;206855
89;Totaal mannen en vrouwen;0 jaar;2062;208489
90;Totaal mannen en vrouwen;0 jaar;2063;209885
91;Totaal mannen en vrouwen;0 jaar;2064;211025
92;Totaal mannen en vrouwen;0 jaar;2065;211895
93;Totaal mannen en vrouwen;0 jaar;2066;212496
94;Totaal mannen en vrouwen;0 jaar;2067;212843
95;Totaal mannen en vrouwen;0 jaar;2068;212961
96;Totaal mannen en vrouwen;0 jaar;2069;212886
97;Totaal mannen en vrouwen;0 jaar;2070;212649
98;Totaal mannen en vrouwen;1 jaar;2022;169376
99;Totaal mannen en vrouwen;1 jaar;2023;181366
100;Totaal mannen en vrouwen;1 jaar;2024;180112
101;Totaal mannen en vrouwen;1 jaar;2025;184674
102;Totaal mannen en vrouwen;1 jaar;2026;188534
103;Totaal mannen en vrouwen;1 jaar;2027;191563
104;Totaal mannen en vrouwen;1 jaar;2028;195354
105;Totaal mannen en vrouwen;1 jaar;2029;197263
106;Totaal mannen en vrouwen;1 jaar;2030;199732
107;Totaal mannen en vrouwen;1 jaar;2031;201799
108;Totaal mannen en vrouwen;1 jaar;2032;203277
109;Totaal mannen en vrouwen;1 jaar;2033;204412
110;Totaal mannen en vrouwen;1 jaar;2034;204942
111;Totaal mannen en vrouwen;1 jaar;2035;205326
112;Totaal mannen en vrouwen;1 jaar;2036;205153
113;Totaal mannen en vrouwen;1 jaar;2037;204530
114;Totaal mannen en vrouwen;1 jaar;2038;203439
115;Totaal mannen en vrouwen;1 jaar;2039;201919
116;Totaal mannen en vrouwen;1 jaar;2040;200460
117;Totaal mannen en vrouwen;1 jaar;2041;199207
118;Totaal mannen en vrouwen;1 jaar;2042;197921
119;Totaal mannen en vrouwen;1 jaar;2043;196649
120;Totaal mannen en vrouwen;1 jaar;2044;195475
