ID;Perioden;Omzet_1;VoortschrijdendeOmzet_2;Omzet_3;CumulatieveOmzet_4
0;1995 januari;66;;;
1;1995 februari;62;;;
2;1995 maart;72;;;
3;1995 april;67;;;
4;1995 mei;67;;;
5;1995 juni;68;;;
6;1995 juli;54;;;
7;1995 augustus;45;;;
8;1995 september;55;;;
9;1995 oktober;64;;;
10;1995 november;56;;;
11;1995 december;58;61.0;;
12;1995;61;61.0;;
13;1996 januari;72;62.0;9.5;9.5
14;1996 februari;65;62.0;4.1;6.9
15;1996 maart;73;62.0;2.1;5.2
16;1996 april;78;63.0;16.2;7.9
17;1996 mei;74;63.0;10.5;8.5
18;1996 juni;76;64.0;12.8;9.2
19;1996 juli;64;65.0;19.3;10.4
20;1996 augustus;47;65.0;3.9;9.8
21;1996 september;60;66.0;8.8;9.7
22;1996 oktober;71;66.0;11.1;9.8
23;1996 november;61;67.0;8.8;9.8
24;1996 december;65;67.0;12.3;10.0
25;1996;67;67.0;10.0;10.0
26;1997 januari;80;68.0;11.7;11.7
27;1997 februari;73;69.0;12.9;12.3
28;1997 maart;79;69.0;8.3;10.9
29;1997 april;80;69.0;2.4;8.6
30;1997 mei;74;69.0;-0.2;6.8
31;1997 juni;75;69.0;-1.4;5.4
32;1997 juli;72;70.0;11.6;6.2
33;1997 augustus;53;70.0;14.0;6.8
34;1997 september;73;71.0;20.6;8.2
35;1997 oktober;76;72.0;7.0;8.1
36;1997 november;61;72.0;0.0;7.4
37;1997 december;72;72.0;10.6;7.7
38;1997;72;72.0;7.7;7.7
39;1998 januari;95;74.0;18.0;18.0
40;1998 februari;77;74.0;5.7;12.1
41;1998 maart;92;75.0;16.4;13.6
42;1998 april;90;76.0;13.0;13.4
43;1998 mei;85;77.0;15.3;13.8
44;1998 juni;93;78.0;23.7;15.4
45;1998 juli;83;79.0;16.6;15.6
46;1998 augustus;63;80.0;17.8;15.8
47;1998 september;82;81.0;13.2;15.5
48;1998 oktober;87;82.0;15.3;15.5
49;1998 november;82;84.0;33.7;16.9
