ID;WijkenEnBuurten;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;Werkloosheidsuitkering_5;Bijstandsuitkering_6;Arbeidsongeschiktheidsuitkering_7;AOWUitkering_8;Werkloosheidsuitkering_9;Bijstandsuitkering_10;Arbeidsongeschiktheidsuitkering_11;AOWUitkering_12;InwonersVanaf15Jaar_13;InwonersVanaf15JrTotAOWLeeftijd_14;InwonersVanafDeAOWLeeftijd_15
0;Totaal;2021 maart;                                        ;        ;NL00      ;;237510.0;430210.0;763050.0;3523690.0;;;;;;;
1;Totaal;2021 juni;                                        ;        ;NL00      ;;190400.0;423160.0;758920.0;3541390.0;;;;;;;
2;Totaal;2021 september;                                        ;        ;NL00      ;;178990.0;411790.0;759450.0;3565180.0;;;;;;;
3;Totaal;2021 december;                                        ;        ;NL00      ;;169230.0;408140.0;772120.0;3578800.0;;;;;;;
4;Nederland;2021 maart;                                        ;        ;NL01      ;;234850.0;430030.0;738340.0;3182260.0;2.0;3.0;5.0;22.0;14777220.0;11584010.0;3193210.0
5;Nederland;2021 juni;                                        ;        ;NL01      ;;188550.0;423040.0;734260.0;3200540.0;1.0;3.0;5.0;22.0;14797430.0;11585650.0;3211780.0
6;Nederland;2021 september;                                        ;        ;NL01      ;;177140.0;411640.0;734550.0;3222170.0;1.0;3.0;5.0;22.0;14853740.0;11620210.0;3233520.0
7;Nederland;2021 december;                                        ;        ;NL01      ;;166620.0;407970.0;747060.0;3233130.0;1.0;3.0;5.0;22.0;14873820.0;11629050.0;3244770.0
8;Buitenland;2021 maart;                                        ;        ;NL98      ;;2660.0;170.0;24710.0;341440.0;;;;;;;
9;Buitenland;2021 juni;                                        ;        ;NL98      ;;1850.0;130.0;24660.0;340850.0;;;;;;;
10;Buitenland;2021 september;                                        ;        ;NL98      ;;1850.0;140.0;24900.0;343010.0;;;;;;;
11;Buitenland;2021 december;                                        ;        ;NL98      ;;2600.0;160.0;25050.0;345570.0;;;;;;;
12;Aa en Hunze;2021 maart;                             Aa en Hunze;Gemeente;GM    1680;;310.0;350.0;1090.0;6320.0;1.0;2.0;5.0;29.0;22040.0;15710.0;6330.0
13;Aa en Hunze;2021 juni;                             Aa en Hunze;Gemeente;GM    1680;;240.0;330.0;1110.0;6350.0;1.0;2.0;5.0;29.0;22080.0;15730.0;6360.0
14;Aa en Hunze;2021 september;                             Aa en Hunze;Gemeente;GM    1680;;240.0;320.0;1090.0;6440.0;1.0;1.0;5.0;29.0;22160.0;15710.0;6450.0
15;Aa en Hunze;2021 december;                             Aa en Hunze;Gemeente;GM    1680;;240.0;330.0;1100.0;6450.0;1.0;2.0;5.0;29.0;22150.0;15690.0;6460.0
16;Wijk 00 Annen;2021 maart;                             Aa en Hunze;    Wijk;WK  168000;1.0;50.0;30.0;110.0;880.0;2.0;1.0;4.0;29.0;3080.0;2190.0;880.0
17;Wijk 00 Annen;2021 juni;                             Aa en Hunze;    Wijk;WK  168000;1.0;40.0;30.0;110.0;880.0;1.0;1.0;4.0;29.0;3070.0;2190.0;880.0
18;Wijk 00 Annen;2021 september;                             Aa en Hunze;    Wijk;WK  168000;1.0;40.0;30.0;100.0;900.0;1.0;1.0;3.0;29.0;3080.0;2190.0;900.0
19;Wijk 00 Annen;2021 december;                             Aa en Hunze;    Wijk;WK  168000;1.0;30.0;30.0;100.0;900.0;1.0;1.0;3.0;29.0;3090.0;2190.0;900.0
20;Annen;2021 maart;                             Aa en Hunze;   Buurt;BU16800000;1.0;50.0;30.0;100.0;840.0;2.0;1.0;4.0;29.0;2940.0;2100.0;840.0
21;Annen;2021 juni;                             Aa en Hunze;   Buurt;BU16800000;1.0;40.0;30.0;100.0;840.0;1.0;1.0;4.0;29.0;2930.0;2090.0;840.0
22;Annen;2021 september;                             Aa en Hunze;   Buurt;BU16800000;1.0;40.0;30.0;100.0;850.0;1.0;1.0;3.0;29.0;2940.0;2090.0;850.0
23;Annen;2021 december;                             Aa en Hunze;   Buurt;BU16800000;1.0;30.0;30.0;100.0;850.0;1.0;1.0;3.0;29.0;2940.0;2090.0;850.0
24;Verspreide huizen Annen;2021 maart;                             Aa en Hunze;   Buurt;BU16800009;1.0;0.0;0.0;10.0;40.0;2.0;2.0;4.0;30.0;140.0;100.0;40.0
25;Verspreide huizen Annen;2021 juni;                             Aa en Hunze;   Buurt;BU16800009;1.0;0.0;0.0;0.0;40.0;1.0;1.0;3.0;32.0;140.0;90.0;40.0
26;Verspreide huizen Annen;2021 september;                             Aa en Hunze;   Buurt;BU16800009;1.0;0.0;0.0;0.0;50.0;1.0;1.0;3.0;32.0;140.0;100.0;50.0
27;Verspreide huizen Annen;2021 december;                             Aa en Hunze;   Buurt;BU16800009;1.0;0.0;0.0;0.0;50.0;1.0;0.0;2.0;32.0;140.0;100.0;50.0
28;Wijk 01 Eext;2021 maart;                             Aa en Hunze;    Wijk;WK  168001;1.0;20.0;20.0;40.0;290.0;2.0;2.0;3.0;23.0;1240.0;960.0;290.0
29;Wijk 01 Eext;2021 juni;                             Aa en Hunze;    Wijk;WK  168001;1.0;10.0;20.0;40.0;280.0;1.0;2.0;3.0;23.0;1240.0;960.0;280.0
30;Wijk 01 Eext;2021 september;                             Aa en Hunze;    Wijk;WK  168001;1.0;10.0;20.0;40.0;290.0;1.0;2.0;3.0;23.0;1240.0;950.0;290.0
31;Wijk 01 Eext;2021 december;                             Aa en Hunze;    Wijk;WK  168001;1.0;10.0;20.0;40.0;300.0;1.0;2.0;3.0;24.0;1250.0;960.0;300.0
32;Eext;2021 maart;                             Aa en Hunze;   Buurt;BU16800100;1.0;20.0;20.0;30.0;240.0;2.0;2.0;3.0;22.0;1080.0;840.0;240.0
33;Eext;2021 juni;                             Aa en Hunze;   Buurt;BU16800100;1.0;10.0;20.0;30.0;230.0;1.0;2.0;3.0;21.0;1080.0;850.0;230.0
34;Eext;2021 september;                             Aa en Hunze;   Buurt;BU16800100;1.0;10.0;20.0;30.0;240.0;1.0;2.0;3.0;22.0;1070.0;840.0;240.0
35;Eext;2021 december;                             Aa en Hunze;   Buurt;BU16800100;1.0;10.0;20.0;30.0;240.0;1.0;2.0;3.0;23.0;1080.0;840.0;240.0
