ID;NederlandseZeehavens;TypeZeeschip;Perioden;Zeeschepen_1
0;Totaal Nederlandse zeehavens;Totaal aantal zeeschepen;2015;41000.0
1;Totaal Nederlandse zeehavens;Totaal aantal zeeschepen;2016;40300.0
2;Totaal Nederlandse zeehavens;Totaal aantal zeeschepen;2017;42300.0
3;Totaal Nederlandse zeehavens;Totaal aantal zeeschepen;2018;42600.0
4;Totaal Nederlandse zeehavens;Totaal aantal zeeschepen;2019;42800.0
5;Totaal Nederlandse zeehavens;Totaal aantal zeeschepen;2020;39400.0
6;Totaal Nederlandse zeehavens;Totaal aantal zeeschepen;2021;41000.0
7;Totaal Nederlandse zeehavens;Totaal aantal zeeschepen;2022;41600.0
8;Totaal Nederlandse zeehavens;Totaal aantal zeeschepen;2023;39700.0
9;Totaal Nederlandse zeehavens;Droge bulkschepen;2015;2300.0
10;Totaal Nederlandse zeehavens;Droge bulkschepen;2016;2300.0
11;Totaal Nederlandse zeehavens;Droge bulkschepen;2017;2400.0
12;Totaal Nederlandse zeehavens;Droge bulkschepen;2018;2300.0
13;Totaal Nederlandse zeehavens;Droge bulkschepen;2019;2300.0
14;Totaal Nederlandse zeehavens;Droge bulkschepen;2020;2000.0
15;Totaal Nederlandse zeehavens;Droge bulkschepen;2021;2200.0
16;Totaal Nederlandse zeehavens;Droge bulkschepen;2022;2500.0
17;Totaal Nederlandse zeehavens;Droge bulkschepen;2023;2100.0
18;Totaal Nederlandse zeehavens;Natte bulkschepen;2015;12300.0
19;Totaal Nederlandse zeehavens;Natte bulkschepen;2016;12000.0
20;Totaal Nederlandse zeehavens;Natte bulkschepen;2017;12200.0
21;Totaal Nederlandse zeehavens;Natte bulkschepen;2018;12700.0
22;Totaal Nederlandse zeehavens;Natte bulkschepen;2019;12700.0
23;Totaal Nederlandse zeehavens;Natte bulkschepen;2020;12000.0
24;Totaal Nederlandse zeehavens;Natte bulkschepen;2021;12500.0
25;Totaal Nederlandse zeehavens;Natte bulkschepen;2022;12700.0
26;Totaal Nederlandse zeehavens;Natte bulkschepen;2023;12200.0
27;Totaal Nederlandse zeehavens;Containerschepen;2015;7800.0
28;Totaal Nederlandse zeehavens;Containerschepen;2016;7800.0
29;Totaal Nederlandse zeehavens;Containerschepen;2017;8100.0
30;Totaal Nederlandse zeehavens;Containerschepen;2018;8200.0
31;Totaal Nederlandse zeehavens;Containerschepen;2019;8400.0
32;Totaal Nederlandse zeehavens;Containerschepen;2020;8000.0
33;Totaal Nederlandse zeehavens;Containerschepen;2021;7800.0
34;Totaal Nederlandse zeehavens;Containerschepen;2022;7400.0
35;Totaal Nederlandse zeehavens;Containerschepen;2023;7400.0
36;Totaal Nederlandse zeehavens;Roll-on-roll-offschepen;2015;5700.0
37;Totaal Nederlandse zeehavens;Roll-on-roll-offschepen;2016;5900.0
38;Totaal Nederlandse zeehavens;Roll-on-roll-offschepen;2017;7200.0
39;Totaal Nederlandse zeehavens;Roll-on-roll-offschepen;2018;7100.0
40;Totaal Nederlandse zeehavens;Roll-on-roll-offschepen;2019;7000.0
41;Totaal Nederlandse zeehavens;Roll-on-roll-offschepen;2020;6300.0
42;Totaal Nederlandse zeehavens;Roll-on-roll-offschepen;2021;6700.0
43;Totaal Nederlandse zeehavens;Roll-on-roll-offschepen;2022;7000.0
44;Totaal Nederlandse zeehavens;Roll-on-roll-offschepen;2023;6700.0
45;Totaal Nederlandse zeehavens;General cargo schepen;2015;10900.0
46;Totaal Nederlandse zeehavens;General cargo schepen;2016;10900.0
47;Totaal Nederlandse zeehavens;General cargo schepen;2017;11000.0
48;Totaal Nederlandse zeehavens;General cargo schepen;2018;10900.0
49;Totaal Nederlandse zeehavens;General cargo schepen;2019;10700.0
50;Totaal Nederlandse zeehavens;General cargo schepen;2020;10000.0
51;Totaal Nederlandse zeehavens;General cargo schepen;2021;10500.0
52;Totaal Nederlandse zeehavens;General cargo schepen;2022;10300.0
53;Totaal Nederlandse zeehavens;General cargo schepen;2023;9800.0
54;Totaal Nederlandse zeehavens;Overige en onbekende zeeschepen;2015;1900.0
55;Totaal Nederlandse zeehavens;Overige en onbekende zeeschepen;2016;1500.0
56;Totaal Nederlandse zeehavens;Overige en onbekende zeeschepen;2017;1500.0
57;Totaal Nederlandse zeehavens;Overige en onbekende zeeschepen;2018;1500.0
58;Totaal Nederlandse zeehavens;Overige en onbekende zeeschepen;2019;1600.0
59;Totaal Nederlandse zeehavens;Overige en onbekende zeeschepen;2020;1200.0
60;Totaal Nederlandse zeehavens;Overige en onbekende zeeschepen;2021;1300.0
61;Totaal Nederlandse zeehavens;Overige en onbekende zeeschepen;2022;1600.0
62;Totaal Nederlandse zeehavens;Overige en onbekende zeeschepen;2023;1500.0
63;Groningen Seaports;Totaal aantal zeeschepen;2015;1200.0
64;Groningen Seaports;Totaal aantal zeeschepen;2016;1200.0
65;Groningen Seaports;Totaal aantal zeeschepen;2017;2400.0
66;Groningen Seaports;Totaal aantal zeeschepen;2018;2400.0
67;Groningen Seaports;Totaal aantal zeeschepen;2019;2300.0
68;Groningen Seaports;Totaal aantal zeeschepen;2020;1900.0
69;Groningen Seaports;Totaal aantal zeeschepen;2021;2100.0
70;Groningen Seaports;Totaal aantal zeeschepen;2022;2200.0
71;Groningen Seaports;Totaal aantal zeeschepen;2023;2200.0
72;Groningen Seaports;Droge bulkschepen;2015;200.0
73;Groningen Seaports;Droge bulkschepen;2016;200.0
74;Groningen Seaports;Droge bulkschepen;2017;200.0
75;Groningen Seaports;Droge bulkschepen;2018;200.0
76;Groningen Seaports;Droge bulkschepen;2019;100.0
77;Groningen Seaports;Droge bulkschepen;2020;100.0
78;Groningen Seaports;Droge bulkschepen;2021;100.0
79;Groningen Seaports;Droge bulkschepen;2022;100.0
80;Groningen Seaports;Droge bulkschepen;2023;100.0
81;Groningen Seaports;Natte bulkschepen;2015;100.0
82;Groningen Seaports;Natte bulkschepen;2016;200.0
83;Groningen Seaports;Natte bulkschepen;2017;200.0
84;Groningen Seaports;Natte bulkschepen;2018;200.0
85;Groningen Seaports;Natte bulkschepen;2019;200.0
86;Groningen Seaports;Natte bulkschepen;2020;200.0
87;Groningen Seaports;Natte bulkschepen;2021;200.0
88;Groningen Seaports;Natte bulkschepen;2022;200.0
89;Groningen Seaports;Natte bulkschepen;2023;200.0
90;Groningen Seaports;Containerschepen;2015;
91;Groningen Seaports;Containerschepen;2016;0.0
92;Groningen Seaports;Containerschepen;2017;0.0
93;Groningen Seaports;Containerschepen;2018;0.0
94;Groningen Seaports;Containerschepen;2019;0.0
95;Groningen Seaports;Containerschepen;2020;
96;Groningen Seaports;Containerschepen;2021;
97;Groningen Seaports;Containerschepen;2022;0.0
98;Groningen Seaports;Containerschepen;2023;
99;Groningen Seaports;Roll-on-roll-offschepen;2015;100.0
100;Groningen Seaports;Roll-on-roll-offschepen;2016;200.0
101;Groningen Seaports;Roll-on-roll-offschepen;2017;1100.0
102;Groningen Seaports;Roll-on-roll-offschepen;2018;1100.0
103;Groningen Seaports;Roll-on-roll-offschepen;2019;1100.0
104;Groningen Seaports;Roll-on-roll-offschepen;2020;800.0
105;Groningen Seaports;Roll-on-roll-offschepen;2021;900.0
106;Groningen Seaports;Roll-on-roll-offschepen;2022;1200.0
107;Groningen Seaports;Roll-on-roll-offschepen;2023;1000.0
108;Groningen Seaports;General cargo schepen;2015;700.0
109;Groningen Seaports;General cargo schepen;2016;600.0
110;Groningen Seaports;General cargo schepen;2017;600.0
111;Groningen Seaports;General cargo schepen;2018;600.0
112;Groningen Seaports;General cargo schepen;2019;600.0
113;Groningen Seaports;General cargo schepen;2020;700.0
114;Groningen Seaports;General cargo schepen;2021;800.0
115;Groningen Seaports;General cargo schepen;2022;600.0
116;Groningen Seaports;General cargo schepen;2023;600.0
117;Groningen Seaports;Overige en onbekende zeeschepen;2015;100.0
118;Groningen Seaports;Overige en onbekende zeeschepen;2016;100.0
119;Groningen Seaports;Overige en onbekende zeeschepen;2017;300.0
120;Groningen Seaports;Overige en onbekende zeeschepen;2018;300.0
121;Groningen Seaports;Overige en onbekende zeeschepen;2019;300.0
122;Groningen Seaports;Overige en onbekende zeeschepen;2020;200.0
123;Groningen Seaports;Overige en onbekende zeeschepen;2021;200.0
124;Groningen Seaports;Overige en onbekende zeeschepen;2022;200.0
125;Groningen Seaports;Overige en onbekende zeeschepen;2023;200.0
126;Havengebied Amsterdam;Totaal aantal zeeschepen;2015;5800.0
127;Havengebied Amsterdam;Totaal aantal zeeschepen;2016;5800.0
128;Havengebied Amsterdam;Totaal aantal zeeschepen;2017;5900.0
129;Havengebied Amsterdam;Totaal aantal zeeschepen;2018;6200.0
130;Havengebied Amsterdam;Totaal aantal zeeschepen;2019;6400.0
131;Havengebied Amsterdam;Totaal aantal zeeschepen;2020;5500.0
132;Havengebied Amsterdam;Totaal aantal zeeschepen;2021;5900.0
133;Havengebied Amsterdam;Totaal aantal zeeschepen;2022;6200.0
134;Havengebied Amsterdam;Totaal aantal zeeschepen;2023;5600.0
135;Havengebied Amsterdam;Droge bulkschepen;2015;700.0
136;Havengebied Amsterdam;Droge bulkschepen;2016;700.0
137;Havengebied Amsterdam;Droge bulkschepen;2017;700.0
138;Havengebied Amsterdam;Droge bulkschepen;2018;700.0
139;Havengebied Amsterdam;Droge bulkschepen;2019;700.0
140;Havengebied Amsterdam;Droge bulkschepen;2020;600.0
141;Havengebied Amsterdam;Droge bulkschepen;2021;600.0
142;Havengebied Amsterdam;Droge bulkschepen;2022;700.0
143;Havengebied Amsterdam;Droge bulkschepen;2023;600.0
144;Havengebied Amsterdam;Natte bulkschepen;2015;2000.0
145;Havengebied Amsterdam;Natte bulkschepen;2016;1900.0
146;Havengebied Amsterdam;Natte bulkschepen;2017;2000.0
147;Havengebied Amsterdam;Natte bulkschepen;2018;2100.0
