ID;Kenmerken;Perioden;LichamelijkZwaarWerk_1;VeelKrachtMoetenZetten_2;VoortdurendZelfdeHoudingBovenlichaam_3;OngemakkelijkeHoudingBovenlichaam_4;RepeterendWerkMetArmenOfHanden_5;WerkWaarbijMenBezweetRaakt_6;LageLichamelijkeBelasting_7;HogeLichamelijkeBelasting_8;PreventieVoorOverbelasting_9;EnigerleiLichamelijkeBelasting_10;KlachtenAanBovensteLedematen_11;Ziekteverzuim_12;NaarHuisarts_13;NaarSpecialist_14;NaarZiekenhuis_15;GebruikVoertuigOpHetWerk_16;GebruikTrillendeApparaten_17;EnigerleiBelastingDoorTrilling_18;KlachtenAanBovensteLedematen_19;Ziekteverzuim_20;NaarHuisarts_21;NaarSpecialist_22;NaarZiekenhuis_23;VuilWerk_24;StankOpWerk_25;GevaarlijkWerk_26;LawaaiOpHetWerk_27;LawaaiOverstemmen_28;OordopjesOmLawaaiTeOverstemmen_29;InPloegendienstWerken_30;SAvondsEnOfSNachtsWerken_31;InWeekeindeWerken_32;LidVakbond_33;GoedeWerksfeer_34;WelEensConflictenMetChef_35;WelEensConflictenMetCollegaS_36;PlezierInHetWerk_37;DiscriminatieNaarSekse_38;DiscriminatieNaarHuidskleur_39
0;15 tot 65 jarigen;1997;21;25;43.0;14.0;40.0;10.0;33.0;33.0;36.0;81.0;41.0;16.0;31.0;9.0;1.0;12.0;10.0;25.0;17.0;22.0;31.0;10.0;1.0;19;8;5;17;23;48.0;10;63;59;26.0;82;;;92;3;2.0
1;15 tot 65 jarigen;1998;20;23;43.0;13.0;39.0;9.0;34.0;33.0;39.0;80.0;35.0;22.0;40.0;12.0;1.0;11.0;10.0;24.0;15.0;22.0;38.0;14.0;0.0;19;9;5;17;22;46.0;10;62;58;26.0;84;;;92;2;2.0
2;15 tot 65 jarigen;1999;19;22;43.0;13.0;41.0;9.0;35.0;33.0;41.0;81.0;43.0;21.0;38.0;12.0;2.0;11.0;10.0;24.0;19.0;27.0;41.0;19.0;4.0;18;8;5;17;21;47.0;9;60;58;28.0;82;17.0;14.0;92;2;2.0
3;15 tot 65 jarigen;2000;19;22;42.0;14.0;42.0;8.0;33.0;33.0;44.0;80.0;45.0;19.0;36.0;10.0;1.0;10.0;10.0;23.0;18.0;27.0;35.0;12.0;2.0;18;8;5;18;22;46.0;10;60;57;25.0;85;15.0;15.0;92;2;2.0
4;15 tot 65 jarigen;2001;20;24;45.0;15.0;44.0;9.0;33.0;33.0;45.0;82.0;43.0;22.0;37.0;11.0;1.0;12.0;10.0;23.0;18.0;25.0;34.0;12.0;1.0;18;8;5;17;21;47.0;9;59;56;24.0;85;;;92;2;3.0
5;15 tot 65 jarigen;2002;19;23;45.0;13.0;45.0;9.0;32.0;33.0;48.0;82.0;44.0;20.0;37.0;10.0;1.0;10.0;10.0;22.0;18.0;29.0;38.0;11.0;2.0;17;7;5;16;20;46.0;9;60;56;24.0;85;;;92;2;2.0
6;15 tot 65 jarigen;2003;20;22;;;;;;;;;;;;;;;;;;;;;;19;8;6;18;20;44.0;9;57;55;24.0;86;;;93;2;2.0
7;15 tot 65 jarigen;2004;20;23;;;;;;;;;;;;;;;;;;;;;;19;8;6;17;20;47.0;9;59;56;25.0;84;;;92;2;2.0
8;18 tot 65 jarigen;1997;21;24;43.0;14.0;40.0;10.0;33.0;33.0;36.0;81.0;41.0;16.0;32.0;9.0;1.0;12.0;10.0;25.0;17.0;22.0;31.0;10.0;1.0;19;8;5;17;23;48.0;10;63;59;26.0;82;;;92;3;2.0
9;18 tot 65 jarigen;1998;20;23;43.0;13.0;39.0;9.0;34.0;33.0;39.0;80.0;36.0;21.0;40.0;12.0;1.0;11.0;10.0;24.0;15.0;23.0;39.0;14.0;0.0;19;9;5;17;22;46.0;11;63;58;27.0;84;;;92;2;2.0
10;18 tot 65 jarigen;1999;19;22;44.0;13.0;41.0;9.0;35.0;33.0;41.0;81.0;43.0;21.0;38.0;12.0;2.0;11.0;10.0;24.0;20.0;27.0;41.0;19.0;4.0;18;8;5;16;21;47.0;9;60;58;28.0;82;17.0;14.0;92;2;2.0
11;18 tot 65 jarigen;2000;19;22;43.0;14.0;42.0;8.0;33.0;33.0;43.0;80.0;45.0;19.0;36.0;10.0;1.0;10.0;10.0;23.0;18.0;27.0;35.0;12.0;2.0;18;8;5;18;22;47.0;10;60;56;25.0;85;15.0;15.0;92;2;2.0
12;18 tot 65 jarigen;2001;20;23;45.0;15.0;44.0;10.0;33.0;33.0;45.0;82.0;43.0;22.0;38.0;12.0;1.0;12.0;10.0;23.0;18.0;25.0;35.0;13.0;1.0;18;8;5;16;21;47.0;9;59;55;24.0;85;;;92;2;3.0
13;18 tot 65 jarigen;2002;19;23;45.0;13.0;45.0;9.0;32.0;33.0;49.0;82.0;44.0;20.0;38.0;10.0;1.0;10.0;10.0;22.0;18.0;29.0;39.0;12.0;2.0;17;7;5;16;20;46.0;9;60;56;25.0;85;;;92;2;2.0
14;18 tot 65 jarigen;2003;20;22;;;;;;;;;;;;;;;;;;;;;;18;8;6;17;20;45.0;9;57;55;24.0;86;;;93;2;2.0
15;18 tot 65 jarigen;2004;20;23;;;;;;;;;;;;;;;;;;;;;;19;8;6;17;20;47.0;9;59;56;25.0;84;;;92;2;2.0
16;Mannen;1997;22;27;42.0;14.0;40.0;13.0;33.0;37.0;35.0;82.0;37.0;17.0;30.0;7.0;1.0;18.0;16.0;38.0;17.0;23.0;32.0;10.0;1.0;26;10;7;21;28;61.0;11;69;64;31.0;82;;;91;2;3.0
17;Mannen;1998;21;25;42.0;14.0;40.0;12.0;34.0;37.0;38.0;79.0;33.0;24.0;40.0;12.0;1.0;18.0;15.0;37.0;15.0;23.0;40.0;14.0;0.0;26;11;7;20;26;61.0;11;68;62;30.0;83;;;91;2;3.0
18;Mannen;1999;19;24;44.0;14.0;42.0;11.0;35.0;35.0;41.0;81.0;40.0;22.0;38.0;13.0;2.0;18.0;15.0;36.0;20.0;27.0;40.0;19.0;4.0;24;10;8;19;25;62.0;10;66;61;31.0;82;18.0;15.0;91;2;3.0
19;Mannen;2000;19;25;42.0;14.0;41.0;11.0;34.0;36.0;44.0;80.0;41.0;20.0;34.0;10.0;1.0;17.0;16.0;36.0;17.0;26.0;36.0;13.0;2.0;24;10;8;20;26;62.0;11;64;61;30.0;86;18.0;17.0;91;2;3.0
20;Mannen;2001;21;25;45.0;15.0;44.0;12.0;32.0;36.0;47.0;83.0;39.0;22.0;33.0;10.0;2.0;18.0;15.0;35.0;19.0;26.0;34.0;13.0;1.0;24;9;7;20;26;62.0;10;66;60;27.0;85;;;92;2;3.0
21;Mannen;2002;18;23;46.0;14.0;46.0;12.0;32.0;35.0;49.0;83.0;40.0;21.0;36.0;10.0;1.0;17.0;15.0;34.0;18.0;29.0;38.0;11.0;2.0;24;9;6;19;24;62.0;10;66;60;27.0;85;;;92;2;2.0
22;Mannen;2003;19;23;;;;;;;;;;;;;;;;;;;;;;25;9;8;20;24;59.0;9;62;59;28.0;85;;;93;2;2.0
23;Mannen;2004;20;25;;;;;;;;;;;;;;;;;;;;;;25;10;8;22;25;63.0;9;64;61;28.0;83;;;92;2;2.0
24;Vrouwen;1997;19;20;44.0;13.0;40.0;5.0;33.0;27.0;37.0;80.0;47.0;15.0;33.0;10.0;2.0;1.0;2.0;5.0;17.0;;;;;9;5;2;12;15;5.0;9;54;51;18.0;83;;;93;3;1.0
25;Vrouwen;1998;18;20;44.0;13.0;39.0;6.0;33.0;28.0;40.0;80.0;39.0;19.0;39.0;12.0;1.0;1.0;1.0;4.0;11.0;;;;;8;5;1;11;16;6.0;10;54;52;20.0;85;;;93;2;1.0
26;Vrouwen;1999;18;20;42.0;12.0;39.0;5.0;35.0;29.0;42.0;80.0;48.0;19.0;38.0;11.0;1.0;1.0;2.0;5.0;9.0;;;;;9;5;1;12;15;10.0;8;52;53;22.0;83;15.0;13.0;93;3;2.0
27;Vrouwen;2000;19;19;44.0;13.0;43.0;4.0;32.0;29.0;43.0;80.0;51.0;17.0;37.0;9.0;0.0;1.0;2.0;4.0;25.0;;;;;8;6;2;14;15;6.0;9;53;51;17.0;85;12.0;12.0;93;2;1.0
28;Vrouwen;2001;19;21;45.0;15.0;43.0;6.0;34.0;29.0;43.0;80.0;49.0;22.0;42.0;13.0;1.0;1.0;3.0;6.0;14.0;;;;;10;5;2;12;14;8.0;8;50;49;20.0;86;;;92;3;2.0
29;Vrouwen;2002;20;22;44.0;13.0;43.0;5.0;32.0;31.0;48.0;81.0;50.0;18.0;39.0;11.0;1.0;1.0;2.0;5.0;10.0;;;;;8;6;2;12;14;8.0;8;51;49;21.0;86;;;93;2;2.0
30;Vrouwen;2003;20;22;;;;;;;;;;;;;;;;;;;;;;10;7;2;14;15;10.0;9;50;50;19.0;88;;;93;1;1.0
31;Vrouwen;2004;19;21;;;;;;;;;;;;;;;;;;;;;;10;6;2;10;14;7.0;10;52;51;19.0;86;;;92;2;2.0
32;15 tot 25 jarigen;1997;27;32;44.0;18.0;50.0;12.0;20.0;43.0;43.0;91.0;39.0;12.0;23.0;4.0;0.0;12.0;10.0;27.0;10.0;;;;;26;8;4;21;24;44.0;13;61;64;14.0;85;;;91;2;2.0
33;15 tot 25 jarigen;1998;26;33;43.0;17.0;50.0;15.0;20.0;50.0;46.0;91.0;32.0;18.0;29.0;7.0;1.0;13.0;13.0;31.0;11.0;;;;;31;10;4;20;25;42.0;13;61;67;10.0;88;;;90;2;2.0
34;15 tot 25 jarigen;1999;26;34;43.0;12.0;52.0;11.0;24.0;46.0;45.0;90.0;44.0;14.0;29.0;10.0;0.0;12.0;12.0;31.0;14.0;;;;;26;8;3;21;19;40.0;12;60;68;14.0;84;18.0;15.0;92;3;3.0
35;15 tot 25 jarigen;2000;27;35;45.0;13.0;49.0;10.0;20.0;47.0;49.0;89.0;42.0;12.0;28.0;9.0;0.0;13.0;15.0;29.0;8.0;;;;;24;9;4;20;24;41.0;13;59;64;14.0;89;16.0;16.0;92;2;2.0
36;15 tot 25 jarigen;2001;27;36;46.0;15.0;53.0;12.0;18.0;48.0;52.0;92.0;42.0;20.0;29.0;9.0;0.0;11.0;16.0;30.0;17.0;;;;;25;6;4;19;25;49.0;12;66;68;11.0;90;;;93;3;3.0
37;15 tot 25 jarigen;2002;25;33;40.0;17.0;51.0;13.0;23.0;47.0;49.0;88.0;43.0;14.0;24.0;8.0;1.0;12.0;13.0;28.0;16.0;;;;;23;6;4;23;25;48.0;11;62;63;12.0;89;;;90;2;4.0
38;15 tot 25 jarigen;2003;27;33;;;;;;;;;;;;;;;;;;;;;;31;12;6;25;24;29.0;10;59;63;8.0;86;;;90;1;2.0
39;15 tot 25 jarigen;2004;25;34;;;;;;;;;;;;;;;;;;;;;;28;7;5;23;25;37.0;14;63;69;13.0;87;;;90;2;3.0
40;25 tot 35 jarigen;1997;23;25;49.0;15.0;44.0;11.0;30.0;36.0;39.0;84.0;41.0;14.0;27.0;8.0;1.0;12.0;11.0;26.0;14.0;26.0;25.0;13.0;2.0;20;9;5;19;23;46.0;13;66;62;20.0;83;;;91;4;3.0
41;25 tot 35 jarigen;1998;22;24;47.0;13.0;42.0;10.0;30.0;35.0;38.0;83.0;33.0;21.0;34.0;9.0;0.0;12.0;10.0;24.0;13.0;;;;;20;9;4;18;23;44.0;11;66;60;22.0;84;;;92;2;2.0
42;25 tot 35 jarigen;1999;18;22;47.0;13.0;42.0;9.0;33.0;33.0;40.0;83.0;39.0;21.0;32.0;9.0;1.0;11.0;10.0;24.0;11.0;;;;;17;8;5;16;19;52.0;9;61;58;22.0;86;21.0;18.0;92;2;2.0
43;25 tot 35 jarigen;2000;18;22;47.0;14.0;45.0;9.0;29.0;34.0;43.0;84.0;45.0;20.0;34.0;8.0;0.0;11.0;10.0;24.0;16.0;21.0;25.0;9.0;0.0;19;9;6;18;23;47.0;11;61;57;20.0;87;17.0;18.0;92;2;2.0
44;25 tot 35 jarigen;2001;20;23;48.0;17.0;48.0;9.0;31.0;33.0;45.0;85.0;40.0;19.0;32.0;9.0;1.0;11.0;11.0;24.0;14.0;;;;;19;9;5;17;21;49.0;10;62;54;18.0;86;;;92;2;3.0
