ID;Perioden;TotaalMilieuInvesteringen_1;TotaalLuchtverontreiniging_2;TotaalWegverkeerLucht_3;TotaalPersonenautoS_4;TotaalBenzineEnLPGAutoS_5;Katalysator_6;KoolstoffilterVoorHetBrandstofsysteem_7;AanpassingLPGInstallatie_8;OverigeMotoraanpassingen_9;Dieselpersonenauto_10;TotaalBedrijfsvoertuigen_11;TotaalLichteBedrijfsvoertuigen_12;BenzineEnLPGVoertuigen_13;Dieselvoertuigen_14;TotaalZwareBedrijfsvoertuigen_15;TotaalOverigVerkeerLucht_16;Binnenvaart_17;Railverkeer_18;TotaalGeluidshinder_19;PersonenautoS_20;LichteBedrijfsvoertuigen_21;ZwareBedrijfsvoertuigen_22;Motorfietsen_23;Luchtvaart_24;Railverkeer_25;TotaalWaterverontreiniging_26;Zeevaart_27;Recreatievaart_28;Bodemverontreiniging_29;TotaalMilieukosten_30;TotaalMilieukostenVerkeersdeelnemers_31;TotaalLuchtverontreiniging_32;TotPersonenEnLichteBedrijfsvoert_33;TotaalAutoSOpBenzineEnLPG_34;Katalysator_35;KoolstoffilterVoorHetBrandstofsysteem_36;AanpassingLPGInstallatie_37;OverigeMotoraanpassingen_38;ExtraBrandstofverbruik_39;Uitlaatgasmeting_40;TotaalDieselautoS_41;Motoraanpassingen_42;Roetmeting_43;TotaalZwareBedrijfsvoertuigen_44;AanpassingEisenLuchtverontrUitstoot_45;OntwikkelingNieuweTechnieken_46;Roetmeting_47;OverigeVervoermiddelen_48;TotaalAanpassingBrandstoffen_49;LoodvrijeEnAromaatarmeBenzine_50;ZwavelarmeDiesel_51;TotaalGeluidshinder_52;PersonenautoSEnLichteBedrijfsvoert_53;ZwareBedrijfsvoertuigen_54;Motorfietsen_55;Luchtvaart_56;Railverkeer_57;TotaalWaterverontreiniging_58;Zeevaart_59;Recreatievaart_60;TotaalAfvalverwijdering_61;Autowrakken_62;Personenautobanden_63;AfvalOpenbaarVervoersbedrijven_64;BodemverontreinigingEnLandschap_65;TotaalMilieukostenOverheid_66;Luchtverontreiniging_67;TotaalGeluidshinder_68;Wegverkeer_69;Railverkeer_70;Luchtverkeer_71;WaterverontreinigingBinnenvaart_72;Afvalverwijdering_73;Bodemverontreiniging_74;Landschap_75;TotaalBetaaldeHeffingen_76;AlgemeneBrandstofheffingED_77;GeluidshinderBurgerluchtvaart_78;Afval_79;TotaalOntvangenSubsidies_80;Luchtverontreiniging_81;OverigeSubsidies_82;NettoMilieulastenVerkeersdeelnemers_83
0;1980;26;11;11;11;11;0;0;0;11;0;0;0;0;0;0;0;0;0;4;1;0;3;0;0;0;11;11;0;0;80;71;38;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;36;19;16;23;0;1;0;22;0;10;10;0;0;0;0;0;0;9;0;9;9;0;0;0;0;0;0;15;15;0;0;1;0;1;86
1;1981;47;15;15;15;15;0;0;0;15;0;0;0;0;0;0;0;0;0;21;3;2;14;0;1;0;11;11;0;0;100;87;44;5;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;39;20;19;30;1;3;0;27;0;12;12;0;0;0;0;0;0;14;0;14;14;0;0;0;0;0;0;30;30;0;0;2;0;2;114
2;1982;61;17;17;17;17;0;0;0;17;0;0;0;0;0;0;0;0;0;33;7;4;22;0;1;0;11;11;0;0;130;98;49;7;7;0;0;0;7;0;0;0;0;0;0;0;0;0;0;42;20;22;35;2;6;0;27;0;14;14;0;0;0;0;0;0;32;0;32;31;1;0;0;0;0;0;57;57;0;0;4;0;4;151
3;1983;74;18;18;18;18;0;0;0;18;0;0;0;0;0;0;0;0;0;44;10;5;25;0;5;0;11;11;0;0;127;109;53;10;10;0;0;0;10;0;0;0;0;0;0;0;0;0;0;44;20;24;40;4;10;0;27;0;15;15;0;0;0;0;0;0;18;0;18;18;0;0;0;0;0;0;72;72;0;0;6;0;6;175
4;1984;76;11;11;11;11;0;0;0;11;0;0;0;0;0;0;0;0;0;54;8;6;27;0;14;0;11;11;0;0;170;126;58;12;12;0;0;0;12;0;0;0;0;0;0;0;0;0;0;46;20;27;51;7;14;0;31;0;16;16;0;0;0;0;0;0;45;0;45;41;1;2;0;0;0;0;80;77;3;0;8;0;8;197
5;1985;73;4;4;4;4;0;0;0;4;0;0;0;0;0;0;0;0;0;57;5;7;38;0;8;0;11;11;0;0;176;139;63;14;14;0;0;0;12;2;0;0;0;0;0;0;0;0;0;49;20;29;58;8;18;0;32;0;17;17;0;0;0;0;0;0;37;0;37;28;3;5;0;1;0;0;63;60;3;0;11;0;11;191
6;1986;80;10;10;10;10;4;0;0;6;0;0;0;0;0;0;0;0;0;58;1;6;36;0;14;1;11;11;0;0;236;161;85;14;14;0;0;0;12;2;0;0;0;0;0;0;0;0;0;71;42;29;58;9;23;0;26;0;18;18;0;0;0;0;0;0;74;0;70;63;2;6;0;2;0;2;65;61;4;0;14;0;14;212
7;1987;119;53;53;53;53;34;0;0;19;0;0;0;0;0;0;0;0;0;54;0;8;38;0;8;1;11;11;0;0;264;220;136;18;18;3;0;0;14;2;0;0;0;0;0;0;0;0;0;118;89;29;65;10;27;0;28;1;19;19;0;0;0;0;0;0;44;0;41;34;2;5;0;0;0;2;74;71;4;0;17;0;17;278
8;1988;127;87;87;87;87;63;0;0;24;0;0;0;0;0;0;0;0;0;36;0;7;18;0;10;1;4;4;0;0;312;243;154;28;28;11;0;0;16;2;0;0;0;0;0;0;0;0;0;126;92;34;70;10;29;0;29;1;19;19;0;0;0;0;0;0;69;0;62;51;3;9;0;4;0;2;86;82;4;0;17;0;17;312
9;1989;247;187;187;187;187;174;0;0;13;0;0;0;0;0;0;0;0;0;56;0;7;26;0;22;1;4;4;0;0;339;284;185;51;51;30;0;0;18;3;0;0;0;0;0;0;0;0;0;134;96;38;78;11;33;0;34;1;20;20;0;0;0;0;0;0;55;0;49;38;3;8;0;4;0;2;109;105;4;0;17;0;17;376
10;1990;369;308;308;308;308;293;5;8;2;0;0;0;0;0;0;0;0;0;54;0;8;26;0;18;1;7;7;0;0;415;347;236;100;100;74;0;1;18;5;1;0;0;0;0;0;0;0;0;136;98;38;90;12;37;0;40;1;21;21;0;0;0;0;0;0;68;0;60;45;4;11;0;6;0;2;146;137;4;5;18;1;17;476
11;1991;399;334;333;332;331;308;9;13;1;1;1;0;0;0;1;0;0;0;55;0;10;25;0;19;0;6;6;0;5;461;401;288;152;152;124;2;3;15;8;1;0;0;0;1;0;1;0;0;134;96;39;82;12;37;0;32;1;22;22;0;0;0;0;0;9;60;0;53;41;4;8;0;5;0;2;197;187;5;5;19;3;16;578
12;1992;382;315;315;309;304;284;7;12;0;5;6;1;1;0;5;0;0;0;50;0;12;25;0;13;0;7;7;0;9;523;472;349;206;205;166;3;5;12;9;10;1;1;0;3;1;2;0;0;141;99;42;83;12;36;0;34;1;22;22;0;0;0;0;0;18;51;0;44;31;4;9;0;5;0;2;98;88;5;5;23;7;15;547
13;1993;292;231;230;220;214;195;8;11;0;6;11;6;4;2;4;0;0;0;36;0;10;16;0;11;0;3;3;0;23;587;512;367;226;224;182;4;6;9;12;11;2;2;0;6;1;5;0;0;135;96;39;77;11;31;0;34;1;21;21;0;0;0;0;0;47;75;0;67;40;4;23;4;2;0;1;10;0;5;5;26;13;13;497
