ID;CapaciteitJachthavens;Perioden;JachthavensTotaal_1;TotaalZomerligplaatsen_2;VastVerhuurd_3;AantalZeilboten_4;AantalMotorboten_5;Bezettingsgraad_6;VastVerhuurdAanBuitenlanders_7;JachthavensMetPassantenligplaatsen_8;TotaalGemiddeldAantalZomerligplaatsen_9;VastVerhuurd_10;ParticuliereExploitant_11;Watersportclub_12;TotaalMetSeizoentarief_13;TotEnMet100Euro_14;k_101TotEnMet200Euro_15;k_201TotEnMet300Euro_16;k_301EuroEnMeer_17;TotaalMetSeizoentarief_18;TotEnMet200Euro_19;k_201TotEnMet400Euro_20;k_401TotEnMet600Euro_21;k_601EuroEnMeer_22;KleineBoot_23;GroteBoot_24;TotaalMetTariefWinterstalling_25;MinderDan5672Euro_26;k_5672Tot11345Euro_27;k_11345Tot17017Euro_28;k_17017EuroEnMeer_29;TotaalMetTariefWinterstalling_30;MinderDan11345Euro_31;k_11345Tot22689Euro_32;k_22689Tot34034Euro_33;k_34034EuroEnMeer_34;KleineBoot_35;GroteBoot_36;Vuilnis_37;AfgewerkteOlie_38;InhoudVanChemischeToiletten_39;AnderKleinChemischAfval_40;Bilgewaterpomp_41;Vuilwaterpomp_42;LozingViaGemeentelijkeRiolering_43;LozingInBodemOfOpenWater_44;AndereWijzeVanAfvoer_45;GeenSanitaireVoorzieningenAanwezig_46;HandelInSchepenScheepsbenodigdheden_47;ReparatieEnOnderhoudVanSchepen_48;VerhuurVanStandOfSlaapplaatsen_49;GevenVanInstructie_50;Winterstalling_51;GeenVanDezeNevenactiviteiten_52
0;Alle jachthavens;1997;810;142100;108600;54600;54000;76;12;61;180;135;49;51;775;27;32;25;16;740;19;32;22;26;190;440;495.0;20.0;24.0;23.0;32.0;425.0;14.0;24.0;16.0;46.0;140.0;325.0;86;53;36;46;19;9;61;16;6;19;57;53;13;12;70;6
1;Alle jachthavens;2000;820;138500;109800;58300;51500;79;11;60;170;135;46;54;770;25;27;24;24;735;18;32;20;30;220;475;;;;;;;;;;;;;86;48;37;44;21;19;65;18;3;17;48;41;23;9;67;8
2;Alle jachthavens;2003;815;133500;109900;56500;53400;82;11;60;165;135;47;53;770;23;27;22;28;725;14;32;19;35;250;545;;;;;;;;;;;;;84;45;35;43;25;24;70;14;4;15;44;39;22;10;69;11
3;Alle jachthavens;2006;800;138300;110500;53200;57200;80;11;60;175;140;49;51;745;16;28;19;37;720;11;29;20;41;295;625;;;;;0.0;;;;;0.0;;;85;43;37;42;26;25;74;12;2;14;42;38;19;9;64;11
4;Alle jachthavens;2009;760;131400;105200;49200;56000;80;11;58;175;140;52;48;720;10;29;18;43;690;6;25;20;48;325;695;;;;;0.0;;;;;0.0;;;84;45;46;44;29;39;75;11;2;12;40;40;22;9;65;10
5;Alle jachthavens;2012;780;137200;108600;51800;56800;79;11;62;175;140;53;47;740;10;24;16;49;690;7;23;18;51;355;730;;;;;0.0;;;;;0.0;;;84;47;50;44;34;43;78;7;3;12;39;34;21;10;61;11
6;50 ligplaatsen of minder;1997;205;7400;6200;2600;3700;84;4;36;35;30;36;64;195;39;36;15;10;175;36;39;14;11;150;315;85.0;27.0;29.0;24.0;20.0;70.0;24.0;39.0;13.0;24.0;110.0;225.0;68;19;14;19;9;4;36;19;4;42;26;26;8;3;42;21
7;50 ligplaatsen of minder;2000;185;5800;4800;1500;3300;83;2;39;30;25;37;63;170;35;30;22;13;145;35;37;15;13;185;340;;;;;;;;;;;;;70;18;11;17;3;3;39;16;2;44;28;29;8;2;44;20
8;50 ligplaatsen of minder;2003;205;6600;6200;1600;4600;94;3;30;30;30;44;56;190;31;31;17;21;165;29;35;15;21;215;440;;;;;;;;;;;;;66;16;12;14;6;6;45;14;4;38;25;23;14;1;45;22
9;50 ligplaatsen of minder;2006;195;6300;5700;1500;4200;91;3;32;30;30;42;58;175;21;32;18;29;160;24;34;21;21;270;470;;;;;0.0;;;;;0.0;;;65;11;13;11;4;5;50;13;3;35;22;25;11;3;47;24
10;50 ligplaatsen of minder;2009;185;5800;5000;1200;3800;87;2;33;30;25;47;53;175;17;30;16;37;150;18;27;22;33;290;515;;;;;0.0;;;;;0.0;;;63;11;16;10;4;9;50;11;4;36;19;20;14;1;42;24
11;50 ligplaatsen of minder;2012;185;6000;5200;1300;3900;87;3;33;35;30;46;54;175;17;25;15;42;150;19;28;18;35;310;535;;;;;0.0;;;;;0.0;;;62;13;16;16;7;8;53;10;2;35;12;14;11;2;41;29
12;51 tot en met 100 ligplaatsen;1997;230;20700;16700;5700;11000;80;4;46;90;75;37;63;215;36;35;19;10;205;24;40;19;17;160;375;130.0;26.0;33.0;14.0;27.0;105.0;17.0;29.0;17.0;37.0;135.0;285.0;85;45;23;39;14;4;61;13;6;21;52;48;8;2;74;9
13;51 tot en met 100 ligplaatsen;2000;200;15100;12300;3900;8500;82;4;44;75;60;41;59;185;30;33;19;18;175;22;42;18;18;185;385;;;;;;;;;;;;;86;36;24;39;11;8;61;18;3;21;39;32;22;4;65;13
14;51 tot en met 100 ligplaatsen;2003;205;15300;13300;4400;8900;86;4;54;75;65;42;58;190;29;31;21;20;175;15;39;20;26;210;445;;;;;;;;;;;;;87;36;22;41;17;14;68;12;5;17;34;31;10;3;63;14
15;51 tot en met 100 ligplaatsen;2006;210;16100;14100;4300;9900;88;5;49;75;70;44;56;195;20;29;21;29;190;13;38;18;31;245;580;;;;;0.0;;;;;0.0;;;86;33;22;35;14;13;70;13;3;17;23;33;9;6;61;16
16;51 tot en met 100 ligplaatsen;2009;195;14900;13100;3900;9200;88;4;48;75;65;47;53;185;12;35;20;33;175;5;34;23;39;275;610;;;;;0.0;;;;;0.0;;;85;33;30;35;14;21;72;11;4;13;27;39;13;7;62;12
17;51 tot en met 100 ligplaatsen;2012;200;15100;13400;4000;9300;89;4;39;75;70;44;56;185;13;32;16;39;170;7;30;21;43;300;620;;;;;0.0;;;;;0.0;;;83;33;33;32;16;25;73;10;7;10;27;30;14;6;54;15
18;101 tot en met 200 ligplaatsen;1997;195;30800;24600;10800;13800;80;6;64;160;125;55;45;190;20;33;29;17;180;11;31;25;33;200;490;135.0;20.0;23.0;29.0;28.0;115.0;12.0;20.0;13.0;55.0;135.0;340.0;97;69;39;54;20;15;64;22;10;7;63;61;4;10;70;2
19;101 tot en met 200 ligplaatsen;2000;225;32200;27100;11900;15200;84;6;59;145;120;41;59;215;25;29;23;23;205;13;35;22;30;215;465;;;;;;;;;;;;;90;50;35;43;19;16;71;21;5;5;46;41;17;6;60;5
20;101 tot en met 200 ligplaatsen;2003;205;30400;25500;10100;15400;84;6;66;145;125;41;59;200;23;30;20;27;195;9;37;24;30;250;520;;;;;;;;;;;;;89;49;35;45;23;21;79;16;4;2;49;47;22;11;77;7
21;101 tot en met 200 ligplaatsen;2006;180;26300;22000;8100;13900;84;6;65;145;120;48;52;175;18;33;14;34;170;9;32;22;38;290;620;;;;;0.0;;;;;0.0;;;93;46;37;43;25;21;84;12;3;4;46;44;15;6;59;8
22;101 tot en met 200 ligplaatsen;2009;170;24800;20800;7700;13100;84;7;63;145;125;45;55;165;9;40;15;37;160;3;37;19;41;310;650;;;;;0.0;;;;;0.0;;;91;45;47;43;34;48;86;9;2;4;44;44;19;11;63;11
