ID;KenmerkenHuishouden;Perioden;ParticuliereHuishoudens_1;PersonenPerHuishouden_2;BrutoInkomen_3;BesteedbaarInkomen_4;TotaalBestedingen_5;Totaal_6;HoogBTWTarief_7;LaagBTWTarief_8;NietBTWPlichtigeGoederen_9;Frisdrank_10;AlcoholhoudendeDranken_11;Tabaksproducten_12;Brandstoffen_13;Energie_14;Water_15;Verzekeringen_16;IndirecteBelastingen_17;Totaal_18;HoogBTWTarief_19;LaagBTWTarief_20;VerbruiksbelastingFrisdrank_21;TotaalAccijns_22;AccijnsOpAlcoholhoudendeDranken_23;AccijnsOpTabaksproducten_24;AccijnsOpBrandstoffen_25;TotaalMilieubelasting_26;MilieubelastingOpEnergie_27;MilieubelastingOpWater_28;Assurantiebelasting_29;Motorrijtuigenbelasting_30;DrukOpBrutoInkomen_31;DrukOpBesteedbaarInkomen_32;DrukOpBestedingen_33
0;10000;2006;7109;2.3;51.6;30.6;29.9;19240.0;12890.0;6350.0;10685.0;360.0;965.0;605.0;965.0;1525.0;145.0;750.0;3920.0;2420.0;2060.0;360.0;20.0;875.0;120.0;300.0;455.0;255.0;240.0;15.0;50.0;300.0;7.6;12.8;13.1
1;10000;2007;7166;2.2;54.2;32.6;30.8;19660.0;13115.0;6545.0;11125.0;345.0;1000.0;640.0;1010.0;1545.0;140.0;770.0;3985.0;2465.0;2095.0;370.0;20.0;890.0;120.0;300.0;470.0;240.0;225.0;15.0;50.0;320.0;7.4;12.2;12.9
2;10000;2008;7242;2.2;55.3;33.1;32.3;20720.0;13760.0;6960.0;11620.0;360.0;1020.0;655.0;1075.0;1665.0;145.0;775.0;4245.0;2590.0;2195.0;395.0;20.0;935.0;125.0;325.0;485.0;275.0;260.0;15.0;55.0;370.0;7.7;12.8;13.1
3;10000;2009;7302;2.2;55.8;33.4;32.3;20555.0;13770.0;6790.0;11715.0;360.0;1005.0;675.0;975.0;1915.0;130.0;795.0;4255.0;2585.0;2200.0;385.0;20.0;930.0;130.0;315.0;485.0;295.0;285.0;15.0;55.0;370.0;7.6;12.7;13.2
4;10000;2010;7371;2.2;55.7;33.2;32.5;20540.0;13570.0;6970.0;11995.0;350.0;970.0;700.0;1050.0;1945.0;130.0;785.0;4320.0;2560.0;2165.0;395.0;20.0;960.0;135.0;330.0;490.0;330.0;315.0;15.0;55.0;390.0;7.8;13.0;13.3
5;10000;2012;7470;2.2;57.2;33.3;33.0;21825.0;13220.0;8605.0;11150.0;380.0;860.0;665.0;1185.0;1735.0;155.0;945.0;4530.0;2640.0;2195.0;445.0;20.0;975.0;130.0;385.0;465.0;390.0;375.0;15.0;85.0;420.0;7.9;13.6;13.7
6;10000;2013;7488;2.2;58.0;33.6;33.0;21615.0;12820.0;8790.0;11385.0;410.0;985.0;615.0;1150.0;1805.0;160.0;1000.0;4755.0;2685.0;2225.0;455.0;20.0;1025.0;160.0;395.0;470.0;415.0;400.0;15.0;175.0;435.0;8.2;14.2;14.4
7;10050;2006;2473;1.0;28.8;17.9;19.7;11995.0;7840.0;4155.0;7740.0;230.0;835.0;485.0;555.0;1075.0;95.0;475.0;2350.0;1485.0;1250.0;235.0;10.0;575.0;80.0;230.0;265.0;90.0;85.0;10.0;30.0;155.0;8.2;13.1;11.9
8;10050;2007;2511;1.0;29.6;18.6;20.1;12300.0;8040.0;4260.0;7845.0;195.0;925.0;560.0;580.0;1165.0;95.0;455.0;2420.0;1525.0;1285.0;240.0;10.0;625.0;85.0;265.0;275.0;100.0;90.0;10.0;30.0;135.0;8.2;13.0;12.0
9;10050;2008;2561;1.0;30.4;19.0;21.1;13135.0;8490.0;4645.0;7940.0;225.0;945.0;615.0;655.0;1215.0;100.0;440.0;2625.0;1620.0;1355.0;265.0;10.0;695.0;80.0;320.0;300.0;115.0;105.0;10.0;30.0;155.0;8.6;13.8;12.5
10;10050;2009;2598;1.0;30.5;19.2;21.8;13345.0;8960.0;4380.0;8505.0;190.0;870.0;530.0;575.0;1435.0;80.0;485.0;2630.0;1680.0;1430.0;250.0;10.0;640.0;90.0;255.0;295.0;90.0;80.0;10.0;35.0;185.0;8.6;13.7;12.0
11;10050;2010;2675;1.0;30.3;19.0;21.3;13060.0;8405.0;4660.0;8250.0;205.0;725.0;520.0;580.0;1510.0;90.0;460.0;2555.0;1605.0;1340.0;265.0;10.0;615.0;85.0;255.0;270.0;115.0;105.0;10.0;30.0;175.0;8.4;13.5;12.0
12;10050;2012;2717;1.0;30.9;19.0;22.3;13760.0;8590.0;5170.0;8580.0;260.0;600.0;725.0;690.0;1270.0;105.0;560.0;2940.0;1705.0;1425.0;280.0;15.0;800.0;95.0;430.0;275.0;180.0;170.0;10.0;50.0;200.0;9.5;15.5;13.2
13;10050;2013;2716;1.0;31.2;19.2;21.8;13095.0;7980.0;5115.0;8750.0;250.0;620.0;565.0;680.0;1330.0;105.0;615.0;2950.0;1660.0;1385.0;275.0;15.0;740.0;105.0;360.0;280.0;195.0;185.0;10.0;105.0;235.0;9.4;15.4;13.5
