ID;WijkenEnBuurten;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;Werkloosheidsuitkering_5;Bijstandsuitkering_6;Arbeidsongeschiktheidsuitkering_7;AOWUitkering_8;Werkloosheidsuitkering_9;Bijstandsuitkering_10;Arbeidsongeschiktheidsuitkering_11;AOWUitkering_12;InwonersVanaf15Jaar_13;InwonersVanaf15JrTotAOWLeeftijd_14;InwonersVanafDeAOWLeeftijd_15
0;Totaal;2020 maart;                                        ;        ;NL00      ;;241980.0;421300.0;757680.0;3466300.0;;;;;;;
1;Totaal;2020 juni;                                        ;        ;NL00      ;;263630.0;429860.0;750880.0;3476650.0;;;;;;;
2;Totaal;2020 september;                                        ;        ;NL00      ;;250850.0;424400.0;750450.0;3500800.0;;;;;;;
3;Totaal;2020 december;                                        ;        ;NL00      ;;249770.0;428030.0;758440.0;3516180.0;;;;;;;
4;Nederland;2020 maart;                                        ;        ;NL01      ;;238640.0;421110.0;732950.0;3122940.0;2.0;3.0;5.0;21.0;14699300.0;11566100.0;3133210.0
5;Nederland;2020 juni;                                        ;        ;NL01      ;;260410.0;429690.0;726390.0;3135630.0;2.0;3.0;5.0;21.0;14706180.0;11560020.0;3146160.0
6;Nederland;2020 september;                                        ;        ;NL01      ;;248130.0;424220.0;725840.0;3158450.0;2.0;3.0;5.0;21.0;14746700.0;11577550.0;3169150.0
7;Nederland;2020 december;                                        ;        ;NL01      ;;246260.0;427830.0;733530.0;3170880.0;2.0;3.0;5.0;22.0;14761100.0;11579330.0;3181770.0
8;Buitenland;2020 maart;                                        ;        ;NL98      ;;3330.0;190.0;24740.0;343370.0;;;;;;;
9;Buitenland;2020 juni;                                        ;        ;NL98      ;;3220.0;170.0;24490.0;341020.0;;;;;;;
10;Buitenland;2020 september;                                        ;        ;NL98      ;;2720.0;180.0;24610.0;342350.0;;;;;;;
11;Buitenland;2020 december;                                        ;        ;NL98      ;;3510.0;200.0;24910.0;345300.0;;;;;;;
12;Aa en Hunze;2020 maart;Aa en Hunze                             ;Gemeente;GM1680    ;;310.0;380.0;1100.0;6200.0;1.0;2.0;5.0;28.0;21940.0;15730.0;6210.0
