ID;Sectoren;Perioden;TotaalInkomsten_1;TotaalBelastingen_2;TotaalBelastingenOpProdEnInvoer_3;ProductgebondenBelastingen_4;NietProductgebondenBelastingen_5;TotaalBelastOpInkomenEnVermogen_6;BelastingenOpInkomen_7;BelastingenOpVermogen_8;Vermogensheffingen_9;WettelijkeSocialeVerzekeringspremies_10;VerkopenVanGoederenEnDiensten_11;TotaalInkomenUitVermogen_12;Rente_13;Winstuitkeringen_14;OverigInkomenUitInvesteringen_15;InkomenUitGrondEnMineraleReserves_16;TotaalInkomensoverdrachten_17;InkomensoverdrachtenBinnenDeOverheid_18;InkomensoverdrIvmInternationSamenw_19;OverigeInkomensoverdrachten_20;TotaalKapitaaloverdrExclVermogen_21;Investeringsbijdragen_22;OverigeKapitaaloverdrachten_23;TotaalOverigeInkomsten_24;InvesteringenInEigenBeheer_25;Subsidies_26;ToegerekendeSocialePremies_27;TotaalUitgaven_28;TotaalBeloningVanWerknemers_29;Lonen_30;SocialePremiesTLVWerkgevers_31;AankopenGoederenEnDiensten_32;TotaalNettoInvesteringen_33;TotaalNettoInvestInVasteActiva_34;BrutoInvesteringenInVasteActiva_35;Afschrijvingen_36;VeranderingenInVoorradenInclKos_37;Afschrijvingen_38;SaldoAanEnVerkopenVanNietGepro_39;TotaalInkomenUitVermogen_40;Rente_41;InkomenUitGrondEnMineraleReserves_42;TotaalUitkeringen_43;TotaalSocialeUitkeringenInGeld_44;UitkeringenWettSocVerzInGeld_45;UitkeringenSocialeVoorzieningInGeld_46;TotaalSocialeUitkeringenInNatura_47;UitkeringenWettSocVerzInNatura_48;UitkeringenSocVoorzieningInNatura_49;TotaalSubsidies_50;ProductgebondenSubsidies_51;NietProductgebondenSubsidies_52;TotaalInkomensoverdrachten_53;InkomensoverdrachtenBinnenDeOverheid_54;InkomensoverdrIvmInternationSamenw_55;TotaalEigenMiddelenVanDeEU_56;BTWAfdrachten_57;BNIAfdrachten_58;OverigeInkomensoverdrachten_59;TotaalKapitaaloverdrachten_60;Investeringsbijdragen_61;OverigeKapitaaloverdrachten_62;TotaalOverigeUitgaven_63;BelastingenOpProductieEnInvoer_64;BelastingenOpInkomenEnVermogen_65;UitkSocVerzRechtstrDoorWerkgevers_66;TotaalOverheidssaldo_67;OverheidssaldoInkomsten_68;OverheidssaldoUitgaven_69;TotaalExploitatiesaldo_70;ExploitatiesaldoOverheidssaldo_71;NettoInvesteringen_72;SaldoAanEnVerkopenVanNiet_73;TotaalAardgasbaten_74;Dividenden_75;InkomenUitGrondEnMineraleReserves_76;Vennootschapsbelasting_77;WerkelijkeRenteInkomsten_78;WerkelijkeRenteUitgaven_79
141;Centrale overheid;2006 4e kwartaal;43433.0;37352.0;17394.0;17069.0;325.0;19252.0;18755.0;497.0;706.0;0.0;1077.0;2929.0;371.0;1019.0;0.0;1539.0;558.0;151.0;21.0;386.0;159.0;123.0;36.0;1358.0;893.0;13.0;452.0;37461.0;4100.0;3008.0;1092.0;3082.0;577.0;577.0;2611.0;-2034.0;0.0;2034.0;-31.0;2535.0;2535.0;0.0;3255.0;2407.0;0.0;2407.0;848.0;0.0;848.0;944.0;268.0;676.0;19205.0;15711.0;986.0;1362.0;374.0;988.0;1146.0;1283.0;999.0;284.0;477.0;25.0;0.0;452.0;5972.0;43433.0;-37461.0;6518.0;5972.0;577.0;-31.0;;;;;363.0;2539.0
142;Centrale overheid;2006;149775.0;126126.0;64828.0;63513.0;1315.0;59488.0;57389.0;2099.0;1810.0;0.0;4139.0;11735.0;1733.0;3857.0;0.0;6145.0;1991.0;568.0;96.0;1327.0;486.0;361.0;125.0;5298.0;3483.0;60.0;1755.0;145165.0;15014.0;10771.0;4243.0;11258.0;1602.0;1602.0;9674.0;-8072.0;0.0;8072.0;-94.0;10495.0;10495.0;0.0;13120.0;9502.0;0.0;9502.0;3618.0;0.0;3618.0;3061.0;899.0;2162.0;77140.0;66638.0;2855.0;4543.0;923.0;3620.0;3104.0;3648.0;2438.0;1210.0;1849.0;94.0;0.0;1755.0;4610.0;149775.0;-145165.0;6118.0;4610.0;1602.0;-94.0;10610.0;2402.0;6028.0;2180.0;1705.0;10510.0
143;Centrale overheid;2007 1e kwartaal;36649.0;30232.0;16543.0;16248.0;295.0;13316.0;12812.0;504.0;373.0;0.0;1104.0;3355.0;467.0;684.0;0.0;2204.0;505.0;184.0;9.0;312.0;144.0;114.0;30.0;1309.0;843.0;14.0;452.0;38404.0;3526.0;2423.0;1103.0;2934.0;284.0;284.0;2397.0;-2113.0;0.0;2113.0;6.0;2629.0;2629.0;0.0;3684.0;2460.0;0.0;2460.0;1224.0;0.0;1224.0;826.0;173.0;653.0;20220.0;17502.0;492.0;1625.0;309.0;1316.0;601.0;1706.0;665.0;1041.0;476.0;24.0;0.0;452.0;-1755.0;36649.0;-38404.0;-1465.0;-1755.0;284.0;6.0;;;;;463.0;2638.0
144;Centrale overheid;2007 2e kwartaal;39362.0;33697.0;16191.0;15866.0;325.0;17049.0;16448.0;601.0;457.0;0.0;1166.0;2468.0;470.0;1221.0;0.0;777.0;528.0;185.0;11.0;332.0;155.0;124.0;31.0;1348.0;862.0;14.0;472.0;39090.0;4311.0;3151.0;1160.0;3012.0;409.0;409.0;2490.0;-2081.0;0.0;2081.0;-50.0;2649.0;2649.0;0.0;3877.0;2624.0;0.0;2624.0;1253.0;0.0;1253.0;550.0;223.0;327.0;20836.0;18765.0;786.0;722.0;120.0;602.0;563.0;920.0;874.0;46.0;495.0;23.0;0.0;472.0;272.0;39362.0;-39090.0;631.0;272.0;409.0;-50.0;;;;;464.0;2655.0
145;Centrale overheid;2007 3e kwartaal;34721.0;29676.0;15365.0;15075.0;290.0;13926.0;13267.0;659.0;385.0;0.0;1045.0;2008.0;528.0;817.0;0.0;663.0;558.0;205.0;12.0;341.0;128.0;117.0;11.0;1306.0;848.0;14.0;444.0;38094.0;3516.0;2430.0;1086.0;2926.0;303.0;303.0;2412.0;-2109.0;0.0;2109.0;13.0;2816.0;2816.0;0.0;3701.0;2523.0;0.0;2523.0;1178.0;0.0;1178.0;941.0;328.0;613.0;20328.0;18130.0;734.0;1002.0;199.0;803.0;462.0;975.0;643.0;332.0;466.0;22.0;0.0;444.0;-3373.0;34721.0;-38094.0;-3057.0;-3373.0;303.0;13.0;;;;;518.0;2821.0
146;Centrale overheid;2007 4e kwartaal;48148.0;40891.0;19640.0;19257.0;383.0;20589.0;19936.0;653.0;662.0;0.0;1169.0;3962.0;596.0;1367.0;0.0;1999.0;598.0;236.0;20.0;342.0;166.0;123.0;43.0;1362.0;878.0;14.0;470.0;40010.0;4256.0;3101.0;1155.0;3345.0;551.0;551.0;2677.0;-2126.0;0.0;2126.0;1.0;2894.0;2894.0;0.0;3685.0;2548.0;0.0;2548.0;1137.0;0.0;1137.0;1636.0;427.0;1209.0;19877.0;17358.0;1038.0;1080.0;347.0;733.0;401.0;1142.0;731.0;411.0;497.0;27.0;0.0;470.0;8138.0;48148.0;-40010.0;8690.0;8138.0;551.0;1.0;;;;;589.0;2904.0
147;Centrale overheid;2007;158880.0;134496.0;67739.0;66446.0;1293.0;64880.0;62463.0;2417.0;1877.0;0.0;4484.0;11793.0;2061.0;4089.0;0.0;5643.0;2189.0;810.0;52.0;1327.0;593.0;478.0;115.0;5325.0;3431.0;56.0;1838.0;155598.0;15609.0;11105.0;4504.0;12217.0;1547.0;1547.0;9976.0;-8429.0;0.0;8429.0;-30.0;10988.0;10988.0;0.0;14947.0;10155.0;0.0;10155.0;4792.0;0.0;4792.0;3953.0;1151.0;2802.0;81261.0;71755.0;3050.0;4429.0;975.0;3454.0;2027.0;4743.0;2913.0;1830.0;1934.0;96.0;0.0;1838.0;3282.0;158880.0;-155598.0;4799.0;3282.0;1547.0;-30.0;9762.0;2371.0;5579.0;1812.0;2034.0;11018.0
148;Centrale overheid;2008 1e kwartaal;39691.0;31263.0;16108.0;15705.0;403.0;14934.0;14193.0;741.0;221.0;0.0;1226.0;4985.0;503.0;800.0;0.0;3682.0;592.0;212.0;14.0;366.0;284.0;214.0;70.0;1341.0;873.0;16.0;452.0;41677.0;3715.0;2502.0;1213.0;3161.0;569.0;569.0;2773.0;-2204.0;0.0;2204.0;-16.0;2815.0;2815.0;0.0;4397.0;2974.0;0.0;2974.0;1423.0;0.0;1423.0;890.0;236.0;654.0;21394.0;18150.0;551.0;1891.0;379.0;1512.0;802.0;2069.0;774.0;1295.0;479.0;27.0;0.0;452.0;-1986.0;39691.0;-41677.0;-1433.0;-1986.0;569.0;-16.0;;;;;504.0;2836.0
149;Centrale overheid;2008 2e kwartaal;42001.0;35092.0;17418.0;17050.0;368.0;17193.0;16549.0;644.0;481.0;0.0;1288.0;3578.0;546.0;1740.0;0.0;1292.0;489.0;253.0;18.0;218.0;190.0;168.0;22.0;1364.0;893.0;16.0;455.0;41802.0;4532.0;3259.0;1273.0;3244.0;651.0;651.0;2821.0;-2170.0;0.0;2170.0;20.0;2796.0;2796.0;0.0;4536.0;3085.0;0.0;3085.0;1451.0;0.0;1451.0;744.0;248.0;496.0;21768.0;19680.0;620.0;918.0;156.0;762.0;550.0;860.0;708.0;152.0;481.0;26.0;0.0;455.0;199.0;42001.0;-41802.0;870.0;199.0;651.0;20.0;;;;;539.0;2808.0
150;Centrale overheid;2008 3e kwartaal;37792.0;31955.0;16483.0;16120.0;363.0;14980.0;14367.0;613.0;492.0;0.0;1168.0;2608.0;565.0;941.0;0.0;1102.0;598.0;224.0;17.0;357.0;134.0;123.0;11.0;1329.0;877.0;15.0;437.0;39224.0;3702.0;2511.0;1191.0;3154.0;340.0;340.0;2540.0;-2200.0;0.0;2200.0;56.0;2834.0;2834.0;0.0;4426.0;3062.0;0.0;3062.0;1364.0;0.0;1364.0;936.0;306.0;630.0;20138.0;18107.0;548.0;804.0;149.0;655.0;679.0;976.0;682.0;294.0;462.0;25.0;0.0;437.0;-1432.0;37792.0;-39224.0;-1036.0;-1432.0;340.0;56.0;;;;;553.0;2844.0
