ID;Geslacht;Leeftijd;Perioden;Deelnemers_1
0;Totaal mannen en vrouwen;0;1993;145420.0
1;Totaal mannen en vrouwen;0;1994;138450.0
2;Totaal mannen en vrouwen;0;1995;125430.0
3;Totaal mannen en vrouwen;0;1996;117650.0
4;Totaal mannen en vrouwen;0;1997;109670.0
5;Totaal mannen en vrouwen;0;1998;115660.0
6;Totaal mannen en vrouwen;0;1999;121240.0
7;Totaal mannen en vrouwen;0;2000;125470.0
8;Totaal mannen en vrouwen;0;2001;122990.0
9;Totaal mannen en vrouwen;0;2002;133330.0
10;Totaal mannen en vrouwen;0;2003;131900.0
11;Totaal mannen en vrouwen;0;2004;139820.0
12;Totaal mannen en vrouwen;0;2005;104210.0
13;Totaal mannen en vrouwen;0;2006;99410.0
14;Totaal mannen en vrouwen;19 jaar of jonger;1993;6700.0
15;Totaal mannen en vrouwen;19 jaar of jonger;1994;7450.0
16;Totaal mannen en vrouwen;19 jaar of jonger;1995;5860.0
17;Totaal mannen en vrouwen;19 jaar of jonger;1996;5530.0
18;Totaal mannen en vrouwen;19 jaar of jonger;1997;4830.0
19;Totaal mannen en vrouwen;19 jaar of jonger;1998;5500.0
20;Totaal mannen en vrouwen;19 jaar of jonger;1999;4880.0
21;Totaal mannen en vrouwen;19 jaar of jonger;2000;4660.0
22;Totaal mannen en vrouwen;19 jaar of jonger;2001;4520.0
23;Totaal mannen en vrouwen;19 jaar of jonger;2002;5370.0
24;Totaal mannen en vrouwen;19 jaar of jonger;2003;5340.0
25;Totaal mannen en vrouwen;19 jaar of jonger;2004;4780.0
26;Totaal mannen en vrouwen;19 jaar of jonger;2005;
27;Totaal mannen en vrouwen;19 jaar of jonger;2006;
28;Totaal mannen en vrouwen;20 tot 25 jaar;1993;17200.0
29;Totaal mannen en vrouwen;20 tot 25 jaar;1994;17560.0
30;Totaal mannen en vrouwen;20 tot 25 jaar;1995;14730.0
31;Totaal mannen en vrouwen;20 tot 25 jaar;1996;14320.0
32;Totaal mannen en vrouwen;20 tot 25 jaar;1997;12720.0
33;Totaal mannen en vrouwen;20 tot 25 jaar;1998;13630.0
34;Totaal mannen en vrouwen;20 tot 25 jaar;1999;13640.0
35;Totaal mannen en vrouwen;20 tot 25 jaar;2000;13950.0
36;Totaal mannen en vrouwen;20 tot 25 jaar;2001;13320.0
37;Totaal mannen en vrouwen;20 tot 25 jaar;2002;14710.0
38;Totaal mannen en vrouwen;20 tot 25 jaar;2003;14480.0
39;Totaal mannen en vrouwen;20 tot 25 jaar;2004;16400.0
40;Totaal mannen en vrouwen;20 tot 25 jaar;2005;
41;Totaal mannen en vrouwen;20 tot 25 jaar;2006;
42;Totaal mannen en vrouwen;25 tot 30 jaar;1993;22100.0
43;Totaal mannen en vrouwen;25 tot 30 jaar;1994;21980.0
44;Totaal mannen en vrouwen;25 tot 30 jaar;1995;19750.0
45;Totaal mannen en vrouwen;25 tot 30 jaar;1996;18810.0
46;Totaal mannen en vrouwen;25 tot 30 jaar;1997;17470.0
47;Totaal mannen en vrouwen;25 tot 30 jaar;1998;18170.0
48;Totaal mannen en vrouwen;25 tot 30 jaar;1999;18520.0
49;Totaal mannen en vrouwen;25 tot 30 jaar;2000;18750.0
50;Totaal mannen en vrouwen;25 tot 30 jaar;2001;17550.0
51;Totaal mannen en vrouwen;25 tot 30 jaar;2002;19230.0
52;Totaal mannen en vrouwen;25 tot 30 jaar;2003;19920.0
53;Totaal mannen en vrouwen;25 tot 30 jaar;2004;22150.0
54;Totaal mannen en vrouwen;25 tot 30 jaar;2005;
55;Totaal mannen en vrouwen;25 tot 30 jaar;2006;
56;Totaal mannen en vrouwen;30 tot 35 jaar;1993;21600.0
57;Totaal mannen en vrouwen;30 tot 35 jaar;1994;21460.0
58;Totaal mannen en vrouwen;30 tot 35 jaar;1995;19540.0
59;Totaal mannen en vrouwen;30 tot 35 jaar;1996;19250.0
60;Totaal mannen en vrouwen;30 tot 35 jaar;1997;18700.0
