ID;SBI93;GrondEnHulpstoffen;Jaren;Inkoopwaarde_1;CodeBedrijfsactiviteit_2
0;Dx Industrie excl. sociale werkplaatsen;Totaal inkopen;1996;65390;Dx    
1;Dx Industrie excl. sociale werkplaatsen;Totaal inkopen;1997;70656;Dx    
2;Dx Industrie excl. sociale werkplaatsen;Totaal inkopen;1998;72204;Dx    
3;Dx Industrie excl. sociale werkplaatsen;Totaal inkopen;1999;74328;Dx    
4;Dx Industrie excl. sociale werkplaatsen;Som niet gespecificeerde inkoop;1996;14227;Dx    
5;Dx Industrie excl. sociale werkplaatsen;Som niet gespecificeerde inkoop;1997;13658;Dx    
6;Dx Industrie excl. sociale werkplaatsen;Som niet gespecificeerde inkoop;1998;12502;Dx    
7;Dx Industrie excl. sociale werkplaatsen;Som niet gespecificeerde inkoop;1999;14598;Dx    
8;Dx Industrie excl. sociale werkplaatsen;Som gespecificeerde inkoop;1996;51163;Dx    
9;Dx Industrie excl. sociale werkplaatsen;Som gespecificeerde inkoop;1997;56998;Dx    
10;Dx Industrie excl. sociale werkplaatsen;Som gespecificeerde inkoop;1998;59702;Dx    
11;Dx Industrie excl. sociale werkplaatsen;Som gespecificeerde inkoop;1999;59730;Dx    
12;Dx Industrie excl. sociale werkplaatsen;01 Producten van de landbouw, jacht....;1996;12207;Dx    
13;Dx Industrie excl. sociale werkplaatsen;01 Producten van de landbouw, jacht....;1997;12371;Dx    
14;Dx Industrie excl. sociale werkplaatsen;01 Producten van de landbouw, jacht....;1998;12591;Dx    
15;Dx Industrie excl. sociale werkplaatsen;01 Producten van de landbouw, jacht....;1999;11153;Dx    
16;Dx Industrie excl. sociale werkplaatsen;01.1 Akkerbouwgewassen, groenten en....;1996;4893;Dx    
17;Dx Industrie excl. sociale werkplaatsen;01.1 Akkerbouwgewassen, groenten en....;1997;5165;Dx    
18;Dx Industrie excl. sociale werkplaatsen;01.1 Akkerbouwgewassen, groenten en....;1998;5592;Dx    
19;Dx Industrie excl. sociale werkplaatsen;01.1 Akkerbouwgewassen, groenten en....;1999;4716;Dx    
20;Dx Industrie excl. sociale werkplaatsen;01.11 Granen en andere gewassen,....;1996;3783;Dx    
21;Dx Industrie excl. sociale werkplaatsen;01.11 Granen en andere gewassen,....;1997;3917;Dx    
22;Dx Industrie excl. sociale werkplaatsen;01.11 Granen en andere gewassen,....;1998;4018;Dx    
23;Dx Industrie excl. sociale werkplaatsen;01.11 Granen en andere gewassen,....;1999;3455;Dx    
24;Dx Industrie excl. sociale werkplaatsen;01.11.11 Tarwe, harde;1996;237;Dx    
25;Dx Industrie excl. sociale werkplaatsen;01.11.11 Tarwe, harde;1997;233;Dx    
26;Dx Industrie excl. sociale werkplaatsen;01.11.11 Tarwe, harde;1998;231;Dx    
27;Dx Industrie excl. sociale werkplaatsen;01.11.11 Tarwe, harde;1999;219;Dx    
28;Dx Industrie excl. sociale werkplaatsen;01.11.12 Tarwe, zachte en mengkoren;1996;253;Dx    
