ID;Hoofdfuncties;Perioden;TotaalAankopen_1;TotaalAankoopVanGoederenEnDiensten_2;AankoopVanDuurzameMilitaireGoederen_3;GrondWegEnWaterbouwkundigeWerken_4;OverigeGoederenEnDienstenBijDerden_5;OverigeGoederenBijAndereOverheden_6;TotaalInvesteringen_7;TotaalNieuweInvesteringen_8;GrondWegEnWaterbouwkundigeWerken_9;NieuwbouwVanGebouwen_10;AankoopVervoermiddelen_11;AankoopMachinesEnInstallaties_12;AankoopComputerprogrammaS_13;OverigeNieuweInvesteringsgoederen_14;TotaalOverigeInvesteringen_15;AankoopGebruikteInvesteringsgoederen_16;AankoopVanKostbaarheden_17;AankoopGrond_18;TotaalRenteEnPacht_19;Rente_20;Pacht_21;TotaalOverdrachten_22;TotaalSubsidiesEnInkomensoverdrachten_23;TotaalInkomensoverdrachtenBedrijven_24;Subsidies_25;OverigeInkomensoverdrachten_26;TotaalInkomensoverdrachtenAanGezinnen_27;UitkeringenSocialeVoorzieningInGeld_28;SocialeOverdrachtenInNatura_29;OverigeInkomensoverdrachten_30;InstellingenZonderWinstoogmerkgezinnen_31;TotaalOverdrachtenCentraleOverheid_32;WetenschappelijkOnderwijs_33;PubliekrechtelijkeBedrijfsorganisaties_34;InstellingZonderWinstCentraleoverheid_35;TotaalInkomensoverdrachtLagereoverheid_36;Provincies_37;Waterschappen_38;GemeenschappelijkeRegelingen_39;Gemeenten_40;BijzonderOnderwijs_41;InstellingZonderWinstLagereOverheid_42;SocialeVerzekeringsinstellingen_43;InkomensoverdrachtenAanHetBuitenland_44;TotaalKapitaaloverdrachten_45;KapitaaloverdrachtenAanBedrijven_46;KapitaaloverdrachtenAanGezinnen_47;InstellingenZonderWinstVanGezinnen_48;TotaalOverdrachtenCentraleOverheid_49;WetenschappelijkOnderwijs_50;PubliekrechtelijkeBedrijfsorganisaties_51;InstellingZonderWinstCentraleoverheid_52;TotaalKapitaaloverdrachtLagereoverheid_53;Provincies_54;Waterschappen_55;GemeenschappelijkeRegelingen_56;Gemeenten_57;BijzonderOnderwijs_58;InstellingenZonderWinstLagereoverheid_59;SocialeVerzekeringsinstellingen_60;KapitaaloverdrachtenAanHetBuitenland_61;TotaalVerkopen_62;TotaalVerkoopVanGoederenEnDiensten_63;VerkoopDuurzameMilitaireGoederen_64;VerkoopGoederenEnDienstenAanDerden_65;VerkoopGoederenAanAndereOverheden_66;VerkoopVanInvesteringsgoederen_67;VerkoopVanGrond_68;TotaalRentePachtVermogensresultaten_69;Rente_70;Winstuitkeringen_71;Pacht_72;Concessies_73;TotaalOverdrachten_74;TotaalInkomensoverdrachten_75;InkomensoverdrachtenVanNietOverheden_76;InkomensoverdrachtenVanOverheden_77;TotaalKapitaaloverdrachten_78;KapitaaloverdrachtenVanNietOverheden_79;KapitaaloverdrachtenVanOverheden_80
0;Totaal van alle hoofdfuncties;1997;8632;5975;669;761;4355;190;2611;2564;990;577;266;540;172;20;47;45;2;46;13934;13917;17;60422;54433;2819;2780;38;7075;4783;2102;190;173;3907;2071;0;1836;33734;1306;20;1680;18168;8153;4407;3653;3073;5989;127;23;57;1013;165;0;848;3340;284;38;46;2695;231;47;953;477;2219;1890;129;1294;467;310;18;5230;455;2288;74;2412;1060;935;549;386;126;126;0
1;Totaal van alle hoofdfuncties;1998;9130;6302;520;580;4995;207;2654;2588;975;646;232;433;215;87;66;64;2;174;14076;14060;15;61461;57014;2859;2755;104;8139;5811;2313;16;186;4059;2132;1;1927;35244;1387;7;1829;18186;8835;5000;3146;3381;4447;1083;17;60;1115;168;0;947;1740;260;25;59;1137;231;28;0;432;3100;1812;271;1275;267;237;1050;4399;609;2214;70;1507;1270;1150;884;266;120;118;2
2;Totaal van alle hoofdfuncties;1999;9994;7194;1057;583;5307;248;2607;2566;980;305;148;601;155;378;41;41;0;192;13517;13506;12;64647;59965;3040;2915;125;8148;5603;2382;163;208;4361;2250;7;2103;37469;1512;13;1800;18873;9420;5852;3189;3549;4682;455;14;69;1578;170;0;1408;2103;335;38;70;1392;236;32;0;463;2414;1775;34;1370;371;329;311;3690;613;1913;66;1098;1071;925;675;249;146;101;45
3;Totaal van alle hoofdfuncties;2000;10455;7488;741;576;5895;276;2666;2581;935;307;111;607;147;475;85;85;0;301;12608;12594;14;70204;64225;2843;2721;122;8104;5688;2395;21;1245;4738;2402;0;2336;40098;1657;16;2034;20261;10096;6033;3117;4081;5980;824;13;116;1892;174;0;1719;2712;391;49;314;1570;257;130;0;422;5278;2127;-2;1727;402;291;2860;4571;679;2101;50;1741;1254;1065;798;267;188;109;79
4;Totaal van alle hoofdfuncties;2001;12834;9044;937;747;7089;270;3547;3475;1704;359;125;621;204;462;73;73;0;242;12092;12074;18;78225;71522;3374;3220;155;7813;5702;2036;74;1277;5051;2494;0;2557;44380;1845;16;2355;23268;10943;5954;4873;4754;6703;1596;390;141;1624;116;0;1509;2303;427;24;458;1182;194;19;40;609;2629;2342;3;1967;372;220;68;7370;976;3578;48;2768;1717;1411;913;498;307;255;52
5;Totaal van alle hoofdfuncties;2002;13655;9299;855;827;7522;96;4112;4013;2053;391;104;594;312;560;99;99;0;244;11271;11254;16;84561;78671;3542;3303;239;7952;5486;2441;25;1218;5158;2494;0;2664;47424;2023;-18;2599;25280;11839;5700;8388;4988;5891;428;732;174;1937;207;0;1731;2159;382;100;208;1142;280;48;0;459;2753;2587;-1;2000;588;141;25;6275;936;2863;51;2425;1558;1418;918;500;141;134;7
6;Totaal van alle hoofdfuncties;2003;14141;9315;848;819;7556;92;4622;4515;2630;391;95;516;137;745;107;107;0;205;10750;10734;16;91912;85356;3274;3112;161;8565;6064;2391;110;1194;5274;2537;0;2738;50511;2191;0;2729;27295;12303;5994;11684;4853;6556;509;523;110;1818;124;0;1693;3067;471;96;233;1831;407;29;0;530;3462;2951;5;2197;749;134;377;6095;988;2175;54;2878;1661;1472;1025;446;189;186;4
7;Totaal van alle hoofdfuncties;2004;12726;8692;858;759;6955;119;3877;3790;2149;225;145;530;154;587;87;87;0;158;10655;10640;15;92749;86078;2894;2765;129;8865;6251;2469;145;1223;5451;2631;0;2820;49289;2106;0;2648;25329;13309;5897;12653;5704;6671;373;629;103;1860;129;0;1731;3150;631;80;280;1723;416;22;0;555;3448;3042;4;2344;695;201;204;7007;1088;2780;51;3088;1906;1576;1090;486;330;221;110
8;Totaal van alle hoofdfuncties;2005;12212;8890;632;793;7363;103;3108;3013;1330;225;176;613;196;473;94;94;0;215;10429;10410;19;93545;87663;1736;1684;52;9788;6738;3001;50;1225;5639;2736;0;2902;49373;2443;0;2953;24021;14160;5795;13517;6384;5882;-262;787;109;1883;134;0;1749;2511;550;130;204;1173;418;36;0;854;2870;2359;124;2102;134;194;317;8813;1038;4181;43;3551;1735;1569;1123;446;166;111;55
9;Algemeen bestuur;1997;1234;954;0;1;951;2;280;276;0;114;4;139;19;0;3;3;0;0;197;197;0;3862;3515;27;27;0;35;35;0;0;60;512;1;0;511;62;0;0;0;0;63;0;0;2818;348;99;0;0;12;0;0;12;0;0;0;0;0;0;0;0;237;821;637;0;373;264;185;0;450;272;98;64;17;182;174;171;3;8;8;0
