ID;CaribbeanNetherlands;Periods;InboundTourismByAir_1
0;Bonaire;2012 January;10.7
1;Bonaire;2012 February;9.9
2;Bonaire;2012 March;11.0
3;Bonaire;2012 April;11.3
4;Bonaire;2012 May;9.1
5;Bonaire;2012 June;9.8
6;Bonaire;2012 July;12.5
7;Bonaire;2012 August;11.5
8;Bonaire;2012 September;8.5
9;Bonaire;2012 October;11.4
10;Bonaire;2012 November;10.6
11;Bonaire;2012 December;11.2
12;Bonaire;2012;127.6
13;Bonaire;2013 January;10.4
14;Bonaire;2013 February;11.3
15;Bonaire;2013 March;12.7
16;Bonaire;2013 April;12.2
17;Bonaire;2013 May;10.0
18;Bonaire;2013 June;10.7
19;Bonaire;2013 July;12.0
20;Bonaire;2013 August;10.5
21;Bonaire;2013 September;8.7
22;Bonaire;2013 October;10.8
23;Bonaire;2013 November;10.2
24;Bonaire;2013 December;11.5
25;Bonaire;2013;131.0
26;Bonaire;2014 January;11.6
27;Bonaire;2014 February;10.8
28;Bonaire;2014 March;11.8
29;Bonaire;2014 April;11.2
30;Bonaire;2014 May;10.8
31;Bonaire;2014 June;9.0
32;Bonaire;2014 July;10.8
33;Bonaire;2014 August;10.7
34;Bonaire;2014 September;9.2
35;Bonaire;2014 October;10.6
36;Bonaire;2014 November;10.2
37;Bonaire;2014 December;12.1
38;Bonaire;2014;128.9
39;Bonaire;2015 January;11.7
40;Bonaire;2015 February;11.4
41;Bonaire;2015 March;11.9
42;Bonaire;2015 April;12.1
43;Bonaire;2015 May;10.4
44;Bonaire;2015 June;9.1
45;Bonaire;2015 July;11.3
46;Bonaire;2015 August;9.9
47;Bonaire;2015 September;10.5
48;Bonaire;2015 October;12.0
49;Bonaire;2015 November;11.3
50;Bonaire;2015 December;11.8
51;Bonaire;2015;133.4
52;Bonaire;2016 January;12.2
53;Bonaire;2016 February;11.5
54;Bonaire;2016 March;12.5
55;Bonaire;2016 April;12.6
56;Bonaire;2016 May;10.4
57;Bonaire;2016 June;9.9
58;Bonaire;2016 July;12.4
59;Bonaire;2016 August;10.2
60;Bonaire;2016 September;9.1
61;Bonaire;2016 October;11.9
62;Bonaire;2016 November;11.1
63;Bonaire;2016 December;12.0
64;Bonaire;2016;135.8
65;Bonaire;2017 January;12.4
66;Bonaire;2017 February;11.1
67;Bonaire;2017 March;11.4
68;Bonaire;2017 April;11.7
69;Bonaire;2017 May;9.6
70;Bonaire;2017 June;8.7
71;Bonaire;2017 July;10.7
72;Bonaire;2017 August;8.3
73;Bonaire;2017 September;8.8
74;Bonaire;2017 October;11.0
75;Bonaire;2017 November;11.2
76;Bonaire;2017 December;13.5
77;Bonaire;2017;128.5
78;Bonaire;2018 January;13.2
79;Bonaire;2018 February;12.1
80;Bonaire;2018 March;13.8
81;Bonaire;2018 April;13.9
82;Bonaire;2018 May;11.2
83;Bonaire;2018 June;11.3
84;Bonaire;2018 July;12.1
85;Bonaire;2018 August;10.9
86;Bonaire;2018 September;10.2
87;Bonaire;2018 October;11.9
88;Bonaire;2018 November;12.1
89;Bonaire;2018 December;15.1
90;Bonaire;2018;147.8
91;Bonaire;2019 January;14.8
92;Bonaire;2019 February;13.7
93;Bonaire;2019 March;16.0
94;Bonaire;2019 April;14.1
95;Bonaire;2019 May;12.1
96;Bonaire;2019 June;12.5
97;Bonaire;2019 July;13.1
98;Bonaire;2019 August;11.9
99;Bonaire;2019 September;10.0
100;Bonaire;2019 October;12.2
101;Bonaire;2019 November;13.4
102;Bonaire;2019 December;14.0
103;Bonaire;2019;157.8
104;Bonaire;2020 January;15.0
105;Bonaire;2020 February;15.5
106;Bonaire;2020 March;7.3
