ID;SoortVerhuur;Perioden;HuurverhogingInclusiefHuurharmonisatie_1;HuurverhogingExclusiefHuurharmonisatie_2;Huurharmonisatie_3
0;Totaal verhuur;2009;2.8;2.4;0.4
1;Totaal verhuur;2010;1.6;1.2;0.4
2;Verhuur door commerciële bedrijven;2009;2.8;2.3;0.5
3;Verhuur door commerciële bedrijven;2010;1.7;1.4;0.3
4;Verhuur door niet-commerciële bedrijven;2009;2.8;2.4;0.4
5;Verhuur door niet-commerciële bedrijven;2010;1.6;1.2;0.4
