ID;BedrijfstakkenBranchesSBI2008;HergebruikEnEindverwerking;Perioden;TotaalBedrijfsafvalstoffen_1;TotaalNietChemischAfval_2;Metaalafval_3;Glasafval_4;PapierKartonafval_5;KunststofRubberafval_6;Houtafval_7;TextielLederafval_8;DierlijkPlantaardigAfval_9;GemengdAfval_10;Slib_11;MineralenSteenachtigAfval_12;OverigNietChemischAfval_13;ChemischAfval_14;TotaalBedrijfsafvalstoffen_15;TotaalHergebruik_16;InzetAlsBrandstof_17;OverigHergebruik_18;TotaalEindverwerking_19;Verbranden_20;Storten_21;ScheidenAchteraf_22;k_1OfMeerWerknemers_23;k_1Tot10Werknemers_24;k_10Tot20Werknemers_25;k_20Tot50Werknemers_26;k_50Tot100Werknemers_27;k_100Tot200Werknemers_28;k_200Tot500Werknemers_29;k_500OfMeerWerknemers_30
0;Nijverheid (geen bouw), recycling;Totaal bedrijfsafvalstoffen;2008;18771;17384;835;46;857;192;518;40;6457;967;768;6695;10;1387;18771;16807.0;963.0;15844.0;1964.0;768.0;941.0;255.0;18771;516.0;367.0;1066.0;765.0;1407.0;6813.0;7835.0
1;Nijverheid (geen bouw), recycling;Totaal bedrijfsafvalstoffen;2009;16678;15462;678;40;783;166;435;35;6469;873;783;5190;9;1216;16678;14948.0;901.0;14047.0;1730.0;751.0;795.0;184.0;16678;;;;;;;
2;Nijverheid (geen bouw), recycling;Hergebruik;2008;16807;15837;800;32;843;172;501;37;6331;364;610;6138;9;970;16807;16807.0;963.0;15844.0;;;;;16807;361.0;231.0;825.0;621.0;1178.0;6282.0;7309.0
3;Nijverheid (geen bouw), recycling;Hergebruik;2009;14948;14107;650;29;771;151;421;32;6348;339;618;4741;8;841;14948;14948.0;901.0;14047.0;;;;;14948;;;;;;;
4;Nijverheid (geen bouw), recycling;Eindverwerking;2008;1964;1547;35;14;14;19;17;3;127;602;158;557;1;417;1964;;;;1964.0;768.0;941.0;255.0;1964;155.0;137.0;241.0;144.0;229.0;531.0;526.0
5;Nijverheid (geen bouw), recycling;Eindverwerking;2009;1730;1354;28;11;12;16;14;3;122;534;165;449;1;375;1730;;;;1730.0;751.0;795.0;184.0;1730;;;;;;;
6;B Winning van delfstoffen;Totaal bedrijfsafvalstoffen;2008;335;236;2;0;1;0;1;0;1;7;1;222;0;100;335;154.0;0.0;154.0;181.0;6.0;102.0;73.0;335;1.0;1.0;1.0;49.0;18.0;3.0;263.0
7;B Winning van delfstoffen;Totaal bedrijfsafvalstoffen;2009;217;150;2;0;1;0;1;0;1;6;0;138;0;68;217;102.0;2.0;100.0;116.0;4.0;80.0;31.0;217;;;;;;;
8;B Winning van delfstoffen;Hergebruik;2008;154;154;2;0;1;0;1;0;1;1;1;147;0;0;154;154.0;0.0;154.0;;;;;154;1.0;0.0;1.0;49.0;1.0;0.0;103.0
9;B Winning van delfstoffen;Hergebruik;2009;102;102;2;0;1;0;1;0;1;2;0;94;0;0;102;102.0;2.0;100.0;;;;;102;;;;;;;
10;B Winning van delfstoffen;Eindverwerking;2008;181;81;0;0;0;0;0;0;0;7;0;74;0;100;181;;;;181.0;6.0;102.0;73.0;181;0.0;0.0;0.0;1.0;17.0;3.0;160.0
11;B Winning van delfstoffen;Eindverwerking;2009;116;48;0;0;0;0;0;0;0;4;0;43;0;68;116;;;;116.0;4.0;80.0;31.0;116;;;;;;;
12;C Industrie;Totaal bedrijfsafvalstoffen;2008;16072;14827;729;34;839;172;477;40;6444;820;679;4589;6;1245;16072;14740.0;937.0;13804.0;1332.0;712.0;472.0;147.0;16072;408.0;265.0;868.0;681.0;1362.0;5859.0;6628.0
13;C Industrie;Totaal bedrijfsafvalstoffen;2009;14340;13226;591;30;768;150;403;35;6458;753;701;3332;5;1113;14340;13076.0;878.0;12197.0;1264.0;705.0;435.0;125.0;14340;;;;;;;
14;C Industrie;Hergebruik;2008;14740;13774;720;32;825;154;460;37;6320;311;548;4362;5;966;14740;14740.0;937.0;13804.0;;;;;14740;311.0;202.0;726.0;554.0;1153.0;5517.0;6278.0
15;C Industrie;Hergebruik;2009;13076;12242;584;29;756;136;388;32;6338;296;551;3128;5;833;13076;13076.0;878.0;12197.0;;;;;13076;;;;;;;
16;C Industrie;Eindverwerking;2008;1332;1053;9;2;14;18;17;3;124;508;131;227;1;279;1332;;;;1332.0;712.0;472.0;147.0;1332;98.0;63.0;142.0;127.0;209.0;342.0;351.0
17;C Industrie;Eindverwerking;2009;1264;984;8;2;12;14;14;3;120;458;150;204;0;280;1264;;;;1264.0;705.0;435.0;125.0;1264;;;;;;;
18;10-12 Voedings-, genotmiddelenindustrie;Totaal bedrijfsafvalstoffen;2008;8144;8046;26;20;117;21;16;0;6336;233;593;681;2;98;8144;7738.0;455.0;7283.0;406.0;261.0;124.0;20.0;8144;70.0;54.0;315.0;247.0;592.0;3808.0;3059.0
19;10-12 Voedings-, genotmiddelenindustrie;Totaal bedrijfsafvalstoffen;2009;8157;8113;25;19;115;21;16;0;6353;225;623;716;2;43;8157;7737.0;468.0;7268.0;420.0;278.0;122.0;20.0;8157;;;;;;;
20;10-12 Voedings-, genotmiddelenindustrie;Hergebruik;2008;7738;7640;26;20;117;21;16;0;6262;96;481;598;2;98;7738;7738.0;455.0;7283.0;;;;;7738;47.0;38.0;279.0;212.0;560.0;3734.0;2869.0
21;10-12 Voedings-, genotmiddelenindustrie;Hergebruik;2009;7737;7694;25;19;115;20;16;0;6281;91;491;635;2;42;7737;7737.0;468.0;7268.0;;;;;7737;;;;;;;
22;10-12 Voedings-, genotmiddelenindustrie;Eindverwerking;2008;406;406;0;0;0;0;0;0;73;137;112;83;0;0;406;;;;406.0;261.0;124.0;20.0;406;23.0;15.0;37.0;35.0;32.0;74.0;190.0
23;10-12 Voedings-, genotmiddelenindustrie;Eindverwerking;2009;420;420;0;0;0;0;0;0;72;134;132;81;0;0;420;;;;420.0;278.0;122.0;20.0;420;;;;;;;
24;101 Slachterijen en vleeswarenindustrie;Totaal bedrijfsafvalstoffen;2008;892;892;1;0;4;2;0;0;664;18;204;0;0;0;892;805.0;340.0;465.0;88.0;70.0;15.0;4.0;892;29.0;21.0;232.0;95.0;200.0;126.0;191.0
25;101 Slachterijen en vleeswarenindustrie;Totaal bedrijfsafvalstoffen;2009;915;915;1;0;4;2;0;0;666;18;224;0;0;0;915;807.0;341.0;466.0;108.0;90.0;15.0;4.0;915;;;;;;;
26;101 Slachterijen en vleeswarenindustrie;Hergebruik;2008;805;805;1;0;4;2;0;0;645;0;153;0;0;0;805;805.0;340.0;465.0;;;;;805;23.0;17.0;212.0;85.0;190.0;112.0;167.0
27;101 Slachterijen en vleeswarenindustrie;Hergebruik;2009;807;807;1;0;4;2;0;0;647;0;153;0;0;0;807;807.0;341.0;466.0;;;;;807;;;;;;;
28;101 Slachterijen en vleeswarenindustrie;Eindverwerking;2008;88;88;0;0;0;0;0;0;19;18;51;0;0;0;88;;;;88.0;70.0;15.0;4.0;88;5.0;4.0;21.0;11.0;10.0;14.0;24.0
29;101 Slachterijen en vleeswarenindustrie;Eindverwerking;2009;108;108;0;0;0;0;0;0;19;18;71;0;0;0;108;;;;108.0;90.0;15.0;4.0;108;;;;;;;
30;102 Visverwerkende industrie;Totaal bedrijfsafvalstoffen;2008;26;26;0;0;3;0;0;0;18;3;2;0;0;0;26;22.0;4.0;18.0;4.0;3.0;0.0;0.0;26;4.0;4.0;2.0;11.0;2.0;2.0;
31;102 Visverwerkende industrie;Totaal bedrijfsafvalstoffen;2009;29;29;0;0;3;0;0;0;20;3;2;0;0;0;29;25.0;5.0;20.0;4.0;3.0;0.0;0.0;29;;;;;;;
32;102 Visverwerkende industrie;Hergebruik;2008;22;22;0;0;3;0;0;0;18;0;2;0;0;0;22;22.0;4.0;18.0;;;;;22;4.0;3.0;2.0;10.0;2.0;2.0;
33;102 Visverwerkende industrie;Hergebruik;2009;25;25;0;0;3;0;0;0;20;0;2;0;0;0;25;25.0;5.0;20.0;;;;;25;;;;;;;
34;102 Visverwerkende industrie;Eindverwerking;2008;4;4;0;0;0;0;0;0;0;3;0;0;0;0;4;;;;4.0;3.0;0.0;0.0;4;0.0;0.0;1.0;1.0;1.0;1.0;
35;102 Visverwerkende industrie;Eindverwerking;2009;4;4;0;0;0;0;0;0;0;3;0;0;0;0;4;;;;4.0;3.0;0.0;0.0;4;;;;;;;
36;103+104 Groente, fruitverwerking, vetten;Totaal bedrijfsafvalstoffen;2008;3971;3971;2;0;15;3;2;0;3625;23;169;129;2;0;3971;3919.0;34.0;3885.0;52.0;38.0;5.0;9.0;3971;6.0;7.0;57.0;45.0;24.0;3494.0;340.0
37;103+104 Groente, fruitverwerking, vetten;Totaal bedrijfsafvalstoffen;2009;3883;3883;2;0;15;3;2;0;3542;23;167;127;2;0;3883;3832.0;33.0;3799.0;52.0;38.0;5.0;9.0;3883;;;;;;;
38;103+104 Groente, fruitverwerking, vetten;Hergebruik;2008;3919;3919;2;0;15;3;2;0;3617;0;151;126;2;0;3919;3919.0;34.0;3885.0;;;;;3919;5.0;6.0;55.0;40.0;22.0;3470.0;321.0
39;103+104 Groente, fruitverwerking, vetten;Hergebruik;2009;3832;3831;2;0;15;3;2;0;3534;0;149;125;2;0;3832;3832.0;33.0;3799.0;;;;;3832;;;;;;;
40;103+104 Groente, fruitverwerking, vetten;Eindverwerking;2008;52;52;0;0;0;0;0;0;9;23;18;3;0;0;52;;;;52.0;38.0;5.0;9.0;52;1.0;1.0;2.0;4.0;1.0;23.0;19.0
41;103+104 Groente, fruitverwerking, vetten;Eindverwerking;2009;52;52;0;0;0;0;0;0;9;22;18;3;0;0;52;;;;52.0;38.0;5.0;9.0;52;;;;;;;
