ID;SBI93GK;Perioden;Bedrijven_1;WerkzamePersonen_2;TotaalBaten_3;TotaalInnameAfvalEnReststoffen_4;VettenEnOlien_5;FotografischAfval_6;Glasafval_7;Kabelafval_8;Kunststofafval_9;Rubberafval_10;Metaalschroot_11;PuinBouwEnSloopafval_12;VliegEnBodemas_13;OverigeReststoffen_14;TotaalTeruggewonnenStoffen_15;VettenEnOlien_16;GemalenGlas_17;KunststofGranulaatMix_18;RubberGranulaatMix_19;Puingranulaat_20;MetaalFerro_21;MetaalNonFerro_22;MetaalEdel_23;OverigeSecundaireStoffen_24;Eindproducten_25;HandelsEnNevenactiviteiten_26;VoorraadmutatiesGereedProduct_27;OverigeBedrijfsopbrengsten_28;VrijvalUitVoorzieningen_29;OntvangenRente_30;BuitengewoneBaten_31;TotaalLasten_32;TotaalIngenomenAfvalEnReststoffen_33;VettenEnOlien_34;FotografischAfval_35;Glasafval_36;Kabelafval_37;Kunststofafval_38;Metaalschroot_39;PuinBouwEnSloop_40;Rubberafval_41;VliegEnBodemas_42;OverigeInkopenReststoffen_43;GrondEnHulpstoffen_44;InkoopwaardeHandelsactiviteiten_45;VoorraadmutatiesInkopen_46;TotaalUitbestedeWerkzaamheden_47;StortEnVerbrandingskosten_48;TransportEnOverslagDoorDerden_49;HuurMachMetBedienendPersoneel_50;OverigeUitbesteding_51;TotaalArbeidskosten_52;BrutoLonenEnSalarissen_53;SocialePremiesWerkgever_54;PensioenlastenVUT_55;OvUitgavenSocialeVoorzieningen_56;KostenUitzendkrachten_57;KostenOverigIngeleendPersoneel_58;AFOntvangstenUitgelPersoneel_59;Autokosten_60;Energieverbruik_61;Afschrijvingen_62;OverigeBedrijfskosten_63;ToevoegingenAanVoorzieningen_64;BetaaldeRente_65;BuitengewoneLasten_66;ResultaatVoorBelastingen_67;TotaleInvesteringen_68;GrondEnTerreinen_69;Bedrijfsruimten_70;GWWWerken_71;VervoermiddelenExternTransport_72;MiddelenVoorInternTransport_73;Computers_74;OverigeMachinesApparatenEnInstall_75;OverigeMaterieleVasteActiva_76;ImmaterieleActiva_77
0;37 Voorbereiding tot recycling (Totaal);1997;134;2628;517;139;0.0;9.0;5;2.0;6;2.0;2;74;4;35;344;0.0;27;74.0;17;45;101;36;25;7;12;29;-2;3;2;1;1;488;178;0.0;15.0;17;8.0;34;88;4;5;0.0;6;5;12;0;81;34;29;16;2;78;58;4;2;1;7;7;-1;15;13;31;61;1;10;1;29;45;4;5;0;5;2.0;;26;3;0
1;37 Voorbereiding tot recycling (Totaal);1998;151;2682;527;152;0.0;9.0;5;2.0;8;2.0;9;65;6;46;332;0.0;26;70.0;22;43;82;40;18;20;10;32;0;5;1;1;3;518;175;0.0;15.0;16;9.0;33;85;3;6;0.0;9;8;14;0;90;34;36;11;8;84;58;8;3;1;6;9;1;13;14;33;69;3;11;5;10;55;10;6;0;3;2.0;;29;3;1
2;37 Voorbereiding tot recycling (Totaal);1999;148;2994;662;162;9.0;8.0;3;1.0;9;3.0;2;66;6;56;445;104.0;24;71.0;20;57;71;48;18;15;15;46;-3;4;1;2;4;649;218;78.0;14.0;10;10.0;28;66;3;6;0.0;2;8;18;2;126;41;53;21;11;98;67;10;3;1;10;9;1;15;15;39;79;10;13;9;13;58;5;7;1;7;2.0;;34;3;0
3;37 Voorbereiding tot recycling (Totaal);2000;161;2779;768;153;8.0;8.0;5;1.0;4;3.0;2;76;1;45;546;124.0;23;85.0;24;53;107;73;21;20;16;50;6;5;1;2;5;735;294;95.0;17.0;8;12.0;41;103;6;8;0.0;5;13;24;6;109;47;47;8;6;99;66;10;4;4;9;8;1;19;17;40;84;2;15;14;32;58;16;3;1;7;2.0;;19;6;4
4;37 Voorbereiding tot recycling (Totaal);2001;146;2822;846;193;4.0;8.0;3;0.0;16;3.0;2;92;14;51;572;148.0;24;79.0;25;56;144;51;20;21;6;62;0;6;1;2;9;805;335;116.0;12.0;8;25.0;35;114;6;10;0.0;8;14;25;-1;134;51;48;11;25;108;74;10;5;2;11;6;1;17;15;42;92;1;15;8;41;54;3;5;1;9;;1.0;24;4;6
5;371 Voorbereiding tot metaalrecycling;1997;21;447;149;13;0.0;0.0;0;2.0;0;0.0;1;0;0;10;133;0.0;0;0.0;0;0;94;36;0;2;0;3;0;0;0;0;0;143;87;0.0;0.0;0;8.0;0;78;0;0;0.0;0;0;1;0;16;13;3;0;0;14;11;1;0;0;1;0;0;1;4;5;12;0;2;0;6;2;0;0;0;0;0.0;;1;0;0
6;371 Voorbereiding tot metaalrecycling;1998;29;472;147;23;0.0;0.0;0;2.0;0;0.0;8;0;0;13;119;0.0;0;0.0;0;0;80;38;0;0;0;4;0;0;0;0;1;151;89;0.0;0.0;0;9.0;0;80;0;0;0.0;0;0;3;-1;19;11;4;0;3;15;12;1;0;0;0;1;0;2;4;6;11;0;2;0;-3;4;0;1;0;0;1.0;;2;0;0
7;371 Voorbereiding tot metaalrecycling;1999;26;453;135;11;0.0;0.0;0;1.0;0;0.0;1;0;0;8;118;0.0;0;0.0;0;0;70;46;0;1;0;6;0;0;0;0;0;134;71;0.0;0.0;0;10.0;0;61;0;0;0.0;0;0;5;-1;16;10;3;0;3;14;10;1;1;0;1;1;0;1;4;5;13;2;2;1;1;9;3;3;0;0;1.0;;2;0;0
8;371 Voorbereiding tot metaalrecycling;2000;30;479;194;10;0.0;0.0;0;1.0;0;0.0;2;0;0;7;176;0.0;0;0.0;0;0;105;67;2;2;0;5;0;2;0;1;1;184;112;0.0;0.0;0;12.0;0;99;0;0;0.0;0;0;3;6;17;11;6;0;0;15;11;1;1;0;1;1;0;1;4;6;16;0;3;0;10;5;0;0;0;0;1.0;;3;0;0
9;371 Voorbereiding tot metaalrecycling;2001;27;496;209;12;0.0;0.0;0;0.0;0;0.0;1;0;0;10;192;0.0;0;0.0;0;0;140;46;4;1;0;2;0;1;1;1;0;203;136;0.0;0.0;0;25.0;0;110;0;0;0.0;2;1;0;0;16;10;3;0;2;20;13;2;1;0;2;1;0;2;4;6;14;0;3;0;6;10;0;1;0;1;;0.0;4;0;2
