ID;Perioden;TotaalRijksbelastingen_1;TotaalBelastingOpInkomenEnVermogen_2;Inkomstenbelasting_3;Loonbelasting_4;Dividendbelasting_5;KansspelbelastingLoterijwinsten_6;Vermogensbelasting_7;Vennootschapsbelasting_8;MotorrijtuigenbelastingPrive_9;OverigeBelastingontvangsten_10;TotaalBelastingOpProductieEnInvoer_11;MotorrijtuigenbelastingZakelijk_12;KansspelbelastingOpbrengstCasinoS_13;Omzetbelasting_14;PersonenautoSEnMotorrijwielen_15;ZwareMotorrijtuigen_16;AccijnsVanLichteOlie_17;AccijnsVanMineraleOlien_18;Wijnaccijns_19;AccijnsOpTussenproducten_20;Alcoholaccijns_21;Bieraccijns_22;VerbruiksbelastingAlcoholvrijeDranken_23;Tabaksaccijns_24;BelastingenVanRechtsverkeer_25;BelastingenOpMilieugrondslag_26;Bestemmingsheffingen_27;Loonkostenheffingen_28;Successierechten_29
0;1999 1e kwartaal;19032;9089;-92;5233;295;14;311;2916;394;19;9668;94;15;5510;777;32;650;413;30;8;92;62;41;473;810;579;21;62;275
1;1999 2e kwartaal;21528;10347;-1595;6765;955;15;177;3612;427;-9;10849;102;16;6410;841;14;899;582;34;10;95;75;59;232;863;515;21;81;333
2;1999 3e kwartaal;21029;10411;-1;5139;1035;13;137;3696;389;3;10293;93;14;6012;649;13;775;489;35;8;114;80;65;379;858;615;39;58;325
3;1999 4e kwartaal;25497;13187;504;5883;738;22;155;5428;438;19;11953;105;23;7410;573;31;805;558;40;7;96;80;52;462;1003;585;37;87;357
4;1999;87085;43034;-1184;23020;3023;64;780;15652;1648;32;42763;394;68;25342;2840;90;3129;2042;139;33;397;297;217;1546;3534;2294;118;288;1290
5;2000 1e kwartaal;19611;9075;-164;5428;154;13;333;2916;385;10;10255;92;15;5494;894;35;815;558;30;7;93;51;46;371;1015;643;29;66;281
6;2000 2e kwartaal;24297;11962;-1474;7547;1150;19;198;3742;441;338;11951;106;22;7156;841;19;775;564;34;10;106;83;62;361;927;774;29;83;384
7;2000 3e kwartaal;21479;10363;-163;5488;584;14;174;3789;476;2;10737;114;16;6179;620;13;713;481;35;7;91;65;49;533;1016;699;35;71;379
8;2000 4e kwartaal;27655;14433;921;5970;699;13;118;6289;416;7;12783;99;15;8269;520;33;849;537;40;9;106;64;59;325;950;733;64;111;440
9;2000;93042;45833;-880;24433;2587;59;823;16736;1718;357;45726;411;68;27098;2875;100;3152;2140;139;33;396;263;216;1590;3908;2849;157;331;1484
10;2001 1e kwartaal;22188;9817;-730;5853;902;20;27;3377;360;11;12146;86;23;7114;831;40;756;495;28;7;102;47;46;436;1178;816;29;112;222
11;2001 2e kwartaal;24844;11644;-1952;7913;1126;19;36;4063;437;6;12986;105;21;7778;765;18;817;523;36;8;107;84;61;410;1151;923;30;148;211
12;2001 3e kwartaal;24100;12017;-310;5853;1433;14;15;4574;413;26;11785;99;16;6918;660;15;737;491;36;8;98;80;66;493;1072;842;45;110;295
13;2001 4e kwartaal;29670;14843;427;7553;847;19;12;5566;421;2;14244;101;21;9090;684;34;839;567;40;9;106;76;56;478;1174;770;54;148;579
14;2001;100801;48333;-2565;27172;4308;71;91;17580;1631;45;51161;390;80;30900;2939;107;3148;2076;140;32;413;287;228;1817;4576;3352;159;518;1307
15;2002 1e kwartaal;23124;10329;213;6288;452;25;3;2902;429;18;12481;103;28;7243;856;38;830;523;37;9;119;65;60;299;1182;941;30;118;315
16;2002 2e kwartaal;27695;14026;-583;8518;1634;13;12;4019;373;40;13179;89;15;7868;766;19;889;614;37;8;97;67;40;509;1148;825;32;155;490
17;2002 3e kwartaal;23859;11065;62;6538;722;21;14;3359;337;11;12364;81;25;7669;676;14;841;557;43;8;79;97;31;450;1079;556;46;114;431
18;2002 4e kwartaal;29756;14765;233;8234;681;16;20;5114;461;5;14532;110;19;9553;443;36;860;623;58;11;178;77;30;460;1232;631;55;155;459
19;2002;104434;50185;-75;29577;3490;76;49;15394;1600;74;52556;383;86;32333;2741;107;3420;2317;175;37;472;306;161;1719;4641;2953;163;541;1695
20;2003 1e kwartaal;23336;10205;104;6262;396;17;10;3031;393;-9;12821;94;26;7740;893;33;864;573;38;9;70;50;26;408;1120;760;30;89;310
21;2003 2e kwartaal;25830;12597;-876;8323;1496;18;8;3174;447;7;12851;107;27;7937;757;19;797;571;50;11;81;109;44;468;1073;682;31;90;382
22;2003 3e kwartaal;23367;10065;-313;6252;517;18;8;3166;403;14;12937;96;28;7789;757;15;892;621;40;8;87;97;38;469;1078;799;44;78;365
23;2003 4e kwartaal;30418;14642;1462;7952;720;19;12;4021;440;16;15372;105;29;10173;468;37;952;682;60;13;120;44;37;406;1186;839;53;168;404
24;2003;102951;47510;378;28790;3128;73;38;13392;1683;28;53981;403;109;33639;2874;104;3506;2446;188;40;357;300;146;1750;4456;3081;158;425;1460
25;2004 1e kwartaal;23328;9854;58;6380;233;15;14;2598;558;-2;13189;133;24;7480;985;36;941;606;37;9;83;91;33;551;1233;836;28;83;285
26;2004 2e kwartaal;27897;13317;-521;8224;1594;10;7;3647;369;-13;14197;88;17;8935;760;19;986;654;48;10;98;74;38;377;1151;824;29;89;383
27;2004 3e kwartaal;24573;10899;48;6109;785;17;5;3544;393;-2;13333;94;28;8102;740;18;953;627;48;9;88;100;41;479;1113;779;41;74;341
28;2004 4e kwartaal;30198;13568;524;6534;776;19;17;5206;495;-2;16127;118;32;10582;518;36;1021;671;60;12;109;82;36;536;1266;839;51;159;503
29;2004;105994;47638;109;27246;3388;61;44;14994;1815;-19;56845;434;101;35098;3003;110;3901;2557;193;40;378;346;148;1943;4762;3278;149;405;1512
30;2005 1e kwartaal;25407;11712;46;6355;597;19;6;4222;453;14;13354;108;22;7431;1051;36;964;628;43;9;102;66;32;488;1252;975;29;116;342
31;2005 2e kwartaal;29101;14025;-51;8484;1811;16;5;3187;573;-1;14626;137;19;8719;871;20;992;696;49;9;88;87;42;383;1257;1080;47;131;450
32;2005 3e kwartaal;27209;12122;-58;6266;1280;21;7;4192;406;7;14606;97;24;8825;794;18;960;645;48;8;86;84;40;547;1294;979;41;116;481
33;2005 4e kwartaal;34267;16835;3714;6469;574;29;42;5467;515;26;16996;123;34;11242;432;36;919;617;60;11;97;60;36;582;1405;1094;42;207;436
34;2005;115984;54693;3651;27573;4262;85;60;17069;1946;47;59582;466;99;36216;3148;111;3835;2585;200;37;373;297;149;2000;5209;4128;159;570;1709
35;2006 1e kwartaal;28412;12653;52;7183;648;20;-25;4095;693;-13;15391;126;21;8583;1196;19;1050;743;43;9;79;88;31;677;1353;1163;57;153;368
36;2006 2e kwartaal;31971;14403;-420;9473;1513;27;5;3414;377;14;17141;110;30;10998;934;21;946;682;54;9;87;88;44;415;1364;1188;38;133;427
37;2006 3e kwartaal;27764;13179;-89;7122;1306;27;6;4262;543;2;14267;155;30;8473;703;27;992;698;52;8;69;82;43;499;1297;1004;17;118;318
38;2006 4e kwartaal;36952;19253;3974;7868;759;19;8;6136;530;-41;17002;122;22;10911;619;27;994;713;58;9;86;77;34;553;1418;1190;62;107;697
39;2006;125099;59488;3517;31646;4226;93;-6;17907;2143;-38;63801;513;103;38965;3452;94;3982;2836;207;35;321;335;152;2144;5432;4545;174;511;1810
40;2007 1e kwartaal;29871;13304;-135;8360;482;34;6;4058;521;-22;16197;125;27;9639;1087;31;995;727;49;10;82;70;36;527;1528;1123;44;97;373
41;2007 2e kwartaal;33488;17054;-19;10761;1381;33;7;4296;587;8;15979;140;26;9957;980;45;1034;739;53;7;74;88;42;555;1296;794;39;110;457
42;2007 3e kwartaal;29541;13924;342;8077;1148;31;5;3667;560;94;15235;134;24;9429;870;22;902;689;53;8;78;77;39;530;1484;765;44;87;385
43;2007 4e kwartaal;40556;20598;2106;10531;739;41;12;6530;570;69;19296;130;31;12873;710;33;1079;810;67;10;101;75;38;524;1467;1107;38;203;662
44;2007;133466;64880;2294;37729;3750;138;30;18552;2238;149;66709;529;109;41898;3647;131;4010;2965;222;35;335;310;155;2136;5775;3789;166;497;1877
45;2008 1e kwartaal;30830;14940;-265;9296;1206;24;4;3931;683;61;15669;161;28;8891;1087;41;1034;812;54;8;82;77;36;562;1398;1253;42;103;221
46;2008 2e kwartaal;34892;17191;-1542;11948;1593;23;2;4521;589;57;17220;140;25;11024;829;27;994;769;62;8;71;87;43;591;1341;1066;33;110;481
47;2008 3e kwartaal;31771;14968;300;9055;799;49;4;4160;603;-2;16311;143;53;10111;772;21;1006;796;62;8;82;79;42;608;1310;1077;41;100;492
48;2008 4e kwartaal;38088;18915;1364;10337;354;63;11;6202;605;-21;18572;143;68;12292;547;27;1016;799;73;10;94;74;37;600;1141;1389;48;214;601
49;2008;135578;66013;-142;40636;3951;159;20;18814;2480;95;67770;587;174;42318;3236;115;4049;3176;251;34;328;318;158;2360;5190;4785;164;527;1795
50;2009 1e kwartaal*;30608;15426;-42;10474;408;54;2;3827;682;21;14833;163;49;8468;696;40;1050;830;60;9;83;84;33;568;983;1578;42;96;349
51;2009 2e kwartaal*;33882;17554;488;12844;858;60;2;2592;704;5;15884;168;54;10323;555;25;994;867;64;9;73;86;42;618;847;1017;41;102;444
52;2009 3e kwartaal*;28643;13258;91;9928;512;51;3;2000;660;13;14876;158;46;9657;543;20;934;786;60;7;70;105;44;569;851;898;38;91;509
53;2009 4e kwartaal*;35925;18058;-2;13809;306;70;17;3186;664;8;17356;158;62;11409;351;32;1050;887;70;7;79;114;40;564;919;1378;41;195;511
54;2009*;129055;64294;535;47056;2084;233;25;11604;2710;47;62948;648;211;39857;2145;116;4028;3369;253;32;306;390;158;2318;3600;4872;162;483;1813
55;2010 1e kwartaal*;31465;15320;-104;10121;638;51;7;3860;739;8;15788;177;51;9566;627;43;980;830;65;9;96;86;35;572;985;1525;41;100;357
56;2010 2e kwartaal*;35326;18543;607;12986;995;55;7;3196;735;-38;16385;176;55;10581;546;44;1078;913;72;7;77;108;45;644;879;983;35;142;398
57;2010 3e kwartaal*;29006;13384;177;9895;460;51;5;2016;734;46;15190;175;51;9774;528;24;1004;894;58;6;69;103;39;605;845;900;35;80;432
58;2010 4e kwartaal*;38687;19296;1397;13095;307;64;5;3710;721;-3;18857;172;64;12537;394;44;1025;937;79;9;88;92;38;617;937;1500;54;270;534
59;2010*;134484;66543;2077;46097;2400;221;24;12782;2929;13;66220;700;221;42458;2095;155;4087;3574;274;31;330;389;157;2438;3646;4908;165;592;1721
60;2011 1e kwartaal*;32242;16186;179;10487;436;67;-4;4256;730;36;15709;175;67;9349;730;35;1002;914;62;7;80;85;35;574;1029;1419;36;110;347
61;2011 2e kwartaal*;35237;19292;1293;13557;975;52;-2;2684;732;1;15517;175;52;9790;645;29;1014;945;69;6;75;106;48;644;876;913;33;97;428
