ID;SIC2008;Countries;Periods;NumberOfActiveEnterprises_1;NetTurnover_2;ValueOfOutput_3;ValueAddedAtFactorCost_4;TotalPurchasesOfGoodsAndServices_5;PurchasesOfGoodsAndServicesPurch_6;EmployeeBenefitsExpense_7;GrossInvestmentInTangibleNonCurr_8;NumberOfSelfEmployedPersons_9;TotalIntraMuralRDExpenditure_10;TotalNumberOfRDPersonnel_11
0;B-S excluding O and excluding S94;Locus of control: domestic and foreign;2021;2052685.0;2171966.0;1531556.0;813757.0;1570521.0;830011.0;326546.0;76111.0;8287.0;;
1;B-S excluding O and excluding S94;Locus of control: domestic and foreign;2022;2204280.0;2616847.0;1575398.0;686974.0;1937247.0;1031237.0;358496.0;86518.0;8562.0;;
2;B-S excluding O and excluding S94;Locus of control: domestic;2021;2035175.0;1331841.0;1096161.0;664917.0;861980.0;422660.0;250920.0;55187.0;7087.0;;
3;B-S excluding O and excluding S94;Locus of control: domestic;2022;2186150.0;1543479.0;1018801.0;504366.0;1029184.0;508313.0;273244.0;62105.0;7259.0;;
4;B-S excluding O and excluding S94;Locus of control: foreign;2021;17510.0;840126.0;435395.0;148840.0;708541.0;407351.0;75626.0;20924.0;1199.0;;
5;B-S excluding O and excluding S94;Locus of control: foreign;2022;18130.0;1073368.0;556597.0;182609.0;908063.0;522924.0;85252.0;24412.0;1304.0;;
6;B-S excluding O and excluding S94;Equally-shared control;2021;10.0;616.0;615.0;131.0;485.0;1.0;62.0;5.0;1.0;;
7;B-S excluding O and excluding S94;Equally-shared control;2022;5.0;237.0;244.0;97.0;150.0;2.0;33.0;;0.0;;
8;B-S excluding O and excluding S94;European Union;2021;8135.0;242253.0;136906.0;56606.0;187920.0;105736.0;31607.0;9935.0;543.0;;
9;B-S excluding O and excluding S94;European Union;2022;8485.0;315881.0;179287.0;71315.0;249382.0;137375.0;36089.0;11462.0;620.0;;
10;B-S excluding O and excluding S94;Non EU;2021;9375.0;597873.0;298489.0;92234.0;520622.0;301615.0;44019.0;10989.0;657.0;;
11;B-S excluding O and excluding S94;Non EU;2022;9645.0;757487.0;377311.0;111294.0;658681.0;385549.0;49163.0;12950.0;684.0;;
12;B-S excluding O and excluding S94;Locus of control: Extra EU-27 not allo..;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
13;B-S excluding O and excluding S94;Locus of control: Extra EU-27 not allo..;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
14;B-S excluding O and excluding S94;Locus of control: Offshore fin. centres;2021;405.0;;;;;;;;;;
