ID;BedrijfstakkenBranchesSBI2008;Marges;Perioden;TotaalWerknemersMetEenOngeval_1;WerknemersOngevalZonderVerzuim_2;WerknemersOngeval1DagOfMeerVerzuim_3;WerknemersOngeval4DgnOfMeerVerzuim_4;LichamelijkLetsel_5;GeestelijkLetsel_6;OnderscheidNietTeMaken_7;LetselOnbekend_8
0;A-U Alle economische activiteiten;Waarde;2014;3.4;1.8;1.7;1.1;2.2;0.5;0.5;0.3
1;A-U Alle economische activiteiten;Waarde;2015;3.0;1.7;1.4;0.9;2.0;0.4;0.4;0.2
2;A-U Alle economische activiteiten;Waarde;2016;3.0;1.6;1.4;1.0;1.8;0.4;0.5;0.2
3;A-U Alle economische activiteiten;Waarde;2017;3.4;1.8;1.6;1.2;2.3;0.5;0.4;0.2
4;A-U Alle economische activiteiten;Waarde;2018;3.1;1.7;1.5;1.1;2.0;0.5;0.4;0.1
5;A-U Alle economische activiteiten;Waarde;2019;3.3;1.8;1.5;1.1;2.2;0.5;0.3;0.1
6;A-U Alle economische activiteiten;Waarde;2020;2.5;1.3;1.2;0.9;1.7;0.4;0.3;0.1
7;A-U Alle economische activiteiten;Waarde;2021;2.6;1.3;1.3;1.0;1.6;0.5;0.4;0.1
8;A-U Alle economische activiteiten;Waarde;2022;2.6;1.3;1.3;1.0;1.7;0.5;0.3;0.1
9;A-U Alle economische activiteiten;Waarde;2023;2.7;1.4;1.3;0.9;1.7;0.5;0.3;0.1
10;A-U Alle economische activiteiten;Waarde;2024;2.4;1.3;1.2;0.9;1.5;0.5;0.2;0.1
11;A-U Alle economische activiteiten;Ondergrens 95%-interval;2014;3.2;1.7;1.5;1.0;2.0;0.4;0.4;0.2
12;A-U Alle economische activiteiten;Ondergrens 95%-interval;2015;2.8;1.6;1.3;0.9;1.9;0.3;0.4;0.1
13;A-U Alle economische activiteiten;Ondergrens 95%-interval;2016;2.8;1.5;1.3;0.9;1.7;0.4;0.4;0.2
14;A-U Alle economische activiteiten;Ondergrens 95%-interval;2017;3.2;1.7;1.5;1.1;2.1;0.4;0.3;0.1
15;A-U Alle economische activiteiten;Ondergrens 95%-interval;2018;3.0;1.6;1.4;1.0;1.9;0.5;0.3;0.1
16;A-U Alle economische activiteiten;Ondergrens 95%-interval;2019;3.1;1.7;1.4;1.0;2.1;0.4;0.3;0.1
17;A-U Alle economische activiteiten;Ondergrens 95%-interval;2020;2.4;1.2;1.1;0.8;1.6;0.3;0.2;0.1
18;A-U Alle economische activiteiten;Ondergrens 95%-interval;2021;2.4;1.2;1.2;0.9;1.5;0.4;0.3;0.1
19;A-U Alle economische activiteiten;Ondergrens 95%-interval;2022;2.5;1.2;1.2;0.9;1.5;0.4;0.3;0.1
20;A-U Alle economische activiteiten;Ondergrens 95%-interval;2023;2.5;1.3;1.2;0.9;1.6;0.5;0.3;0.1
21;A-U Alle economische activiteiten;Ondergrens 95%-interval;2024;2.3;1.2;1.1;0.8;1.4;0.5;0.2;0.1
22;A-U Alle economische activiteiten;Bovengrens 95%-interval;2014;3.7;2.0;1.8;1.2;2.3;0.6;0.6;0.3
23;A-U Alle economische activiteiten;Bovengrens 95%-interval;2015;3.2;1.8;1.5;1.0;2.1;0.4;0.5;0.2
24;A-U Alle economische activiteiten;Bovengrens 95%-interval;2016;3.1;1.7;1.5;1.1;2.0;0.5;0.5;0.3
25;A-U Alle economische activiteiten;Bovengrens 95%-interval;2017;3.5;2.0;1.8;1.3;2.4;0.6;0.5;0.2
26;A-U Alle economische activiteiten;Bovengrens 95%-interval;2018;3.3;1.8;1.6;1.2;2.2;0.6;0.4;0.2
27;A-U Alle economische activiteiten;Bovengrens 95%-interval;2019;3.4;1.9;1.6;1.2;2.4;0.6;0.4;0.2
28;A-U Alle economische activiteiten;Bovengrens 95%-interval;2020;2.7;1.4;1.4;1.0;1.8;0.5;0.3;0.1
29;A-U Alle economische activiteiten;Bovengrens 95%-interval;2021;2.8;1.4;1.4;1.1;1.8;0.5;0.4;0.1
30;A-U Alle economische activiteiten;Bovengrens 95%-interval;2022;2.7;1.4;1.4;1.1;1.8;0.5;0.4;0.1
31;A-U Alle economische activiteiten;Bovengrens 95%-interval;2023;2.8;1.5;1.4;1.0;1.8;0.6;0.3;0.1
32;A-U Alle economische activiteiten;Bovengrens 95%-interval;2024;2.6;1.4;1.3;1.0;1.6;0.6;0.3;0.1
33;A Landbouw, bosbouw en visserij;Waarde;2014;6.6;2.6;4.4;2.7;4.7;0.3;1.1;0.4
34;A Landbouw, bosbouw en visserij;Waarde;2015;3.0;1.6;1.4;0.5;2.3;0.0;0.4;0.3
35;A Landbouw, bosbouw en visserij;Waarde;2016;3.1;2.2;0.7;0.4;2.1;0.0;0.7;0.2
36;A Landbouw, bosbouw en visserij;Waarde;2017;3.9;2.2;2.5;1.6;3.9;0.0;0.0;0.0
37;A Landbouw, bosbouw en visserij;Waarde;2018;5.0;2.6;2.5;2.3;4.0;0.2;0.4;0.3
38;A Landbouw, bosbouw en visserij;Waarde;2019;4.5;2.3;2.4;1.1;3.6;0.3;0.5;0.0
39;A Landbouw, bosbouw en visserij;Waarde;2020;2.9;0.9;1.8;0.9;2.3;0.0;0.0;0.5
40;A Landbouw, bosbouw en visserij;Waarde;2021;2.3;1.1;1.2;0.3;1.9;0.0;0.4;0.0
41;A Landbouw, bosbouw en visserij;Waarde;2022;2.7;2.0;1.4;0.7;1.9;0.5;0.0;0.3
