ID;RegioS;Inkomensverdeling;AantalHuishoudensAbsoluut_1;AantalHuishoudensIn_2
0;Nederland;Totaal huishouden;7137.4;100.0
1;Nederland;"1e 10%-groep; minder dan 11 100 euro";713.7;10.0
2;Nederland;"2e 10%-groep; 11 100 tot 14 600 euro";713.7;10.0
3;Nederland;"3e 10%-groep; 14 600 tot 17 700 euro";713.7;10.0
4;Nederland;"4e 10%-groep; 17 700 tot 20 900 euro";713.7;10.0
5;Nederland;"5e 10%-groep; 20 900 tot 24 500 euro";713.7;10.0
6;Nederland;"6e 10%-groep; 24 500 tot 28 600 euro";713.7;10.0
7;Nederland;"7e 10%-groep; 28 600 tot 33 200 euro";713.7;10.0
8;Nederland;"8e 10%-groep; 33 200 tot 39 000 euro";713.7;10.0
9;Nederland;"9e 10%-groep; 39 000 tot 48 500 euro";713.7;10.0
10;Nederland;"10e 10%-groep; meer dan 48 500  euro";713.7;10.0
11;Nederland;"1e 10%-groep; minder dan 11 100 euro";713.7;10.0
12;Nederland;"2e-4e 10%-groep; 11 100 tot 20 900 euro";2141.2;30.0
13;Nederland;"5e-8e 10%-groep; 20 900 tot 39 000 euro";2854.9;40.0
14;Nederland;"9e-10e 10%-groep; meer dan 39 000 euro";1427.5;20.0
15;Noord-Nederland (LD);Totaal huishouden;754.1;100.0
16;Noord-Nederland (LD);"1e 10%-groep; minder dan 11 100 euro";84.7;11.0
17;Noord-Nederland (LD);"2e 10%-groep; 11 100 tot 14 600 euro";86.4;11.0
18;Noord-Nederland (LD);"3e 10%-groep; 14 600 tot 17 700 euro";80.4;11.0
19;Noord-Nederland (LD);"4e 10%-groep; 17 700 tot 20 900 euro";81.5;11.0
20;Noord-Nederland (LD);"5e 10%-groep; 20 900 tot 24 500 euro";79.1;10.0
21;Noord-Nederland (LD);"6e 10%-groep; 24 500 tot 28 600 euro";79.1;10.0
22;Noord-Nederland (LD);"7e 10%-groep; 28 600 tot 33 200 euro";77.1;10.0
23;Noord-Nederland (LD);"8e 10%-groep; 33 200 tot 39 000 euro";70.4;9.0
24;Noord-Nederland (LD);"9e 10%-groep; 39 000 tot 48 500 euro";64.1;9.0
25;Noord-Nederland (LD);"10e 10%-groep; meer dan 48 500  euro";51.3;7.0
26;Noord-Nederland (LD);"1e 10%-groep; minder dan 11 100 euro";84.7;11.0
27;Noord-Nederland (LD);"2e-4e 10%-groep; 11 100 tot 20 900 euro";248.3;33.0
28;Noord-Nederland (LD);"5e-8e 10%-groep; 20 900 tot 39 000 euro";305.6;41.0
29;Noord-Nederland (LD);"9e-10e 10%-groep; meer dan 39 000 euro";115.4;15.0
30;Oost-Nederland (LD);Totaal huishouden;1433.1;100.0
31;Oost-Nederland (LD);"1e 10%-groep; minder dan 11 100 euro";133.6;9.0
32;Oost-Nederland (LD);"2e 10%-groep; 11 100 tot 14 600 euro";137.8;10.0
33;Oost-Nederland (LD);"3e 10%-groep; 14 600 tot 17 700 euro";138.8;10.0
34;Oost-Nederland (LD);"4e 10%-groep; 17 700 tot 20 900 euro";141.4;10.0
35;Oost-Nederland (LD);"5e 10%-groep; 20 900 tot 24 500 euro";146.2;10.0
36;Oost-Nederland (LD);"6e 10%-groep; 24 500 tot 28 600 euro";151.7;11.0
37;Oost-Nederland (LD);"7e 10%-groep; 28 600 tot 33 200 euro";153.0;11.0
38;Oost-Nederland (LD);"8e 10%-groep; 33 200 tot 39 000 euro";150.2;10.0
39;Oost-Nederland (LD);"9e 10%-groep; 39 000 tot 48 500 euro";145.4;10.0
40;Oost-Nederland (LD);"10e 10%-groep; meer dan 48 500  euro";135.0;9.0
41;Oost-Nederland (LD);"1e 10%-groep; minder dan 11 100 euro";133.6;9.0
42;Oost-Nederland (LD);"2e-4e 10%-groep; 11 100 tot 20 900 euro";417.9;29.0
43;Oost-Nederland (LD);"5e-8e 10%-groep; 20 900 tot 39 000 euro";601.1;42.0
44;Oost-Nederland (LD);"9e-10e 10%-groep; meer dan 39 000 euro";280.4;20.0
45;West-Nederland (LD);Totaal huishouden;3426.2;100.0
46;West-Nederland (LD);"1e 10%-groep; minder dan 11 100 euro";360.3;11.0
47;West-Nederland (LD);"2e 10%-groep; 11 100 tot 14 600 euro";344.7;10.0
48;West-Nederland (LD);"3e 10%-groep; 14 600 tot 17 700 euro";345.8;10.0
49;West-Nederland (LD);"4e 10%-groep; 17 700 tot 20 900 euro";340.4;10.0
50;West-Nederland (LD);"5e 10%-groep; 20 900 tot 24 500 euro";335.2;10.0
51;West-Nederland (LD);"6e 10%-groep; 24 500 tot 28 600 euro";325.7;10.0
52;West-Nederland (LD);"7e 10%-groep; 28 600 tot 33 200 euro";322.1;9.0
53;West-Nederland (LD);"8e 10%-groep; 33 200 tot 39 000 euro";331.7;10.0
54;West-Nederland (LD);"9e 10%-groep; 39 000 tot 48 500 euro";344.0;10.0
55;West-Nederland (LD);"10e 10%-groep; meer dan 48 500  euro";376.4;11.0
56;West-Nederland (LD);"1e 10%-groep; minder dan 11 100 euro";360.3;11.0
57;West-Nederland (LD);"2e-4e 10%-groep; 11 100 tot 20 900 euro";1031.0;30.0
58;West-Nederland (LD);"5e-8e 10%-groep; 20 900 tot 39 000 euro";1314.7;38.0
59;West-Nederland (LD);"9e-10e 10%-groep; meer dan 39 000 euro";720.3;21.0
60;Zuid-Nederland (LD);Totaal huishouden;1524.0;100.0
61;Zuid-Nederland (LD);"1e 10%-groep; minder dan 11 100 euro";135.1;9.0
62;Zuid-Nederland (LD);"2e 10%-groep; 11 100 tot 14 600 euro";144.9;10.0
63;Zuid-Nederland (LD);"3e 10%-groep; 14 600 tot 17 700 euro";148.7;10.0
64;Zuid-Nederland (LD);"4e 10%-groep; 17 700 tot 20 900 euro";150.4;10.0
65;Zuid-Nederland (LD);"5e 10%-groep; 20 900 tot 24 500 euro";153.3;10.0
66;Zuid-Nederland (LD);"6e 10%-groep; 24 500 tot 28 600 euro";157.2;10.0
67;Zuid-Nederland (LD);"7e 10%-groep; 28 600 tot 33 200 euro";161.6;11.0
68;Zuid-Nederland (LD);"8e 10%-groep; 33 200 tot 39 000 euro";161.5;11.0
