ID;Populatie;Onderwijssoorten;Geslacht;Herkomstgroepering;Generatie;Regiokenmerken;Perioden;AantalLeerlingenInHetExamenjaar_1;PercentageGeslaagdeExamenleerlingen_2;PercentageGeslaagdeExamenkandidaten_3
0;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Nederland;2003/'04;102480.0;87.0;95.0
1;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Nederland;2004/'05;101290.0;86.0;95.0
2;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Nederland;2005/'06;109590.0;90.0;95.0
3;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Nederland;2006/'07*;110350.0;90.0;95.0
4;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Vier grote gemeenten (G4);2003/'04;11360.0;79.0;89.0
5;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Vier grote gemeenten (G4);2004/'05;11120.0;76.0;89.0
6;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Vier grote gemeenten (G4);2005/'06;11930.0;83.0;91.0
7;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Vier grote gemeenten (G4);2006/'07*;12070.0;84.0;90.0
8;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Gemeenten >= 100.000 inwoners (excl. G4);2003/'04;17560.0;85.0;94.0
9;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Gemeenten >= 100.000 inwoners (excl. G4);2004/'05;17140.0;85.0;94.0
10;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Gemeenten >= 100.000 inwoners (excl. G4);2005/'06;18430.0;85.0;94.0
11;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Gemeenten >= 100.000 inwoners (excl. G4);2006/'07*;18710.0;84.0;93.0
12;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Gemeenten < 100.000 inwoners;2003/'04;73140.0;89.0;95.0
13;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Gemeenten < 100.000 inwoners;2004/'05;72610.0;88.0;95.0
14;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Gemeenten < 100.000 inwoners;2005/'06;79170.0;92.0;96.0
15;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Gemeenten < 100.000 inwoners;2006/'07*;79550.0;93.0;96.0
16;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Noord-Nederland;2003/'04;11310.0;86.0;95.0
17;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Noord-Nederland;2004/'05;10940.0;86.0;95.0
18;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Noord-Nederland;2005/'06;12130.0;91.0;96.0
19;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Noord-Nederland;2006/'07*;12070.0;91.0;95.0
20;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Oost-Nederland;2003/'04;24310.0;90.0;95.0
21;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Oost-Nederland;2004/'05;23720.0;90.0;95.0
22;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Oost-Nederland;2005/'06;25370.0;88.0;96.0
23;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Oost-Nederland;2006/'07*;25450.0;88.0;95.0
24;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;West-Nederland;2003/'04;43840.0;86.0;94.0
25;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;West-Nederland;2004/'05;44040.0;84.0;94.0
26;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;West-Nederland;2005/'06;48950.0;89.0;94.0
27;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;West-Nederland;2006/'07*;49380.0;90.0;94.0
28;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Zuid-Nederland;2003/'04;22590.0;89.0;95.0
29;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Zuid-Nederland;2004/'05;22170.0;88.0;95.0
30;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Zuid-Nederland;2005/'06;23080.0;93.0;96.0
31;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Zuid-Nederland;2006/'07*;23420.0;93.0;96.0
32;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Amsterdam;2003/'04;3930.0;76.0;90.0
33;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Amsterdam;2004/'05;3760.0;72.0;89.0
34;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Amsterdam;2005/'06;4050.0;80.0;91.0
35;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Amsterdam;2006/'07*;4000.0;81.0;89.0
36;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Rotterdam;2003/'04;3760.0;81.0;89.0
37;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Rotterdam;2004/'05;3630.0;81.0;89.0
38;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Rotterdam;2005/'06;3870.0;85.0;91.0
39;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;Rotterdam;2006/'07*;4060.0;86.0;90.0
40;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;'s-Gravenhage;2003/'04;2520.0;81.0;89.0
41;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;'s-Gravenhage;2004/'05;2630.0;72.0;90.0
42;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;'s-Gravenhage;2005/'06;2770.0;86.0;92.0
43;Woongemeente;Vmbo;Totaal mannen en vrouwen;0;Totaal generatie;'s-Gravenhage;2006/'07*;2710.0;88.0;92.0
