ID;KenmerkenDeelnemers;KenmerkenOpleidingen;Perioden;Deelnemers_1
0;3;Opleidingsduur 1 week of korter;2003;21.0
1;3;Opleidingsduur 1 week of korter;2004;21.0
2;3;Opleidingsduur 1 week of korter;2005;21.0
3;3;Opleidingsduur 1 week of korter;2006;20.0
4;3;Opleidingsduur 1 week of korter;2007;21.0
5;3;Opleidingsduur 1 week of korter;2008;22.0
6;3;Opleidingsduur 1 week of korter;2009;23.0
7;3;Opleidingsduur 1 tot 4 weken;2003;6.0
8;3;Opleidingsduur 1 tot 4 weken;2004;6.0
9;3;Opleidingsduur 1 tot 4 weken;2005;6.0
10;3;Opleidingsduur 1 tot 4 weken;2006;6.0
11;3;Opleidingsduur 1 tot 4 weken;2007;6.0
12;3;Opleidingsduur 1 tot 4 weken;2008;6.0
13;3;Opleidingsduur 1 tot 4 weken;2009;6.0
14;3;Opleidingsduur 1 tot 3 maanden;2003;12.0
15;3;Opleidingsduur 1 tot 3 maanden;2004;13.0
16;3;Opleidingsduur 1 tot 3 maanden;2005;13.0
17;3;Opleidingsduur 1 tot 3 maanden;2006;12.0
18;3;Opleidingsduur 1 tot 3 maanden;2007;12.0
19;3;Opleidingsduur 1 tot 3 maanden;2008;12.0
20;3;Opleidingsduur 1 tot 3 maanden;2009;12.0
21;3;Opleidingsduur 3 tot 6 maanden;2003;13.0
22;3;Opleidingsduur 3 tot 6 maanden;2004;13.0
23;3;Opleidingsduur 3 tot 6 maanden;2005;13.0
24;3;Opleidingsduur 3 tot 6 maanden;2006;13.0
25;3;Opleidingsduur 3 tot 6 maanden;2007;12.0
26;3;Opleidingsduur 3 tot 6 maanden;2008;12.0
27;3;Opleidingsduur 3 tot 6 maanden;2009;12.0
28;3;Opleidingsduur 6 tot 12 maanden;2003;12.0
29;3;Opleidingsduur 6 tot 12 maanden;2004;11.0
30;3;Opleidingsduur 6 tot 12 maanden;2005;12.0
31;3;Opleidingsduur 6 tot 12 maanden;2006;12.0
32;3;Opleidingsduur 6 tot 12 maanden;2007;12.0
33;3;Opleidingsduur 6 tot 12 maanden;2008;12.0
34;3;Opleidingsduur 6 tot 12 maanden;2009;12.0
35;3;Opleidingsduur 1 tot 2 jaar;2003;12.0
36;3;Opleidingsduur 1 tot 2 jaar;2004;15.0
37;3;Opleidingsduur 1 tot 2 jaar;2005;15.0
38;3;Opleidingsduur 1 tot 2 jaar;2006;15.0
39;3;Opleidingsduur 1 tot 2 jaar;2007;14.0
40;3;Opleidingsduur 1 tot 2 jaar;2008;13.0
41;3;Opleidingsduur 1 tot 2 jaar;2009;13.0
42;3;Opleidingsduur 2 tot 3 jaar;2003;8.0
43;3;Opleidingsduur 2 tot 3 jaar;2004;7.0
44;3;Opleidingsduur 2 tot 3 jaar;2005;6.0
45;3;Opleidingsduur 2 tot 3 jaar;2006;6.0
46;3;Opleidingsduur 2 tot 3 jaar;2007;7.0
47;3;Opleidingsduur 2 tot 3 jaar;2008;7.0
48;3;Opleidingsduur 2 tot 3 jaar;2009;7.0
49;3;Opleidingsduur langer dan 3 jaar;2003;14.0
50;3;Opleidingsduur langer dan 3 jaar;2004;14.0
51;3;Opleidingsduur langer dan 3 jaar;2005;14.0
52;3;Opleidingsduur langer dan 3 jaar;2006;15.0
53;3;Opleidingsduur langer dan 3 jaar;2007;15.0
54;3;Opleidingsduur langer dan 3 jaar;2008;15.0
55;3;Opleidingsduur langer dan 3 jaar;2009;15.0
56;3;Bedrijfsopleiding;2003;32.0
57;3;Bedrijfsopleiding;2004;32.0
58;3;Bedrijfsopleiding;2005;32.0
59;3;Bedrijfsopleiding;2006;32.0
60;3;Bedrijfsopleiding;2007;32.0
61;3;Bedrijfsopleiding;2008;32.0
62;3;Bedrijfsopleiding;2009;32.0
63;3;Studieverlof;2003;
64;3;Studieverlof;2004;
65;3;Studieverlof;2005;
66;3;Studieverlof;2006;
67;3;Studieverlof;2007;
68;3;Studieverlof;2008;
69;3;Studieverlof;2009;
70;3;Sector alpha;2003;18.0
71;3;Sector alpha;2004;19.0
72;3;Sector alpha;2005;20.0
73;3;Sector alpha;2006;20.0
74;3;Sector alpha;2007;19.0
75;3;Sector alpha;2008;18.0
76;3;Sector alpha;2009;18.0
77;3;Sector beta;2003;23.0
78;3;Sector beta;2004;25.0
79;3;Sector beta;2005;23.0
80;3;Sector beta;2006;22.0
81;3;Sector beta;2007;23.0
82;3;Sector beta;2008;22.0
83;3;Sector beta;2009;21.0
84;3;Sector economisch;2003;39.0
85;3;Sector economisch;2004;36.0
86;3;Sector economisch;2005;37.0
87;3;Sector economisch;2006;37.0
88;3;Sector economisch;2007;37.0
89;3;Sector economisch;2008;37.0
90;3;Sector economisch;2009;36.0
91;3;Sector sociaal;2003;20.0
92;3;Sector sociaal;2004;20.0
93;3;Sector sociaal;2005;20.0
94;3;Sector sociaal;2006;21.0
95;3;Sector sociaal;2007;21.0
96;3;Sector sociaal;2008;23.0
97;3;Sector sociaal;2009;24.0
