ID;Populatie;Gemeenten;Schoolsoorten;Herkomst;Perioden;LeerlingenInHetExamenjaar_1;GeslaagdenInVanExamenjaar_2;GeslaagdenInVanGeslAfgewezenen_3
0;Woongemeente;Nederland totaal;Vwo;Totaal herkomstgroeperingen;2003/'04;29550.0;91.0;94.0
1;Woongemeente;Nederland totaal;Vwo;Autochtonen;2003/'04;24730.0;93.0;95.0
2;Woongemeente;Nederland totaal;Vwo;Niet-westerse allochtonen;2003/'04;2380.0;77.0;84.0
3;Woongemeente;Nederland totaal;Vwo;Westerse allochtonen;2003/'04;2440.0;84.0;92.0
4;Woongemeente;Nederland totaal;Vwo;Turken;2003/'04;260.0;71.0;77.0
5;Woongemeente;Nederland totaal;Vwo;Marokkanen;2003/'04;240.0;79.0;82.0
6;Woongemeente;Nederland totaal;Vwo;Surinamers;2003/'04;530.0;77.0;79.0
7;Woongemeente;Nederland totaal;Vwo;Antillianen en Arubanen;2003/'04;190.0;85.0;90.0
8;Woongemeente;Nederland totaal;Vwo;Overig niet-westerse allochtonen;2003/'04;1160.0;76.0;87.0
9;Woongemeente;Nederland totaal;Havo;Totaal herkomstgroeperingen;2003/'04;40410.0;88.0;91.0
10;Woongemeente;Nederland totaal;Havo;Autochtonen;2003/'04;33760.0;90.0;93.0
11;Woongemeente;Nederland totaal;Havo;Niet-westerse allochtonen;2003/'04;3940.0;75.0;80.0
12;Woongemeente;Nederland totaal;Havo;Westerse allochtonen;2003/'04;2710.0;83.0;89.0
13;Woongemeente;Nederland totaal;Havo;Turken;2003/'04;650.0;66.0;72.0
14;Woongemeente;Nederland totaal;Havo;Marokkanen;2003/'04;580.0;78.0;81.0
15;Woongemeente;Nederland totaal;Havo;Surinamers;2003/'04;910.0;78.0;81.0
16;Woongemeente;Nederland totaal;Havo;Antillianen en Arubanen;2003/'04;290.0;80.0;84.0
17;Woongemeente;Nederland totaal;Havo;Overig niet-westerse allochtonen;2003/'04;1500.0;74.0;83.0
18;Woongemeente;Nederland totaal;Vmbo totaal (inclusief lwoo);Totaal herkomstgroeperingen;2003/'04;100000.0;89.0;95.0
19;Woongemeente;Nederland totaal;Vmbo totaal (inclusief lwoo);Autochtonen;2003/'04;76800.0;91.0;96.0
20;Woongemeente;Nederland totaal;Vmbo totaal (inclusief lwoo);Niet-westerse allochtonen;2003/'04;17250.0;80.0;89.0
21;Woongemeente;Nederland totaal;Vmbo totaal (inclusief lwoo);Westerse allochtonen;2003/'04;5960.0;87.0;94.0
22;Woongemeente;Nederland totaal;Vmbo totaal (inclusief lwoo);Turken;2003/'04;4180.0;75.0;84.0
23;Woongemeente;Nederland totaal;Vmbo totaal (inclusief lwoo);Marokkanen;2003/'04;3710.0;83.0;90.0
24;Woongemeente;Nederland totaal;Vmbo totaal (inclusief lwoo);Surinamers;2003/'04;3820.0;83.0;90.0
