ID;BedrijfstakkenWoningen;RegioS;Perioden;AantalInstallaties_1;OpgesteldVermogenVanZonnepanelen_2
0;Alle economische activiteit en woningen;Nederland;2012;80648.0;287476.0
1;Alle economische activiteit en woningen;Nederland;2013;164442.0;650025.0
2;Alle economische activiteit en woningen;Nederland;2014;242364.0;1007613.0
3;Alle economische activiteit en woningen;Nederland;2015;342016.0;1526149.0
4;Alle economische activiteit en woningen;Nederland;2016;440036.0;2135295.0
5;Alle economische activiteit en woningen;Nederland;2017;576340.0;2903495.0
6;Alle economische activiteit en woningen;Noord-Nederland (LD);2012;11196.0;47251.0
7;Alle economische activiteit en woningen;Noord-Nederland (LD);2013;23192.0;105975.0
8;Alle economische activiteit en woningen;Noord-Nederland (LD);2014;33674.0;159288.0
9;Alle economische activiteit en woningen;Noord-Nederland (LD);2015;53148.0;253247.0
10;Alle economische activiteit en woningen;Noord-Nederland (LD);2016;70858.0;394730.0
11;Alle economische activiteit en woningen;Noord-Nederland (LD);2017;94127.0;538759.0
12;Alle economische activiteit en woningen;Oost-Nederland (LD);2012;18109.0;75327.0
13;Alle economische activiteit en woningen;Oost-Nederland (LD);2013;38317.0;176366.0
14;Alle economische activiteit en woningen;Oost-Nederland (LD);2014;58931.0;279049.0
15;Alle economische activiteit en woningen;Oost-Nederland (LD);2015;85532.0;423469.0
16;Alle economische activiteit en woningen;Oost-Nederland (LD);2016;109656.0;577590.0
17;Alle economische activiteit en woningen;Oost-Nederland (LD);2017;141876.0;774683.0
18;Alle economische activiteit en woningen;West-Nederland (LD);2012;33298.0;90776.0
19;Alle economische activiteit en woningen;West-Nederland (LD);2013;65503.0;205161.0
20;Alle economische activiteit en woningen;West-Nederland (LD);2014;97298.0;328449.0
21;Alle economische activiteit en woningen;West-Nederland (LD);2015;130084.0;476108.0
22;Alle economische activiteit en woningen;West-Nederland (LD);2016;164905.0;653619.0
23;Alle economische activiteit en woningen;West-Nederland (LD);2017;213079.0;891043.0
24;Alle economische activiteit en woningen;Zuid-Nederland (LD);2012;18034.0;74064.0
25;Alle economische activiteit en woningen;Zuid-Nederland (LD);2013;37415.0;162394.0
26;Alle economische activiteit en woningen;Zuid-Nederland (LD);2014;52366.0;240524.0
27;Alle economische activiteit en woningen;Zuid-Nederland (LD);2015;73076.0;372810.0
28;Alle economische activiteit en woningen;Zuid-Nederland (LD);2016;94401.0;508768.0
29;Alle economische activiteit en woningen;Zuid-Nederland (LD);2017;127159.0;698797.0
30;Alle economische activiteit en woningen;Niet in te delen (LD);2012;11.0;57.0
31;Alle economische activiteit en woningen;Niet in te delen (LD);2013;15.0;129.0
32;Alle economische activiteit en woningen;Niet in te delen (LD);2014;95.0;304.0
33;Alle economische activiteit en woningen;Niet in te delen (LD);2015;176.0;516.0
34;Alle economische activiteit en woningen;Niet in te delen (LD);2016;216.0;588.0
35;Alle economische activiteit en woningen;Niet in te delen (LD);2017;99.0;212.0
36;Alle economische activiteit en woningen;Groningen (PV);2012;2941.0;11639.0
37;Alle economische activiteit en woningen;Groningen (PV);2013;6349.0;28550.0
38;Alle economische activiteit en woningen;Groningen (PV);2014;9299.0;43400.0
39;Alle economische activiteit en woningen;Groningen (PV);2015;19358.0;82391.0
40;Alle economische activiteit en woningen;Groningen (PV);2016;25770.0;156889.0
41;Alle economische activiteit en woningen;Groningen (PV);2017;31814.0;203468.0
42;Alle economische activiteit en woningen;Friesland (PV);2012;5011.0;20159.0
43;Alle economische activiteit en woningen;Friesland (PV);2013;10034.0;42883.0
44;Alle economische activiteit en woningen;Friesland (PV);2014;14228.0;63653.0
45;Alle economische activiteit en woningen;Friesland (PV);2015;18718.0;95167.0
46;Alle economische activiteit en woningen;Friesland (PV);2016;22852.0;129912.0
47;Alle economische activiteit en woningen;Friesland (PV);2017;30178.0;174564.0
48;Alle economische activiteit en woningen;Drenthe (PV);2012;3244.0;15453.0
49;Alle economische activiteit en woningen;Drenthe (PV);2013;6809.0;34543.0
50;Alle economische activiteit en woningen;Drenthe (PV);2014;10147.0;52234.0
51;Alle economische activiteit en woningen;Drenthe (PV);2015;15072.0;75689.0
52;Alle economische activiteit en woningen;Drenthe (PV);2016;22236.0;107929.0
53;Alle economische activiteit en woningen;Drenthe (PV);2017;32135.0;160727.0
54;Alle economische activiteit en woningen;Overijssel (PV);2012;6444.0;32422.0
