ID;TypeWoningen;Regio;Perioden;TotaleAantal_1;Voor1945_2;k_19451969_3;k_19701974_4;k_19751979_5;k_19801984_6;k_19851989_7;k_19901994_8;k_19951999_9;k_20002004_10;TotaleWaarde_11;Voor1945_12;k_19451969_13;k_19701974_14;k_19751979_15;k_19801984_16;k_19851989_17;k_19901994_18;k_19951999_19;k_20002004_20
0;Alle woningen;Nederland;1971;3729;1723;1862;144;;;;;;;92865;46293;43140;3431;;;;;;
1;Alle woningen;Nederland;1975;4281;1694;1863;724;;;;;;;158562;67631;64382;26549;;;;;;
2;Alle woningen;Nederland;1980;4747;1627;1858;724;538.0;;;;;;270191;99721;98587;40743;31140.0;;;;;
3;Alle woningen;Nederland;1981;4850;1614;1857;724;538.0;118.0;;;;;293801;105287;104899;43370;33153.0;7093.0;;;;
4;Alle woningen;Nederland;1982;4957;1601;1856;724;538.0;239.0;;;;;302779;105472;105871;43790;33472.0;14174.0;;;;
5;Alle woningen;Nederland;1983;5072;1589;1855;723;538.0;366.0;;;;;306007;103704;104789;43360;33145.0;21010.0;;;;
6;Alle woningen;Nederland;1984;5178;1579;1854;723;538.0;484.0;;;;;308870;102022;103723;42932;32818.0;27376.0;;;;
7;Alle woningen;Nederland;1985;5289;1568;1853;723;537.0;607.0;;;;;312018;100353;102655;42501;32486.0;34023.0;;;;
8;Alle woningen;Nederland;1986;5384;1559;1852;723;537.0;607.0;105.0;;;;317592;99795;102598;42498;32484.0;34015.0;6202.0;;;
9;Alle woningen;Nederland;1987;5483;1549;1852;723;537.0;607.0;215.0;;;;326620;100143;103514;42902;32792.0;34345.0;12923.0;;;
10;Alle woningen;Nederland;1988;5589;1538;1850;723;537.0;606.0;333.0;;;;352815;105364;109587;45441;34737.0;36384.0;21303.0;;;
11;Alle woningen;Nederland;1989;5699;1528;1848;723;537.0;606.0;457.0;;;;366675;106616;111524;46285;35385.0;37057.0;29810.0;;;
12;Alle woningen;Nederland;1990;5802;1519;1847;723;538.0;607.0;569.0;;;;377247;98661;118386;47374;36081.0;39370.0;37375.0;;;
13;Alle woningen;Nederland;1991;5892;1511;1846;724;538.0;608.0;569.0;97.0;;;397006;101722;122589;49095;37395.0;40813.0;38766.0;6626.0;;
14;Alle woningen;Nederland;1992;5969;1502;1845;724;538.0;608.0;570.0;182.0;;;409283;102924;124650;49969;38064.0;41542.0;39465.0;12669.0;;
15;Alle woningen;Nederland;1993;6043;1496;1843;724;538.0;608.0;570.0;264.0;;;435782;107800;130934;52531;40022.0;43679.0;41494.0;19323.0;;
16;Alle woningen;Nederland;1994;6116;1487;1841;724;539.0;608.0;570.0;346.0;;;448347;108967;132938;53390;40690.0;44412.0;42190.0;25759.0;;
17;Alle woningen;Nederland;1995;6192;1478;1838;724;539.0;609.0;571.0;434.0;;;472181;112695;138002;55520;42333.0;46220.0;43905.0;33505.0;;
18;Alle woningen;Nederland;1996;6276;1471;1835;724;539.0;609.0;571.0;434.0;93.0;;489726;114769;140964;56819;43326.0;47315.0;44946.0;34297.0;7291.0;
19;Alle woningen;Nederland;1997;6358;1466;1833;724;539.0;610.0;571.0;434.0;180.0;;514669;118644;146110;58976;44976.0;49123.0;46665.0;35607.0;14568.0;
20;Alle woningen;Nederland;1998;6441;1460;1829;725;539.0;610.0;572.0;434.0;272.0;;544040;123310;152206;61555;46941.0;51273.0;48718.0;37174.0;22863.0;
21;Alle woningen;Nederland;1999;6522;1453;1826;724;540.0;610.0;572.0;435.0;362.0;;581613;129607;160420;64960;49572.0;54150.0;51456.0;39261.0;32188.0;
22;Alle woningen;Nederland;2000;6588;1447;1822;723;540.0;611.0;572.0;435.0;438.0;;610734;134211;166374;67420;51544.0;56304.0;53508.0;40828.0;40545.0;
23;Alle woningen;Nederland;2001;6649;1442;1818;722;540.0;611.0;573.0;435.0;438.0;71.0;663298;143929;178606;72452;55469.0;60605.0;57597.0;43945.0;43603.0;7092.0
24;Alle woningen;Nederland;2002;6709;1436;1813;721;540.0;611.0;573.0;435.0;438.0;141.0;704838;150929;187624;76252;58365.0;63825.0;60675.0;46292.0;45934.0;14943.0
25;Alle woningen;Nederland;2003;6763;1430;1807;721;539.0;611.0;573.0;436.0;438.0;208.0;790037;167079;207909;84766;64859.0;70983.0;67482.0;51479.0;51090.0;24391.0
26;Alle woningen;Noord-Nederland;1971;422;206;201;15;;;;;;;10250;5570;4345;336;;;;;;
27;Alle woningen;Noord-Nederland;1975;487;197;201;89;;;;;;;17460;7956;6479;3025;;;;;;
28;Alle woningen;Noord-Nederland;1980;534;187;201;89;57.0;;;;;;29422;11611;9913;4642;3258.0;;;;;
29;Alle woningen;Noord-Nederland;1981;543;185;201;89;57.0;11.0;;;;;31821;12221;10544;4942;3468.0;647.0;;;;
30;Alle woningen;Noord-Nederland;1982;554;183;201;89;57.0;23.0;;;;;32706;12227;10643;4990;3502.0;1344.0;;;;
31;Alle woningen;Noord-Nederland;1983;564;182;200;89;57.0;37.0;;;;;32924;12020;10532;4941;3467.0;1964.0;;;;
32;Alle woningen;Noord-Nederland;1984;572;180;200;89;57.0;46.0;;;;;33016;11806;10423;4892;3433.0;2461.0;;;;
33;Alle woningen;Noord-Nederland;1985;582;180;200;89;57.0;55.0;;;;;33118;11640;10314;4845;3399.0;2922.0;;;;
34;Alle woningen;Noord-Nederland;1986;590;179;200;89;57.0;55.0;9.0;;;;33584;11560;10307;4842;3399.0;2921.0;556.0;;;
35;Alle woningen;Noord-Nederland;1987;597;178;200;89;57.0;55.0;20.0;;;;34399;11617;10398;4892;3433.0;2950.0;1112.0;;;
36;Alle woningen;Noord-Nederland;1988;607;177;200;89;57.0;55.0;30.0;;;;37005;12235;11000;5182;3636.0;3125.0;1828.0;;;
37;Alle woningen;Noord-Nederland;1989;616;176;199;89;57.0;55.0;40.0;;;;38301;12415;11186;5278;3704.0;3182.0;2536.0;;;
38;Alle woningen;Noord-Nederland;1990;624;175;198;89;57.0;54.0;50.0;;;;39326;11274;12237;5554;3750.0;3393.0;3118.0;;;
39;Alle woningen;Noord-Nederland;1991;632;174;198;89;57.0;54.0;50.0;9.0;;;41254;11635;12655;5753;3882.0;3515.0;3231.0;585.0;;
40;Alle woningen;Noord-Nederland;1992;638;174;198;89;57.0;54.0;50.0;17.0;;;42427;11810;12857;5855;3950.0;3579.0;3289.0;1089.0;;
41;Alle woningen;Noord-Nederland;1993;645;174;197;89;57.0;54.0;50.0;23.0;;;45041;12385;13503;6156;4154.0;3763.0;3459.0;1620.0;;
42;Alle woningen;Noord-Nederland;1994;652;173;197;89;57.0;54.0;50.0;31.0;;;46265;12552;13696;6252;4222.0;3825.0;3515.0;2204.0;;
43;Alle woningen;Noord-Nederland;1995;660;173;197;89;57.0;54.0;50.0;40.0;;;48805;13002;14200;6503;4395.0;3982.0;3659.0;3065.0;;
44;Alle woningen;Noord-Nederland;1996;669;172;197;89;57.0;54.0;50.0;40.0;10.0;;50582;13253;14474;6654;4497.0;4077.0;3746.0;3137.0;744.0;
45;Alle woningen;Noord-Nederland;1997;677;172;196;89;57.0;54.0;50.0;40.0;19.0;;53095;13686;14987;6904;4668.0;4231.0;3888.0;3258.0;1476.0;
46;Alle woningen;Noord-Nederland;1998;685;171;195;89;57.0;54.0;50.0;40.0;28.0;;56127;14243;15600;7205;4864.0;4414.0;4057.0;3399.0;2343.0;
