ID;Regions;Periods;GDPMarketPrices_1;GDPPerCapita_2;GDPVolumechanges_3;GrossValueAddedVolumeChanges_4;ValueAddedAtBasicPrices_5;CompensationOfEmployees_6;FullTimeEquivalentFteTotal_7;FullTimeEquivalentFteEmployee_8;FullTimeEquivalentFteSelfEmployed_9;EmployedPersonsTotal_10;Employee_11;SelfEmployed_12;HoursWorkedTotal_13;HoursWorkedEmployee_14;HoursWorkedSelfEmployed_15
0;The Netherlands;2010;631512;38008;;;567757;310471.0;7055.8;5955.3;1100.5;8777.8;7395.9;1381.9;12476.5;9982.5;2494.1
1;The Netherlands;2011;642929;38515;1.7;2.0;579590;318040.0;7098.6;5958.2;1140.4;8853.7;7444.2;1409.5;12594.3;10057.2;2537.2
2;The Netherlands;2012;645164;38506;-1.1;-0.8;583832;322825.0;7055.1;5900.9;1154.2;8835.9;7399.5;1436.5;12486.5;9923.7;2562.8
3;The Netherlands;2013;652748;38844;-0.2;0.1;588535;324595.0;6971.6;5807.0;1164.6;8731.6;7284.8;1446.8;12378.2;9804.0;2574.2
4;The Netherlands;2014;663008;39313;1.4;1.5;597414;327963.0;6964.0;5774.2;1189.8;8723.6;7244.4;1479.2;12465.5;9819.0;2646.5
5;The Netherlands;2015;683457;40346;2.3;2.0;614986;330060.0;7037.3;5827.0;1210.3;8806.1;7314.7;1491.4;12539.0;9869.3;2669.7
6;The Netherlands;2016;702641;41258;2.2;2.1;631032;;7131.3;5929.7;1201.6;8901.1;7416.5;1484.6;12788.3;10093.0;2695.3
7;Noord-Nederland (LD);2010;58861;34305;;;52919;24297.0;608.9;488.4;120.5;816.1;662.8;153.3;1126.9;850.8;276.2
8;Noord-Nederland (LD);2011;60937;35463;0.0;0.3;54934;25008.0;614.5;490.0;124.5;822.2;666.8;155.4;1136.4;855.7;280.7
9;Noord-Nederland (LD);2012;62934;36617;-1.3;-1.0;56951;25195.0;607.5;482.3;125.2;818.7;661.0;157.7;1121.3;839.4;281.8
10;Noord-Nederland (LD);2013;64640;37619;2.0;2.3;58281;25145.0;598.8;472.9;125.9;803.7;646.0;157.7;1104.7;823.1;281.6
11;Noord-Nederland (LD);2014;61085;35548;-3.2;-3.1;55042;25440.0;597.1;469.9;127.2;805.6;646.0;159.6;1113.8;826.7;287.1
12;Noord-Nederland (LD);2015;58034;33769;-3.3;-3.6;52220;25486.0;600.6;471.3;129.3;803.1;642.3;160.8;1106.9;817.5;289.4
13;Noord-Nederland (LD);2016;56803;33019;0.2;0.1;51014;;606.9;478.7;128.2;809.8;649.9;159.9;1125.9;834.2;291.7
14;Oost-Nederland (LD);2010;110045;31226;;;98935;57323.0;1370.0;1139.3;230.7;1796.2;1499.9;296.3;2498.1;1971.8;526.3
15;Oost-Nederland (LD);2011;113636;32123;3.3;3.7;102441;59041.0;1385.7;1147.4;238.3;1819.8;1518.6;301.2;2530.0;1996.1;533.9
16;Oost-Nederland (LD);2012;111675;31469;-2.7;-2.4;101059;59665.0;1372.7;1131.5;241.2;1815.8;1509.8;306.0;2507.1;1968.2;538.9
17;Oost-Nederland (LD);2013;112333;31586;-1.3;-1.0;101282;59544.0;1351.3;1106.7;244.6;1785.2;1475.7;309.4;2470.4;1926.7;543.6
18;Oost-Nederland (LD);2014;115087;32290;1.7;1.8;103701;59920.0;1343.7;1096.1;247.6;1774.1;1460.6;313.5;2480.0;1925.6;554.4
19;Oost-Nederland (LD);2015;118180;33045;2.6;2.3;106340;60033.0;1352.0;1100.3;251.7;1772.6;1456.6;316.0;2470.4;1911.4;559.1
20;Oost-Nederland (LD);2016;122806;34174;2.5;2.4;110290;;1368.2;1118.6;249.6;1789.9;1475.4;314.5;2516.7;1953.0;563.7
21;West-Nederland (LD);2010;329002;42160;;;295787;164568.0;3583.5;3070.9;512.6;4253.1;3623.4;629.7;6143.2;4987.9;1155.3
22;West-Nederland (LD);2011;330595;42085;1.0;1.4;298026;167793.0;3592.7;3058.3;534.4;4278.3;3630.9;647.4;6185.1;5003.3;1181.8
23;West-Nederland (LD);2012;332511;42102;-0.5;-0.2;300901;170711.0;3579.5;3036.9;542.6;4275.1;3612.5;662.7;6142.2;4944.1;1198.0
24;West-Nederland (LD);2013;337354;42522;0.1;0.5;304167;172325.0;3544.5;2996.9;547.6;4245.3;3577.0;668.2;6121.0;4917.0;1204.0
25;West-Nederland (LD);2014;346211;43388;2.3;2.4;311959;174429.0;3553.0;2987.5;565.5;4246.7;3556.0;690.7;6175.6;4925.6;1250.0
26;West-Nederland (LD);2015;361111;44947;2.8;2.5;324934;175914.0;3598.5;3022.8;575.7;4313.1;3616.4;696.7;6246.5;4985.1;1261.4
27;West-Nederland (LD);2016;372612;46036;2.5;2.4;334638;;3649.2;3076.9;572.3;4361.1;3667.1;694.0;6374.1;5098.8;1275.3
28;Zuid-Nederland (LD);2010;128034;35845;;;115108;63799.0;1486.3;1249.6;236.7;1905.0;1602.4;302.6;2697.0;2160.7;536.3
29;Zuid-Nederland (LD);2011;131977;36847;3.2;3.5;118975;65710.0;1498.8;1255.6;243.2;1926.2;1620.6;305.5;2731.7;2191.0;540.7
30;Zuid-Nederland (LD);2012;131644;36671;-0.8;-0.5;119129;66773.0;1488.9;1243.6;245.3;1919.3;1609.1;310.2;2705.3;2161.2;544.1
31;Zuid-Nederland (LD);2013;132539;36856;-0.8;-0.5;119501;67088.0;1470.4;1223.8;246.6;1890.4;1579.0;311.5;2671.4;2126.4;545.0
32;Zuid-Nederland (LD);2014;135556;37623;1.5;1.5;122145;67685.0;1463.6;1214.1;249.5;1890.4;1575.0;315.4;2685.6;2130.5;555.1
33;Zuid-Nederland (LD);2015;141684;39238;3.2;2.9;127490;68121.0;1479.5;1225.8;253.7;1910.2;1592.3;317.9;2704.3;2144.5;559.8
34;Zuid-Nederland (LD);2016;147216;40639;2.5;2.4;132213;;1500.3;1248.7;251.6;1933.5;1617.1;316.4;2760.7;2196.1;564.6
35;Extra-Regio (LD);2010;5570;0;;;5008;484.0;7.1;7.1;0.0;7.3;7.3;0.0;11.3;11.3;0.0
36;Extra-Regio (LD);2011;5785;0;-10.9;-10.6;5215;488.0;7.0;7.0;0.0;7.2;7.2;0.0;11.1;11.1;0.0
37;Extra-Regio (LD);2012;6400;0;-2.7;-2.5;5792;481.0;6.6;6.6;0.0;7.0;7.0;0.0;10.7;10.7;0.0
38;Extra-Regio (LD);2013;5883;0;-5.4;-5.0;5304;492.0;6.7;6.7;0.0;7.0;7.0;0.0;10.8;10.8;0.0
39;Extra-Regio (LD);2014;5068;0;-3.5;-3.4;4567;488.0;6.6;6.6;0.0;6.8;6.8;0.0;10.6;10.6;0.0
40;Extra-Regio (LD);2015;4448;0;-0.1;-0.3;4002;507.0;6.8;6.8;0.0;7.0;7.0;0.0;10.9;10.9;0.0
41;Extra-Regio (LD);2016;3203;0;-10.3;-10.3;2877;;6.7;6.7;0.0;6.9;6.9;0.0;10.9;10.9;0.0
42;Groningen (PV);2010;28520;49356;;;25641;8840.0;213.5;176.4;37.1;279.2;231.9;47.3;386.2;301.5;84.7
43;Groningen (PV);2011;29541;50937;-2.9;-2.6;26631;9101.0;216.2;177.8;38.4;282.6;234.5;48.1;389.8;303.6;86.2
44;Groningen (PV);2012;31575;54319;-0.5;-0.2;28573;9227.0;214.2;175.6;38.6;279.5;230.4;49.1;383.8;297.1;86.7
45;Groningen (PV);2013;33322;57233;5.7;6.0;30044;9343.0;213.2;174.3;38.9;276.1;226.8;49.3;380.5;293.7;86.8
46;Groningen (PV);2014;29193;50045;-7.6;-7.6;26305;9435.0;212.4;173.3;39.1;275.8;226.2;49.5;382.4;294.5;87.9
47;Groningen (PV);2015;26031;44586;-8.3;-8.5;23423;9498.0;213.7;173.9;39.8;277.5;227.6;49.9;382.5;293.9;88.6
48;Groningen (PV);2016;24102;41295;-1.8;-1.8;21646;;216.2;176.7;39.5;280.2;230.6;49.6;389.5;300.0;89.5
49;Friesland (PV);2010;17315;26771;;;15567;8701.0;224.0;174.4;49.6;306.5;244.1;62.4;425.0;311.0;114.0
50;Friesland (PV);2011;18100;27965;3.7;4.1;16317;8961.0;225.9;174.5;51.4;309.6;246.1;63.5;430.7;314.3;116.4
51;Friesland (PV);2012;18051;27898;-2.6;-2.3;16335;8987.0;223.4;171.7;51.7;308.1;243.5;64.5;423.5;306.7;116.9
52;Friesland (PV);2013;18041;27902;-1.9;-1.5;16266;8884.0;219.4;167.2;52.2;298.6;233.9;64.7;412.6;295.7;116.9
53;Friesland (PV);2014;18278;28282;0.9;1.0;16470;8935.0;217.6;164.8;52.8;301.2;235.4;65.7;418.1;298.4;119.7
54;Friesland (PV);2015;18293;28311;1.2;0.9;16460;8937.0;219.4;165.8;53.6;298.6;232.4;66.2;413.6;293.0;120.6
55;Friesland (PV);2016;18581;28743;1.6;1.5;16687;;221.6;168.4;53.2;300.7;234.9;65.8;420.2;298.8;121.4
56;Drenthe (PV);2010;13026;26519;;;11711;6756.0;171.5;137.7;33.8;230.5;186.9;43.6;315.8;238.3;77.4
57;Drenthe (PV);2011;13295;27071;1.2;1.5;11985;6946.0;172.4;137.8;34.6;230.0;186.2;43.8;315.9;237.8;78.1
58;Drenthe (PV);2012;13307;27137;-1.5;-1.2;12042;6982.0;169.8;134.9;34.9;231.1;187.1;44.0;313.9;235.6;78.3
59;Drenthe (PV);2013;13278;27128;-1.5;-1.2;11972;6918.0;166.2;131.4;34.8;229.1;185.3;43.7;311.6;233.7;77.9
60;Drenthe (PV);2014;13614;27853;2.2;2.3;12267;7071.0;167.1;131.8;35.3;228.7;184.3;44.4;313.3;233.8;79.5
61;Drenthe (PV);2015;13711;28062;1.2;0.9;12337;7051.0;167.5;131.6;35.9;226.9;182.2;44.7;310.8;230.6;80.2
