ID;Vakantiekenmerken;Perioden;TotaalAantalLangeVakantiesNederland_1;TotaalSeizoenrecreatieveLogiesvormen_2;SLCaravanVouwwagen_3;SLZomerhuisjeBungalowTweedeWoning_4;OverigeSeizoenrecreatieveLogiesvormen_5;TotaalToeristischeLogiesvormen_6;TLWoningVanAndereParticulier_7;TLHotel_8;TLZomerhuisjeVakantiebungalow_9;TLTentBungalowtent_10;TLCaravanVouwwagen_11;OverigeToeristischeLogiesvormen_12
0;Totaal;2002;9200.0;2028.0;1095.0;568.0;364.0;7172.0;724.0;635.0;3130.0;563.0;1477.0;643.0
1;Totaal;2003;9029.0;2051.0;1089.0;584.0;378.0;6978.0;659.0;545.0;3168.0;608.0;1352.0;646.0
2;Totaal;2004;9069.0;1908.0;1010.0;629.0;269.0;7162.0;615.0;506.0;3372.0;562.0;1508.0;598.0
3;Totaal;2005;8451.0;1775.0;962.0;459.0;354.0;6676.0;596.0;597.0;3081.0;483.0;1376.0;542.0
4;Totaal;2006;8843.0;2053.0;1039.0;587.0;428.0;6789.0;604.0;550.0;3239.0;417.0;1379.0;600.0
5;Totaal;2007;8458.0;1717.0;865.0;518.0;334.0;6742.0;518.0;589.0;3320.0;465.0;1321.0;529.0
6;Totaal;2008;8532.0;1847.0;845.0;683.0;318.0;6686.0;610.0;548.0;3248.0;456.0;1275.0;549.0
7;Totaal;2009;8695.0;1813.0;865.0;609.0;339.0;6883.0;611.0;530.0;3455.0;422.0;1381.0;483.0
8;Totaal;2010;8476.0;1783.0;841.0;582.0;360.0;6692.0;683.0;497.0;3162.0;320.0;1450.0;580.0
9;Totaal;2011;8263.0;1595.0;834.0;492.0;270.0;6668.0;583.0;484.0;3411.0;334.0;1395.0;461.0
10;Totaal;2012;8036.0;1709.0;867.0;608.0;234.0;6327.0;714.0;503.0;3129.0;324.0;1232.0;425.0
11;Totaal;2013;8310.0;1659.0;687.0;665.0;307.0;6651.0;829.0;440.0;3202.0;397.0;1324.0;458.0
12;Totaal;2014;7694.0;1479.0;647.0;597.0;236.0;6215.0;895.0;471.0;2863.0;344.0;1306.0;335.0
13;Totaal;2015;7877.0;1494.0;577.0;662.0;255.0;6383.0;767.0;536.0;3045.0;381.0;1310.0;343.0
14;Totaal;2016;8065.0;1486.0;727.0;533.0;226.0;6579.0;889.0;531.0;3062.0;378.0;1303.0;416.0
15;Waddeneilanden (TR);2002;624.0;64.0;29.0;20.0;15.0;560.0;32.0;44.0;239.0;66.0;69.0;109.0
16;Waddeneilanden (TR);2003;660.0;51.0;17.0;28.0;6.0;609.0;54.0;48.0;269.0;55.0;58.0;126.0
17;Waddeneilanden (TR);2004;620.0;64.0;6.0;56.0;2.0;556.0;39.0;49.0;266.0;53.0;49.0;100.0
18;Waddeneilanden (TR);2005;623.0;57.0;14.0;43.0;0.0;566.0;78.0;54.0;228.0;58.0;47.0;102.0
19;Waddeneilanden (TR);2006;604.0;113.0;15.0;90.0;8.0;491.0;59.0;46.0;198.0;32.0;61.0;95.0
20;Waddeneilanden (TR);2007;648.0;50.0;8.0;35.0;7.0;597.0;56.0;39.0;274.0;60.0;55.0;114.0
21;Waddeneilanden (TR);2008;602.0;60.0;21.0;39.0;0.0;542.0;62.0;45.0;216.0;52.0;59.0;108.0
22;Waddeneilanden (TR);2009;609.0;49.0;27.0;14.0;8.0;560.0;58.0;35.0;278.0;45.0;70.0;74.0
23;Waddeneilanden (TR);2010;634.0;101.0;36.0;47.0;17.0;533.0;76.0;24.0;207.0;27.0;76.0;123.0
24;Waddeneilanden (TR);2011;575.0;87.0;21.0;50.0;15.0;488.0;38.0;32.0;241.0;24.0;62.0;92.0
25;Waddeneilanden (TR);2012;569.0;70.0;16.0;36.0;19.0;499.0;82.0;36.0;231.0;33.0;50.0;68.0
26;Waddeneilanden (TR);2013;603.0;50.0;9.0;16.0;25.0;553.0;113.0;41.0;214.0;49.0;47.0;89.0
27;Waddeneilanden (TR);2014;554.0;51.0;2.0;34.0;14.0;503.0;112.0;42.0;205.0;32.0;54.0;58.0
28;Waddeneilanden (TR);2015;538.0;61.0;29.0;18.0;14.0;477.0;65.0;46.0;200.0;48.0;63.0;55.0
29;Waddeneilanden (TR);2016;616.0;39.0;12.0;23.0;4.0;577.0;127.0;61.0;209.0;42.0;48.0;91.0
30;Noordzeebadplaatsen (TR);2002;1180.0;344.0;122.0;204.0;18.0;836.0;71.0;80.0;355.0;63.0;194.0;73.0
