ID;Perioden;TotaalUitgavenLopendeRekening_1;BeloningVanWerknemers_2;IntermediairVerbruik_3;Afschrijving_4;BetaaldeRente_5;Inkomensoverdrachten_6;OverigeLopendeUitgaven_7;TotaalInkomstenLopendeRekening_8;VerkoopVanGoederenEnDiensten_9;OntvangenRente_10;Directe_11;Indirecte_12;Inkomensoverdrachten_13;OverigeLopendeInkomsten_14;SaldoUitgavenEnInkomsten_15;TotaalUitgavenKapitaalrekening_16;InvesteringInVasteActiva_17;NettoAankopenVanGrond_18;Kapitaaloverdrachten_19;TotaalInkomstenKapitaalrekening_20;VerkoopVanInvesteringsgoederen_21;Afschrijving_22;Kapitaaloverdrachten_23;SaldoUitgavenEnInkomsten_24;KredietVerleningEnDeelneming_25;LanglopendeLeningenEnDeelnemingen_26;NettoKortlopendeSchuldEnMutaties_27;SaldoVorderingenEnSchulden_28
0;1990;93564.94;16136.42;14874.92;2627.39;15914.07;43127.27;721.51;87175.72;9946.86;4918.98;36356.87;27948.32;2318.82;5685.87;-6389.23;9974.09;6929.22;-1492.94;4542.34;4138.48;635.29;2627.39;875.8;-5835.61;235.97;11526.02;934.79;-12229.38
1;1991;97408.46;16417.77;14956.6;2464.03;17198.27;45568.61;803.19;94908.13;9406.86;5304.69;41643.41;29296.05;2445.88;6811.24;-2500.33;10114.76;7092.58;-1070.92;4093.1;4147.55;721.51;2464.03;966.55;-5967.21;1197.98;10763.67;-1098.15;-8467.54
2;1992;99563.92;17366.17;14942.98;1583.69;18192.05;46489.78;993.78;95166.79;8780.65;5477.13;41334.84;31251.84;2010.25;6321.16;-4397.13;9452.24;7559.98;-1756.13;3648.39;2981.34;544.54;1583.69;857.64;-6466.37;113.45;11058.62;785.04;-10863.5
3;1993;101006.94;17883.48;15315.08;1815.12;18645.83;46762.05;585.38;98787.95;8649.05;5191.25;44733.65;32635.87;1715.29;5862.84;-2223.52;8921.32;7528.21;-1919.49;3312.6;3308.06;540.0;1815.12;952.94;-5613.26;-6815.78;3820.83;-2804.36;-7832.25
4;1994;95289.31;16594.74;14806.85;1796.97;17443.31;44102.9;544.54;92462.26;7873.09;4133.94;38907.12;34210.49;1715.29;5622.34;-2827.05;9656.44;7746.03;-1815.12;3725.54;3584.86;685.21;1796.97;1102.69;-6071.58;-8494.77;-2886.04;3276.29;-8898.63
5;1995*;96700.56;17166.51;15060.97;1842.35;19054.23;42959.37;617.14;92085.62;7882.16;4079.48;37550.31;35403.93;1610.92;5558.81;-4614.94;24653.88;7718.8;-2218.99;19154.06;3217.3;367.56;1842.35;1007.39;-21436.58;-13123.32;10777.28;2150.92;-26051.52
6;1996*;96573.51;17093.9;15787.01;1928.57;17234.57;43935.0;594.45;97031.82;8009.22;2309.74;40468.12;38380.73;1665.37;6198.64;458.32;9443.17;8090.9;-2046.55;3398.81;4428.89;744.2;1928.57;1756.13;-5014.27;195.13;3671.08;1093.61;-4555.95
