ID;Perioden;TotaalMotorvoertuigen_1;Personenauto_2;Motorfiets_3;TotaalBedrijfsmotorvoertuigen_4;Bestelauto_5;VrachtautoExclTrekkerVoorOplegger_6;TrekkerVoorOplegger_7;SpeciaalVoertuig_8;Bus_9
0;1927;93.8;41.2;28.8;23.7;7.1;10.6;2.4;0.7;2.9
1;1928;103.9;47.7;28.0;28.3;8.8;13.2;2.5;0.8;3.1
2;1929;117.7;55.3;28.5;33.9;11.0;16.3;2.6;0.8;3.2
3;1930;133.8;63.2;30.4;40.2;13.4;19.9;2.7;0.9;3.4
4;1931;147.9;70.6;31.5;45.7;15.5;22.9;2.8;1.0;3.6
5;1932;159.2;77.3;32.4;49.5;16.9;24.9;2.9;1.1;3.7
6;1933;168.5;82.4;32.9;53.2;18.3;26.9;3.0;1.2;3.8
7;1934;181.6;86.6;43.7;51.4;17.4;25.5;3.3;1.4;3.8
8;1935;184.6;88.5;43.1;53.1;19.6;24.7;3.4;1.6;3.8
9;1936;183.0;87.6;42.6;52.7;20.2;23.5;3.4;1.8;3.8
10;1937;188.8;88.7;45.9;54.2;21.4;23.6;3.5;1.9;3.8
11;1938;197.3;90.9;51.0;55.4;21.8;23.9;3.6;2.1;3.9
12;1939;211.4;95.1;58.8;57.5;22.7;24.8;3.7;2.2;4.3
13;1940;222.5;98.2;65.2;59.0;23.3;25.3;3.7;2.2;4.4
14;1941;48.9;16.1;4.6;28.1;9.7;13.3;2.0;1.2;2.0
15;1942;46.5;15.2;4.1;27.2;10.2;12.2;1.8;1.1;1.8
16;1943;40.5;13.5;3.0;24.1;8.3;11.6;1.7;1.0;1.6
17;1944;34.9;12.2;1.9;20.8;7.5;10.1;1.5;0.9;0.8
18;1945;30.6;10.8;1.3;18.4;6.8;9.0;1.3;0.9;0.4
19;1946;113.6;37.1;37.7;38.8;15.8;16.9;2.1;2.0;1.9
20;1947;171.4;54.5;63.9;53.0;21.9;23.5;2.4;2.3;3.0
21;1948;211.4;73.8;71.6;65.9;26.9;29.2;2.8;2.5;4.5
22;1949;244.1;95.0;75.8;73.2;30.0;32.2;3.3;2.7;5.0
23;1950;286.4;120.5;85.5;80.4;33.5;35.3;3.4;2.7;5.6
24;1951;331.2;142.0;97.4;91.8;39.2;40.6;3.4;2.8;5.8
25;1952;359.7;158.4;107.4;93.9;42.5;38.8;3.5;3.2;5.9
26;1953;387.4;173.0;113.7;100.7;45.7;41.7;3.6;3.7;6.0
27;1954;418.4;194.2;120.2;104.0;49.1;40.9;3.7;4.3;6.0
28;1955;483.2;231.5;133.5;118.2;55.6;48.0;3.9;4.6;6.2
29;1956;555.4;282.4;148.7;124.3;61.7;46.8;4.3;4.9;6.7
30;1957;631.0;335.1;160.1;135.8;67.2;51.7;4.7;5.0;7.2
31;1958;688.1;380.1;167.6;140.4;71.0;52.0;5.0;5.0;7.5
32;1959;739.9;418.8;171.8;149.3;78.2;53.0;5.1;5.3;7.8
33;1960;781.7;464.4;168.4;148.9;77.8;52.0;5.2;5.6;8.2
34;1961;864.0;537.8;165.2;161.0;84.6;56.4;5.6;5.8;8.6
35;1962;968.6;634.7;160.1;173.8;94.6;58.4;6.1;5.9;8.7
36;1963;1090.0;751.7;152.9;185.4;103.6;60.4;6.5;6.1;8.8
37;1964;1251.1;903.4;146.7;201.0;113.8;64.7;7.1;6.6;8.8
38;1965;1461.0;1094.9;146.5;219.6;126.2;69.6;7.8;7.1;8.9
39;1966;1678.9;1303.2;140.7;235.0;137.0;73.2;8.3;7.5;9.0
40;1967;1882.7;1515.0;121.2;246.5;144.0;76.1;9.0;8.2;9.1
41;1968;2109.7;1744.7;108.9;256.1;150.4;78.5;10.0;8.2;9.0
42;1969;2375.3;2012.1;97.5;265.7;157.3;81.0;10.5;8.3;8.7
