ID;Buurtkenmerken;Cijfersoort;Perioden;SlachtofferschapTotaal_1;GeweldsdelictenTotaal_2;SeksueleDelicten_3;Mishandeling_4;Bedreiging_5;VermogensdelictenTotaal_6;TotaalInbrakenEnPogingTotInbraak_7;Inbraak_8;PogingTotInbraak_9;Fietsdiefstallen_10;DiefstalVanEnUitDeAuto18_11;TotaalZakkenrollerij_12;ZakkenrollerijZonderGeweld_13;ZakkenrollerijMetGeweld_14;OverigeDiefstal_15;VandalismedelictenTotaal_16;OverigeVernieling_17;OverigeDelicten_18;TotaalInbrakenEnPogingTotInbraak_19;Inbraak_20;PogingTotInbraak_21;Fietsdiefstal_22
0;1100;Waarde;2008;26.1;5.4;1.5;1.2;3.7;13.2;2.5;1.1;1.6;5.4;1.8;1.9;1.8;0.2;3.5;13.6;6.3;1.0;2.5;1.2;1.6;5.7
1;1100;Waarde;2009;26.9;5.7;1.5;1.1;3.9;13.3;2.8;1.3;1.8;5.4;1.9;1.8;1.7;0.2;3.5;14.2;6.7;1.0;2.7;1.2;1.7;5.7
2;1100;Betrouwbaarheidsmarge;2008;0.7;0.4;0.2;0.2;0.3;0.5;0.3;0.2;0.2;0.4;0.2;0.2;0.2;0.1;0.3;0.5;0.4;0.2;0.3;0.2;0.2;0.4
3;1100;Betrouwbaarheidsmarge;2009;0.4;0.2;0.1;0.1;0.2;0.3;0.1;0.1;0.1;0.2;0.1;0.1;0.1;0.0;0.2;0.3;0.2;0.1;0.2;0.1;0.1;0.2
4;10020;Waarde;2008;35.6;7.9;2.6;1.7;5.0;19.3;3.6;1.8;2.1;9.1;3.1;3.1;2.8;0.4;4.4;19.2;9.6;1.5;3.5;1.8;2.1;10.0
5;10020;Waarde;2009;35.4;7.6;2.2;1.5;5.0;19.6;4.1;1.9;2.7;9.2;3.3;2.6;2.4;0.4;4.3;18.5;8.9;1.4;4.0;1.9;2.6;10.0
6;10020;Betrouwbaarheidsmarge;2008;1.3;0.8;0.4;0.4;0.6;1.0;0.4;0.3;0.3;0.7;0.4;0.5;0.5;0.1;0.6;1.1;0.8;0.4;0.5;0.3;0.4;0.8
7;10020;Betrouwbaarheidsmarge;2009;0.9;0.5;0.3;0.2;0.4;0.7;0.4;0.3;0.3;0.6;0.3;0.3;0.3;0.1;0.4;0.7;0.5;0.2;0.4;0.3;0.3;0.6
8;10030;Waarde;2008;29.1;5.8;1.5;1.4;4.4;15.0;3.1;1.2;2.1;6.2;1.8;2.5;2.4;0.2;3.9;15.0;6.3;1.3;3.2;1.3;2.1;6.5
9;10030;Waarde;2009;29.0;5.8;1.4;1.1;4.2;14.5;3.0;1.4;1.8;6.1;2.0;2.0;1.8;0.3;3.9;15.6;6.9;1.0;2.9;1.4;1.7;6.4
10;10030;Betrouwbaarheidsmarge;2008;1.6;0.9;0.4;0.5;0.8;1.3;0.8;0.4;0.7;0.9;0.4;0.6;0.6;0.2;0.7;1.2;0.8;0.5;0.8;0.5;0.7;1.0
