ID;Beroepsniveau;Geslacht;Leeftijd;Perioden;TotaalAantalBanen_1;Voltijdbanen_2;BrutoUurloonAlleBanen_3;BrutoMaandloonAlleBanen_4;BrutoJaarloonAlleBanen_5;BrutoJaarloonVoltijdbanen_6
0;Totaal beroepsniveau;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2002;6996.3;3887.2;17.24;1958.0;26.2;35.5
1;Totaal beroepsniveau;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2003;11.8;3.5;31.7;3237.0;42.5;63.9
2;Totaal beroepsniveau;Totaal mannen en vrouwen;Jonger dan 25 jaar;2002;1165.4;429.8;9.42;855.0;10.3;18.4
3;Totaal beroepsniveau;Totaal mannen en vrouwen;Jonger dan 25 jaar;2003;;;;;;
4;Totaal beroepsniveau;Totaal mannen en vrouwen;25 tot 35 jaar;2002;1774.3;1108.7;15.61;1914.0;25.4;31.1
5;Totaal beroepsniveau;Totaal mannen en vrouwen;25 tot 35 jaar;2003;;;;;;
6;Totaal beroepsniveau;Totaal mannen en vrouwen;35 tot 45 jaar;2002;1884.1;1067.4;18.75;2182.0;29.6;38.7
7;Totaal beroepsniveau;Totaal mannen en vrouwen;35 tot 45 jaar;2003;;;;;;
8;Totaal beroepsniveau;Totaal mannen en vrouwen;45 tot 55 jaar;2002;1537.0;897.1;20.21;2359.0;32.1;41.9
9;Totaal beroepsniveau;Totaal mannen en vrouwen;45 tot 55 jaar;2003;;;;;;
10;Totaal beroepsniveau;Totaal mannen en vrouwen;55 tot 65 jaar;2002;635.5;384.1;21.66;2462.0;33.2;43.9
11;Totaal beroepsniveau;Totaal mannen en vrouwen;55 tot 65 jaar;2003;;;;;;
12;Totaal beroepsniveau;Mannen;Totaal 15 tot 65 jaar;2002;3906.5;3063.4;18.55;2399.0;32.4;37.3
13;Totaal beroepsniveau;Mannen;Totaal 15 tot 65 jaar;2003;;;;;;
14;Totaal beroepsniveau;Mannen;Jonger dan 25 jaar;2002;590.4;270.9;9.49;929.0;11.2;18.8
15;Totaal beroepsniveau;Mannen;Jonger dan 25 jaar;2003;;;;;;
16;Totaal beroepsniveau;Mannen;25 tot 35 jaar;2002;937.8;786.6;16.07;2190.0;29.3;32.0
17;Totaal beroepsniveau;Mannen;25 tot 35 jaar;2003;;;;;;
