ID;RegioS;Inkomensverdeling;AantalHuishoudensAbsoluut_1;AantalHuishoudensIn_2
0;Nederland;Totaal huishouden;7162.5;100.0
1;Nederland;"1e 10%-groep; minder dan 11 000 euro";716.3;10.0
2;Nederland;"2e 10%-groep; 11 000 tot 14 500 euro";716.2;10.0
3;Nederland;"3e 10%-groep; 14 500 tot 17 600 euro";716.3;10.0
4;Nederland;"4e 10%-groep; 17 600 tot 20 800 euro";716.2;10.0
5;Nederland;"5e 10%-groep; 20 800 tot 24 400 euro";716.3;10.0
6;Nederland;"6e 10%-groep; 24 400 tot 28 600 euro";716.2;10.0
7;Nederland;"7e 10%-groep; 28 600 tot 33 200 euro";716.3;10.0
8;Nederland;"8e 10%-groep; 33 200 tot 39 000 euro";716.3;10.0
9;Nederland;"9e 10%-groep; 39 000 tot 48 600 euro";716.3;10.0
10;Nederland;"10e 10%-groep; meer dan 48 600  euro";716.2;10.0
11;Nederland;"1e 10%-groep; minder dan 11 000 euro";716.3;10.0
12;Nederland;"2e-4e 10%-groep; 11 000 tot 20 800 euro";2148.7;30.0
13;Nederland;"5e-8e 10%-groep; 20 800 tot 39 000 euro";2865.0;40.0
14;Nederland;"9e-10e 10%-groep; meer dan 39 000 euro";1432.5;20.0
15;Noord-Nederland (LD);Totaal huishouden;756.1;100.0
16;Noord-Nederland (LD);"1e 10%-groep; minder dan 11 000 euro";84.6;11.0
17;Noord-Nederland (LD);"2e 10%-groep; 11 000 tot 14 500 euro";86.5;11.0
18;Noord-Nederland (LD);"3e 10%-groep; 14 500 tot 17 600 euro";82.0;11.0
19;Noord-Nederland (LD);"4e 10%-groep; 17 600 tot 20 800 euro";81.4;11.0
20;Noord-Nederland (LD);"5e 10%-groep; 20 800 tot 24 400 euro";79.2;10.0
21;Noord-Nederland (LD);"6e 10%-groep; 24 400 tot 28 600 euro";80.1;11.0
22;Noord-Nederland (LD);"7e 10%-groep; 28 600 tot 33 200 euro";77.5;10.0
23;Noord-Nederland (LD);"8e 10%-groep; 33 200 tot 39 000 euro";70.2;9.0
24;Noord-Nederland (LD);"9e 10%-groep; 39 000 tot 48 600 euro";64.0;8.0
25;Noord-Nederland (LD);"10e 10%-groep; meer dan 48 600  euro";50.4;7.0
26;Noord-Nederland (LD);"1e 10%-groep; minder dan 11 000 euro";84.6;11.0
27;Noord-Nederland (LD);"2e-4e 10%-groep; 11 000 tot 20 800 euro";250.0;33.0
28;Noord-Nederland (LD);"5e-8e 10%-groep; 20 800 tot 39 000 euro";307.1;41.0
29;Noord-Nederland (LD);"9e-10e 10%-groep; meer dan 39 000 euro";114.4;15.0
30;Oost-Nederland (LD);Totaal huishouden;1441.2;100.0
31;Oost-Nederland (LD);"1e 10%-groep; minder dan 11 000 euro";132.1;9.0
32;Oost-Nederland (LD);"2e 10%-groep; 11 000 tot 14 500 euro";138.2;10.0
33;Oost-Nederland (LD);"3e 10%-groep; 14 500 tot 17 600 euro";138.3;10.0
34;Oost-Nederland (LD);"4e 10%-groep; 17 600 tot 20 800 euro";141.2;10.0
35;Oost-Nederland (LD);"5e 10%-groep; 20 800 tot 24 400 euro";146.9;10.0
36;Oost-Nederland (LD);"6e 10%-groep; 24 400 tot 28 600 euro";153.2;11.0
37;Oost-Nederland (LD);"7e 10%-groep; 28 600 tot 33 200 euro";154.7;11.0
38;Oost-Nederland (LD);"8e 10%-groep; 33 200 tot 39 000 euro";151.8;11.0
39;Oost-Nederland (LD);"9e 10%-groep; 39 000 tot 48 600 euro";147.5;10.0
40;Oost-Nederland (LD);"10e 10%-groep; meer dan 48 600  euro";137.2;10.0
41;Oost-Nederland (LD);"1e 10%-groep; minder dan 11 000 euro";132.1;9.0
42;Oost-Nederland (LD);"2e-4e 10%-groep; 11 000 tot 20 800 euro";417.8;29.0
43;Oost-Nederland (LD);"5e-8e 10%-groep; 20 800 tot 39 000 euro";606.5;42.0
44;Oost-Nederland (LD);"9e-10e 10%-groep; meer dan 39 000 euro";284.7;20.0
45;West-Nederland (LD);Totaal huishouden;3435.6;100.0
46;West-Nederland (LD);"1e 10%-groep; minder dan 11 000 euro";364.0;11.0
47;West-Nederland (LD);"2e 10%-groep; 11 000 tot 14 500 euro";344.2;10.0
48;West-Nederland (LD);"3e 10%-groep; 14 500 tot 17 600 euro";345.6;10.0
49;West-Nederland (LD);"4e 10%-groep; 17 600 tot 20 800 euro";342.1;10.0
50;West-Nederland (LD);"5e 10%-groep; 20 800 tot 24 400 euro";336.2;10.0
51;West-Nederland (LD);"6e 10%-groep; 24 400 tot 28 600 euro";325.9;9.0
52;West-Nederland (LD);"7e 10%-groep; 28 600 tot 33 200 euro";322.4;9.0
53;West-Nederland (LD);"8e 10%-groep; 33 200 tot 39 000 euro";333.7;10.0
54;West-Nederland (LD);"9e 10%-groep; 39 000 tot 48 600 euro";344.8;10.0
55;West-Nederland (LD);"10e 10%-groep; meer dan 48 600  euro";376.8;11.0
