ID;CaribischNederland;Perioden;BevolkingOp1Januari_1;LevendGeborenKinderen_2;Overledenen_3;Geboorteoverschot_4;TotaalVestiging_5;Immigratie_6;VestigingVanuitEenAndereCNGemeente_7;TotaalVertrekInclAdmCorrecties_8;EmigratieInclusiefAdministratieveC_9;VertrekNaarEenAndereCNGemeente_10;TotaalVestigingsoverschot_11;SaldoBuitenlandseMigratie_12;SaldoBinnenlandseMigratie_13;OverigeCorrecties_14;Bevolkingsgroei_15;BevolkingsgroeiRelatief_16;BevolkingOp31December_17;BinnenCNGemeentenVerhuisdePersonen_18
0;Caribisch Nederland;2011;21087;221;139;82;2252;2234;18;1303;1285;18;949;949;0;186;1217;5.8;22304;1811
1;Caribisch Nederland;2012;22304;227;95;132;2279;2261;18;1400;1382;18;879;879;0;-19;992;4.4;23296;1987
2;Caribisch Nederland;2013;23296;255;109;146;2231;2184;47;1407;1360;47;824;824;0;13;983;4.2;24279;2517
3;Caribisch Nederland;2014;24279;242;136;106;1770;1737;33;1556;1523;33;214;214;0;-6;314;1.3;24593;2490
4;Caribisch Nederland;2015;24593;213;122;91;1779;1740;39;1918;1879;39;-139;-139;0;3;-45;-0.2;24548;2363
5;Caribisch Nederland;2016;24548;243;99;144;1840;1799;41;2075;2034;41;-235;-235;0;-18;-109;-0.4;24439;2682
6;Caribisch Nederland;2017;24439;243;134;109;1932;1901;31;1437;1406;31;495;495;0;9;613;2.5;25052;2849
7;Caribisch Nederland;2018;25052;256;102;154;1699;1681;18;1755;1737;18;-56;-56;0;7;105;0.4;25157;2597
8;Caribisch Nederland;2019;25157;244;125;119;1924;1904;20;1234;1214;20;690;690;0;21;830;3.3;25987;3290
9;Caribisch Nederland;2020;25987;289;143;146;1678;1667;11;1010;999;11;668;668;0;4;818;3.1;26805;2630
10;Caribisch Nederland;2021;26805;264;162;102;1977;1961;16;1168;1152;16;809;809;0;10;921;3.4;27726;2599
11;Caribisch Nederland;2022;27726;279;196;83;2696;2675;21;1122;1101;21;1574;1574;0;35;1692;6.1;29418;2554
12;Caribisch Nederland;2023;29418;282;169;113;2296;2288;8;1396;1388;8;900;900;0;-34;979;3.3;30397;2791
13;Bonaire;2011;15679;181;109;72;1544;1539;5;851;849;2;693;690;3;97;862;5.5;16541;1496
14;Bonaire;2012;16541;191;70;121;1532;1523;9;824;820;4;708;703;5;38;867;5.2;17408;1700
15;Bonaire;2013;17408;194;79;115;1548;1525;23;666;658;8;882;867;15;8;1005;5.8;18413;1901
16;Bonaire;2014;18413;207;98;109;1235;1213;22;825;822;3;410;391;19;-27;492;2.7;18905;2156
17;Bonaire;2015;18905;160;102;58;1271;1245;26;832;826;6;439;419;20;6;503;2.7;19408;1976
18;Bonaire;2016;19408;195;76;119;1313;1291;22;1659;1649;10;-346;-358;12;-2;-229;-1.2;19179;2085
19;Bonaire;2017;19179;197;99;98;1388;1381;7;1130;1115;15;258;266;-8;14;370;1.9;19549;2029
20;Bonaire;2018;19549;206;73;133;1286;1283;3;887;879;8;399;404;-5;23;555;2.8;20104;2141
21;Bonaire;2019;20104;203;97;106;1479;1475;4;773;758;15;706;717;-11;-1;811;4.0;20915;2538
22;Bonaire;2020;20915;228;111;117;1422;1418;4;703;699;4;719;719;0;-6;830;4.0;21745;2123
23;Bonaire;2021;21745;217;124;93;1589;1586;3;860;857;3;729;729;0;6;828;3.8;22573;2227
24;Bonaire;2022;22573;229;156;73;2270;2261;9;857;848;9;1413;1413;0;31;1517;6.7;24090;2141
25;Bonaire;2023;24090;237;139;98;1877;1874;3;936;933;3;941;941;0;4;1043;4.3;25133;2273
26;Sint Eustatius;2011;3611;33;13;20;298;289;9;188;183;5;110;106;4;51;181;5.0;3792;197
27;Sint Eustatius;2012;3792;21;12;9;275;270;5;145;140;5;130;130;0;-34;105;2.8;3897;140
28;Sint Eustatius;2013;3897;51;18;33;378;356;22;285;271;14;93;85;8;-3;123;3.2;4020;243
29;Sint Eustatius;2014;4020;24;22;2;177;171;6;330;310;20;-153;-139;-14;8;-143;-3.6;3877;166
30;Sint Eustatius;2015;3877;36;11;25;172;170;2;876;849;27;-704;-679;-25;-5;-684;-17.6;3193;212
31;Sint Eustatius;2016;3193;31;13;18;181;170;11;129;110;19;52;60;-8;-13;57;1.8;3250;406
32;Sint Eustatius;2017;3250;28;22;6;252;232;20;150;141;9;102;91;11;-10;98;3.0;3348;685
33;Sint Eustatius;2018;3348;35;18;17;179;169;10;394;386;8;-215;-217;2;-12;-210;-6.3;3138;308
34;Sint Eustatius;2019;3138;30;15;15;213;201;12;218;213;5;-5;-12;7;-9;1;0.0;3139;584
35;Sint Eustatius;2020;3139;50;16;34;119;115;4;150;146;4;-31;-31;0;0;3;0.1;3142;333
