ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalFusiesEnOvernames_1;k_1WerkzamePersoonOfMinder_2;k_2Tot10WerkzamePersonen_3;k_10Tot50WerkzamePersonen_4;k_50Tot250WerkzamePersonen_5;k_250WerkzamePersonenOfMeer_6;k_0Tot50WerkzamePersonen_7;k_0Tot250WerkzamePersonen_8;NatuurlijkePersonen_9;Rechtspersonen_10
0;A-U Alle economische activiteiten;2007 1e kwartaal;675;160;230;185;70;25;580;650;10;665
1;A-U Alle economische activiteiten;2007 2e kwartaal;740;190;260;210;60;25;655;715;25;715
2;A-U Alle economische activiteiten;2007 3e kwartaal;605;110;245;165;40;40;520;560;30;575
3;A-U Alle economische activiteiten;2007 4e kwartaal;485;110;180;125;40;30;415;455;15;470
4;A-U Alle economische activiteiten;2007;2500;565;915;685;215;120;2170;2385;80;2425
5;A-U Alle economische activiteiten;2008 1e kwartaal;750;175;305;195;55;25;675;725;10;740
6;A-U Alle economische activiteiten;2008 2e kwartaal;675;145;265;175;60;35;580;640;25;655
7;A-U Alle economische activiteiten;2008 3e kwartaal;505;140;185;125;35;20;450;480;10;490
8;A-U Alle economische activiteiten;2008 4e kwartaal;440;95;170;115;25;30;380;410;10;430
9;A-U Alle economische activiteiten;2008;2370;555;925;605;175;110;2085;2260;55;2315
10;A-U Alle economische activiteiten;2009 1e kwartaal;520;155;180;125;40;20;460;500;10;515
11;A-U Alle economische activiteiten;2009 2e kwartaal;875;265;325;205;60;20;795;855;20;855
12;A-U Alle economische activiteiten;2009 3e kwartaal;505;160;185;110;35;15;450;490;20;485
13;A-U Alle economische activiteiten;2009 4e kwartaal;610;195;215;115;55;30;525;580;10;605
14;A-U Alle economische activiteiten;2009;2515;775;905;555;190;90;2230;2425;55;2460
15;A-U Alle economische activiteiten;2010 1e kwartaal;310;75;70;75;55;35;225;275;20;290
16;A-U Alle economische activiteiten;2010 2e kwartaal;1895;490;660;485;195;65;1640;1830;130;1765
17;A-U Alle economische activiteiten;2010 3e kwartaal;1310;395;425;325;130;35;1145;1275;120;1185
18;A-U Alle economische activiteiten;2010 4e kwartaal;1030;295;350;270;95;25;910;1005;95;935
19;A-U Alle economische activiteiten;2010;4545;1255;1505;1160;470;160;3915;4385;370;4180
20;A-U Alle economische activiteiten;2011 1e kwartaal;1350;325;490;355;135;40;1170;1305;105;1240
21;A-U Alle economische activiteiten;2011 2e kwartaal;1160;280;375;310;150;45;965;1115;100;1055
22;A-U Alle economische activiteiten;2011 3e kwartaal;1090;265;360;300;135;35;925;1060;95;995
23;A-U Alle economische activiteiten;2011 4e kwartaal;870;230;305;215;90;30;750;840;60;810
24;A-U Alle economische activiteiten;2011;4470;1100;1525;1185;510;150;3805;4320;365;4100
25;A-U Alle economische activiteiten;2012 1e kwartaal;1400;360;485;380;145;35;1225;1370;105;1295
26;A-U Alle economische activiteiten;2012 2e kwartaal;995;285;310;240;100;55;840;940;100;895
27;A-U Alle economische activiteiten;2012 3e kwartaal;1565;445;540;410;120;45;1400;1515;185;1380
28;A-U Alle economische activiteiten;2012 4e kwartaal;990;285;325;255;90;30;870;960;90;900
29;A-U Alle economische activiteiten;2012;4950;1380;1665;1285;455;170;4330;4785;480;4470
30;A-U Alle economische activiteiten;2013 1e kwartaal;1265;360;410;320;125;45;1090;1220;110;1160
31;A-U Alle economische activiteiten;2013 2e kwartaal;1310;325;445;370;120;50;1145;1265;120;1190
32;A-U Alle economische activiteiten;2013 3e kwartaal;1405;425;450;360;130;45;1235;1365;170;1240
33;A-U Alle economische activiteiten;2013 4e kwartaal;1095;345;340;280;100;30;960;1065;145;950
34;A-U Alle economische activiteiten;2013;5080;1455;1650;1330;475;170;4435;4910;540;4540
35;A-U Alle economische activiteiten;2014 1e kwartaal;2025;700;665;475;140;45;1840;1980;315;1710
36;A-U Alle economische activiteiten;2014 2e kwartaal;410;110;105;105;55;40;315;370;50;360
37;A-U Alle economische activiteiten;2014 3e kwartaal;970;275;315;265;75;45;855;930;105;865
38;A-U Alle economische activiteiten;2014 4e kwartaal;1035;295;360;240;105;35;895;1000;110;925
39;A-U Alle economische activiteiten;2014;4440;1380;1440;1085;370;160;3910;4280;580;3860
